ID	注释	客机不可交互时是否显示按钮	操作解除联机匹配	交互后禁用切换角色时长
407	2.8群鸦剧场二阶段			
408	2.8群鸦剧场二阶段			
409	2.8莫娜岛			
410	2.8莫娜地城			
411	2.8莫娜地城			
412	2.8莫娜地城			
413	2.8莫娜地城			
414	2.8莫娜地城			
415	2.8莫娜地城			
416	2.8莫娜地城			
418	2.8WQ			
419	2.8夜鸦情景			
420	2.8夜鸦情景			
421	2.8夜鸦情景			
422	2.8夜鸦情景			
423	2.8夜鸦情景			
424	2.8夜鸦情景			
425	2.8夜鸦情景			
426	2.8夜鸦剧场			
427	2.8齿轮解谜			
428	2.8齿轮解谜			
500	2.4渊下宫昼夜切换			
501	2.4渊下宫昼夜切换			
502	2.4渊下宫昼夜操作台选项			
601	2.8万叶地城传音炮			
602	2.8万叶地城传音炮			
603	2.8万叶地城切换房间			
604	2.8万叶地城切换房间			
605	2.8万叶地城切换房间			
606	2.8万叶地城切换房间			
607	2.8万叶地城切换房间			
608	2.8万叶地城切换房间			
609	2.8万叶地城切换房间			
610	2.8万叶地城切换房间			
611	2.8万叶地城切换房间			
612	2.8万叶地城传音炮			
613	2.8万叶地城传音炮			
614	2.8万叶地城切换房间			
615	2.8万叶地城切换房间			
616	2.8万叶地城切换房间			
617	2.8万叶地城切换房间			
618	2.8万叶地城切换房间			
619	2.8万叶地城切换房间			
620	2.8万叶地城切换房间			
621	2.8万叶地城切换房间			
622	2.8万叶地城切换房间			
623	2.8万叶地城切换房间			
624	2.8万叶地城切换房间			
625	2.8万叶地城切换房间			
626	2.8万叶地城复进黑白空间			
700	2.5千灯垂绿	1		
701	2.5WQ交付			
702	2.5WQ交付			
703	2.5WQ启动			
704	2.5WQ重置			
705	2.5WQ移动			
706	2.5WQ移动			
707	2.5WQ启动			
750	2.6层岩巨渊WQ用			
751	2.6层岩巨渊WQ传送用			
752	2.7层岩地城			
753	2.7层岩地城			
1002	愚人众地城没有钥匙			
1003	愚人众地城拥有钥匙			
2350	2.0奥博伦派对	1		
2351	2.0奥博伦派对	1		
2901	纯水精灵循环挑战		1	
2902	北风狼循环挑战		1	
2903	抓猫猫玩法			
2904	元素蜜囊交互按钮用			
2905	白垩与黑龙活动用	1		
3001	1.3机关大作战白盒用			
3002	1.3机关大作战白盒用			
3003	1.3机关大作战白盒用			
3004	1.3机关大作战白盒用			
3005	1.3机关大作战白盒用			
4001	1.3机关棋谭	1		
4002	1.3机关棋谭	1		
4003	1.3机关棋谭	1		
4004	1.3机关棋谭	1		
4005	1.3机关棋谭	1		
4006	1.3机关棋谭	1		
4007	2.0机关棋谭	1		
4100	2.0擂台复刻白盒用			
4101	2.0擂台复刻白盒用			
4102	2.0擂台复刻白盒用			
4103	2.0擂台复刻白盒用			
30110	2.1换人挑战			
71821	海灯节衍生支线用			
801	2.7流明石挑战			
802	2.7流明石挑战			
803	2.7流明石挑战			
804	2.7流明石挑战			
805	2.7流明石挑战			
754	2.8破破岛切换levelTag			
755	2.8破破岛梦境入口			
756	2.8拾取船灵模型			
757	2.8菲谢尔赛道			
759	2.8辛焱传音花（横转）			
760	2.8辛焱传音花（竖转）			
778	3.0WQ供奉灵药按钮			
