等级	[曲线]1类型	[曲线]1运算	[曲线]1值	[曲线]2类型	[曲线]2运算	[曲线]2值	[曲线]3类型	[曲线]3运算	[曲线]3值	[曲线]4类型	[曲线]4运算	[曲线]4值	[曲线]5类型	[曲线]5运算	[曲线]5值	[曲线]6类型	[曲线]6运算	[曲线]6值
21	1	2	68.61109	2	2	14.26676	12	2	1.21	17	2	14.26676	16	2	21	20	2	1
22	1	2	72.10564	2	2	15.24058	12	2	1.22	17	2	15.24058	16	2	22	20	2	1
23	1	2	75.35814	2	2	16.20382	12	2	1.23	17	2	16.20382	16	2	23	20	2	1
24	1	2	79.78938	2	2	17.18874	12	2	1.24	17	2	17.18874	16	2	24	20	2	1
25	1	2	84.30028	2	2	18.19528	12	2	1.25	17	2	18.19528	16	2	25	20	2	1
26	1	2	88.9361	2	2	18.885	12	2	1.26	17	2	18.885	16	2	26	20	2	1
27	1	2	93.66512	2	2	19.58528	12	2	1.27	17	2	19.58528	16	2	27	20	2	1
28	1	2	98.48837	2	2	20.29613	12	2	1.28	17	2	20.29613	16	2	28	20	2	1
29	1	2	103.4069	2	2	21.0176	12	2	1.29	17	2	21.0176	16	2	29	20	2	1
30	1	2	108.4217	2	2	21.74973	12	2	1.3	17	2	21.74973	16	2	30	20	2	1
31	1	2	114.4719	2	2	22.61761	12	2	1.31	17	2	22.61761	16	2	31	20	2	1
32	1	2	120.6543	2	2	23.50049	12	2	1.32	17	2	23.50049	16	2	32	20	2	1
33	1	2	125.744	2	2	24.3984	12	2	1.33	17	2	24.3984	16	2	33	20	2	1
34	1	2	148.7045	2	2	25.37062	12	2	1.34	17	2	25.37062	16	2	34	20	2	1
35	1	2	153.7546	2	2	26.19798	12	2	1.35	17	2	26.19798	16	2	35	20	2	1
36	1	2	158.886	2	2	27.03764	12	2	1.36	17	2	27.03764	16	2	36	20	2	1
37	1	2	165.88	2	2	28.30728	12	2	1.37	17	2	28.30728	16	2	37	20	2	1
38	1	2	173.5809	2	2	29.66658	12	2	1.38	17	2	29.66658	16	2	38	20	2	1
39	1	2	181.4102	2	2	31.05228	12	2	1.39	17	2	31.05228	16	2	39	20	2	1
40	1	2	198.3841	2	2	32.51703	12	2	1.4	17	2	32.51703	16	2	40	20	2	1
41	1	2	207.9781	2	2	34.0855	12	2	1.41	17	2	34.0855	16	2	41	20	2	1
42	1	2	217.7367	2	2	35.68458	12	2	1.42	17	2	35.68458	16	2	42	20	2	1
43	1	2	227.0249	2	2	37.24761	12	2	1.43	17	2	37.24761	16	2	43	20	2	1
44	1	2	236.4653	2	2	38.8393	12	2	1.44	17	2	38.8393	16	2	44	20	2	1
45	1	2	264.514	2	2	40.45966	12	2	1.45	17	2	40.45966	16	2	45	20	2	1
46	1	2	273.7571	2	2	41.71497	12	2	1.46	17	2	41.71497	16	2	46	20	2	1
47	1	2	289.6475	2	2	43.60169	12	2	1.47	17	2	43.60169	16	2	47	20	2	1
48	1	2	305.8628	2	2	45.52411	12	2	1.48	17	2	45.52411	16	2	48	20	2	1
49	1	2	322.4075	2	2	47.48235	12	2	1.49	17	2	47.48235	16	2	49	20	2	1
50	1	2	367.8213	2	2	50.14548	12	2	1.5	17	2	50.14548	16	2	50	20	2	1
51	1	2	384.5919	2	2	51.97996	12	2	1.51	17	2	51.97996	16	2	51	20	2	1
52	1	2	401.5548	2	2	53.83439	12	2	1.52	17	2	53.83439	16	2	52	20	2	2.5
53	1	2	418.7124	2	2	55.7086	12	2	1.53	17	2	55.7086	16	2	53	20	2	4
54	1	2	436.0667	2	2	57.60231	12	2	1.54	17	2	57.60231	16	2	54	20	2	5.5
55	1	2	452.5111	2	2	59.40968	12	2	1.55	17	2	59.40968	16	2	55	20	2	7
56	1	2	466.241	2	2	60.96815	12	2	1.56	17	2	60.96815	16	2	56	20	2	8.5
57	1	2	483.8348	2	2	63.18038	12	2	1.57	17	2	63.18038	16	2	57	20	2	10
58	1	2	503.1843	2	2	65.56533	12	2	1.58	17	2	65.56533	16	2	58	20	2	11.5
59	1	2	522.7799	2	2	67.97952	12	2	1.59	17	2	67.97952	16	2	59	20	2	13
60	1	2	616.9946	2	2	70.615	12	2	1.6	17	2	70.615	16	2	60	20	2	14.5
61	1	2	637.3271	2	2	72.87743	12	2	1.61	17	2	72.87743	16	2	61	20	2	14.5
62	1	2	659.6903	2	2	75.3163	12	2	1.62	17	2	75.3163	16	2	62	20	2	14.5
63	1	2	682.2833	2	2	77.77995	12	2	1.63	17	2	77.77995	16	2	63	20	2	14.5
64	1	2	711.7287	2	2	80.84824	12	2	1.64	17	2	80.84824	16	2	64	20	2	14.5
65	1	2	734.9008	2	2	83.39035	12	2	1.65	17	2	83.39035	16	2	65	20	2	14.5
66	1	2	753.9569	2	2	85.24774	12	2	1.66	17	2	85.24774	16	2	66	20	2	14.5
67	1	2	829.3079	2	2	89.40919	12	2	1.67	17	2	89.40919	16	2	67	20	2	14.5
68	1	2	855.3966	2	2	92.12469	12	2	1.68	17	2	92.12469	16	2	68	20	2	14.5
69	1	2	879.7074	2	2	94.70249	12	2	1.69	17	2	94.70249	16	2	69	20	2	14.5
70	1	2	960.8343	2	2	97.48067	12	2	1.7	17	2	97.48067	16	2	70	20	2	14.5
71	1	2	987.2563	2	2	100.11726	12	2	1.71	17	2	100.11726	16	2	71	20	2	14.5
72	1	2	1016.308	2	2	102.95798	12	2	1.72	17	2	102.95798	16	2	72	20	2	14.5
73	1	2	1037.415	2	2	105.19038	12	2	1.73	17	2	105.19038	16	2	73	20	2	14.5
74	1	2	1067.75	2	2	108.15596	12	2	1.74	17	2	108.15596	16	2	74	20	2	14.5
75	1	2	1098.412	2	2	111.14884	12	2	1.75	17	2	111.14884	16	2	75	20	2	14.5
76	1	2	1123.775	2	2	113.33174	12	2	1.76	17	2	113.33174	16	2	76	20	2	14.5
77	1	2	1153.119	2	2	116.23478	12	2	1.77	17	2	116.23478	16	2	77	20	2	14.5
78	1	2	1182.76	2	2	119.16229	12	2	1.78	17	2	119.16229	16	2	78	20	2	14.5
79	1	2	1210.233	2	2	121.92657	12	2	1.79	17	2	121.92657	16	2	79	20	2	14.5
80	1	2	1366.735	2	2	125.41919	12	2	1.8	17	2	125.41919	16	2	80	20	2	14.5
81	1	2	1394.867	2	2	128.0491	12	2	1.81	17	2	128.0491	16	2	81	20	2	14.5
82	1	2	1423.247	2	2	130.69697	12	2	1.82	17	2	130.69697	16	2	82	20	2	14.5
83	1	2	1440.909	2	2	132.59346	12	2	1.83	17	2	132.59346	16	2	83	20	2	14.5
84	1	2	1485.468	2	2	134.49482	12	2	1.84	17	2	134.49482	16	2	84	20	2	14.5
85	1	2	1503.56	2	2	136.40101	12	2	1.85	17	2	136.40101	16	2	85	20	2	14.5
86	1	2	1532.91	2	2	138.65791	12	2	1.86	17	2	138.65791	16	2	86	20	2	14.5
87	1	2	1563.946	2	2	141.59421	12	2	1.87	17	2	141.59421	16	2	87	20	2	14.5
88	1	2	1598.809	2	2	144.79605	12	2	1.88	17	2	144.79605	16	2	88	20	2	14.5
89	1	2	1634.08	2	2	148.02296	12	2	1.89	17	2	148.02296	16	2	89	20	2	14.5
90	1	2	1792.851	2	2	151.52366	12	2	1.9	17	2	151.52366	16	2	90	20	2	14.5
91	1	2	1835.423	2	2	155.44891	12	2	1.91	17	2	155.44891	16	2	91	20	2	14.5
92	1	2	1882.428	2	2	159.68016	12	2	1.92	17	2	159.68016	16	2	92	20	2	14.5
93	1	2	1930.047	2	2	163.96824	12	2	1.93	17	2	163.96824	16	2	93	20	2	14.5
94	1	2	1996.661	2	2	169.54304	12	2	1.94	17	2	169.54304	16	2	94	20	2	14.5
95	1	2	2042.759	2	2	173.8133	12	2	1.95	17	2	173.8133	16	2	95	20	2	14.5
96	1	2	2055.588	2	2	175.20334	12	2	1.96	17	2	175.20334	16	2	96	20	2	14.5
97	1	2	2069.809	2	2	176.75739	12	2	1.97	17	2	176.75739	16	2	97	20	2	14.5
98	1	2	2256.937	2	2	189.76929	12	2	1.98	17	2	189.76929	16	2	98	20	2	14.5
99	1	2	2272.524	2	2	191.44692	12	2	1.99	17	2	191.44692	16	2	99	20	2	14.5
100	1	2	2706.502	2	2	196.03574	12	2	2	17	2	196.03574	16	2	100	20	2	14.5
101	1	2	2770.433083	2	2	196.423744	12	2	2.01	17	2	196.423744	16	2	101	20	2	14.5
102	1	2	2835.451413	2	2	196.812013	12	2	2.02	17	2	196.812013	16	2	102	20	2	14.5
103	1	2	2901.570598	2	2	197.200593	12	2	2.03	17	2	197.200593	16	2	103	20	2	14.5
104	1	2	2968.804108	2	2	197.589393	12	2	2.04	17	2	197.589393	16	2	104	20	2	14.5
105	1	2	3199.580462	2	2	197.978503	12	2	2.05	17	2	197.978503	16	2	105	20	2	14.5
106	1	2	3272.799249	2	2	198.367879	12	2	2.06	17	2	198.367879	16	2	106	20	2	14.5
107	1	2	3347.234099	2	2	198.757519	12	2	2.07	17	2	198.757519	16	2	107	20	2	14.5
108	1	2	3422.899146	2	2	199.147426	12	2	2.08	17	2	199.147426	16	2	108	20	2	14.5
109	1	2	3499.808304	2	2	199.537642	12	2	2.09	17	2	199.537642	16	2	109	20	2	14.5
110	1	2	3938.627503	2	2	199.928123	12	2	2.1	17	2	199.928123	16	2	110	20	2	14.5
111	1	2	4026.07472	2	2	200.318825	12	2	2.11	17	2	200.318825	16	2	111	20	2	14.5
112	1	2	4114.938015	2	2	200.709837	12	2	2.12	17	2	200.709837	16	2	112	20	2	14.5
113	1	2	4205.232921	2	2	201.101115	12	2	2.13	17	2	201.101115	16	2	113	20	2	14.5
114	1	2	4296.974971	2	2	201.492702	12	2	2.14	17	2	201.492702	16	2	114	20	2	14.5
115	1	2	4496.222541	2	2	201.88451	12	2	2.15	17	2	201.88451	16	2	115	20	2	14.5
116	1	2	4593.192285	2	2	202.276628	12	2	2.16	17	2	202.276628	16	2	116	20	2	14.5
117	1	2	4691.691622	2	2	202.668967	12	2	2.17	17	2	202.668967	16	2	117	20	2	14.5
118	1	2	4791.736528	2	2	203.061615	12	2	2.18	17	2	203.061615	16	2	118	20	2	14.5
119	1	2	4893.342756	2	2	203.454529	12	2	2.19	17	2	203.454529	16	2	119	20	2	14.5
120	1	2	5299.346069	2	2	203.847753	12	2	2.2	17	2	203.847753	16	2	120	20	2	14.5
121	1	2	5399.216652	2	2	204.241198	12	2	2.21	17	2	204.241198	16	2	121	20	2	14.5
122	1	2	5500.462529	2	2	204.634952	12	2	2.22	17	2	204.634952	16	2	122	20	2	14.5
123	1	2	5603.097541	2	2	205.028928	12	2	2.23	17	2	205.028928	16	2	123	20	2	14.5
124	1	2	5707.135453	2	2	205.423213	12	2	2.24	17	2	205.423213	16	2	124	20	2	14.5
125	1	2	5812.590106	2	2	205.817764	12	2	2.25	17	2	205.817764	16	2	125	20	2	14.5
126	1	2	5919.475118	2	2	206.21258	12	2	2.26	17	2	206.21258	16	2	126	20	2	14.5
127	1	2	6027.804402	2	2	206.607705	12	2	2.27	17	2	206.607705	16	2	127	20	2	14.5
128	1	2	6137.591652	2	2	207.003052	12	2	2.28	17	2	207.003052	16	2	128	20	2	14.5
129	1	2	6248.850633	2	2	207.398708	12	2	2.29	17	2	207.398708	16	2	129	20	2	14.5
130	1	2	6361.595112	2	2	207.79463	12	2	2.3	17	2	207.79463	16	2	130	20	2	14.5
131	1	2	6475.838928	2	2	208.190817	12	2	2.31	17	2	208.190817	16	2	131	20	2	14.5
132	1	2	6591.595774	2	2	208.58727	12	2	2.32	17	2	208.58727	16	2	132	20	2	14.5
133	1	2	6708.879417	2	2	208.983988	12	2	2.33	17	2	208.983988	16	2	133	20	2	14.5
134	1	2	6827.703696	2	2	209.381016	12	2	2.34	17	2	209.381016	16	2	134	20	2	14.5
135	1	2	6948.082303	2	2	209.778309	12	2	2.35	17	2	209.778309	16	2	135	20	2	14.5
136	1	2	7070.029078	2	2	210.175823	12	2	2.36	17	2	210.175823	16	2	136	20	2	14.5
137	1	2	7193.557715	2	2	210.573646	12	2	2.37	17	2	210.573646	16	2	137	20	2	14.5
138	1	2	7318.681979	2	2	210.97178	12	2	2.38	17	2	210.97178	16	2	138	20	2	14.5
139	1	2	7445.415783	2	2	211.370134	12	2	2.39	17	2	211.370134	16	2	139	20	2	14.5
140	1	2	7573.772747	2	2	211.768754	12	2	2.4	17	2	211.768754	16	2	140	20	2	14.5
141	1	2	7703.766637	2	2	212.167684	12	2	2.41	17	2	212.167684	16	2	141	20	2	14.5
142	1	2	7835.411366	2	2	212.566879	12	2	2.42	17	2	212.566879	16	2	142	20	2	14.5
143	1	2	7968.720554	2	2	212.966339	12	2	2.43	17	2	212.966339	16	2	143	20	2	14.5
144	1	2	8103.708039	2	2	213.366065	12	2	2.44	17	2	213.366065	16	2	144	20	2	14.5
145	1	2	8240.387515	2	2	213.766056	12	2	2.45	17	2	213.766056	16	2	145	20	2	14.5
146	1	2	8378.772895	2	2	214.166357	12	2	2.46	17	2	214.166357	16	2	146	20	2	14.5
147	1	2	8518.877797	2	2	214.566879	12	2	2.47	17	2	214.566879	16	2	147	20	2	14.5
148	1	2	8660.716137	2	2	214.967711	12	2	2.48	17	2	214.967711	16	2	148	20	2	14.5
149	1	2	8804.301531	2	2	215.368808	12	2	2.49	17	2	215.368808	16	2	149	20	2	14.5
150	1	2	8949.647821	2	2	215.77017	12	2	2.5	17	2	215.77017	16	2	150	20	2	14.5
151	1	2	9096.768846	2	2	216.171798	12	2	2.51	17	2	216.171798	16	2	151	20	2	14.5
152	1	2	9245.678224	2	2	216.573735	12	2	2.52	17	2	216.573735	16	2	152	20	2	14.5
153	1	2	9396.38987	2	2	216.975893	12	2	2.53	17	2	216.975893	16	2	153	20	2	14.5
154	1	2	9548.917476	2	2	217.378362	12	2	2.54	17	2	217.378362	16	2	154	20	2	14.5
155	1	2	9703.274809	2	2	217.781095	12	2	2.55	17	2	217.781095	16	2	155	20	2	14.5
156	1	2	9859.475633	2	2	218.184094	12	2	2.56	17	2	218.184094	16	2	156	20	2	14.5
157	1	2	10017.533716	2	2	218.587358	12	2	2.57	17	2	218.587358	16	2	157	20	2	14.5
158	1	2	10177.462898	2	2	218.990932	12	2	2.58	17	2	218.990932	16	2	158	20	2	14.5
159	1	2	10339.27687	2	2	219.394728	12	2	2.59	17	2	219.394728	16	2	159	20	2	14.5
160	1	2	10502.989473	2	2	219.798832	12	2	2.6	17	2	219.798832	16	2	160	20	2	14.5
161	1	2	10585.561985	2	2	220.203202	12	2	2.61	17	2	220.203202	16	2	161	20	2	14.5
162	1	2	10668.614399	2	2	220.607838	12	2	2.62	17	2	220.607838	16	2	162	20	2	14.5
163	1	2	10752.148263	2	2	221.012739	12	2	2.63	17	2	221.012739	16	2	163	20	2	14.5
164	1	2	10836.165415	2	2	221.417949	12	2	2.64	17	2	221.417949	16	2	164	20	2	14.5
165	1	2	10920.66755	2	2	221.823381	12	2	2.65	17	2	221.823381	16	2	165	20	2	14.5
166	1	2	11005.65636	2	2	222.229122	12	2	2.66	17	2	222.229122	16	2	166	20	2	14.5
167	1	2	11091.133613	2	2	222.635129	12	2	2.67	17	2	222.635129	16	2	167	20	2	14.5
168	1	2	11177.100928	2	2	223.041401	12	2	2.68	17	2	223.041401	16	2	168	20	2	14.5
169	1	2	11263.560218	2	2	223.447939	12	2	2.69	17	2	223.447939	16	2	169	20	2	14.5
170	1	2	11350.512956	2	2	223.854742	12	2	2.7	17	2	223.854742	16	2	170	20	2	14.5
171	1	2	11437.961057	2	2	224.261854	12	2	2.71	17	2	224.261854	16	2	171	20	2	14.5
172	1	2	11525.906213	2	2	224.669232	12	2	2.72	17	2	224.669232	16	2	172	20	2	14.5
173	1	2	11614.350044	2	2	225.076831	12	2	2.73	17	2	225.076831	16	2	173	20	2	14.5
174	1	2	11703.29439	2	2	225.48474	12	2	2.74	17	2	225.48474	16	2	174	20	2	14.5
175	1	2	11792.740945	2	2	225.892958	12	2	2.75	17	2	225.892958	16	2	175	20	2	14.5
176	1	2	11882.691328	2	2	226.301398	12	2	2.76	17	2	226.301398	16	2	176	20	2	14.5
177	1	2	11973.147379	2	2	226.710103	12	2	2.77	17	2	226.710103	16	2	177	20	2	14.5
178	1	2	12064.110792	2	2	227.119117	12	2	2.78	17	2	227.119117	16	2	178	20	2	14.5
179	1	2	12155.58326	2	2	227.528397	12	2	2.79	17	2	227.528397	16	2	179	20	2	14.5
180	1	2	12247.566475	2	2	227.937942	12	2	2.8	17	2	227.937942	16	2	180	20	2	14.5
181	1	2	12340.062279	2	2	228.347753	12	2	2.81	17	2	228.347753	16	2	181	20	2	14.5
182	1	2	12433.072217	2	2	228.757829	12	2	2.82	17	2	228.757829	16	2	182	20	2	14.5
183	1	2	12526.598204	2	2	229.168215	12	2	2.83	17	2	229.168215	16	2	183	20	2	14.5
184	1	2	12620.641784	2	2	229.578822	12	2	2.84	17	2	229.578822	16	2	184	20	2	14.5
185	1	2	12715.2048	2	2	229.989738	12	2	2.85	17	2	229.989738	16	2	185	20	2	14.5
186	1	2	12810.288943	2	2	230.40092	12	2	2.86	17	2	230.40092	16	2	186	20	2	14.5
187	1	2	12905.895907	2	2	230.812367	12	2	2.87	17	2	230.812367	16	2	187	20	2	14.5
188	1	2	13002.027459	2	2	231.22408	12	2	2.88	17	2	231.22408	16	2	188	20	2	14.5
189	1	2	13098.685292	2	2	231.636102	12	2	2.89	17	2	231.636102	16	2	189	20	2	14.5
190	1	2	13195.871098	2	2	232.048346	12	2	2.9	17	2	232.048346	16	2	190	20	2	14.5
191	1	2	13293.586646	2	2	232.460899	12	2	2.91	17	2	232.460899	16	2	191	20	2	14.5
192	1	2	13391.833628	2	2	232.873717	12	2	2.92	17	2	232.873717	16	2	192	20	2	14.5
193	1	2	13490.613737	2	2	233.286801	12	2	2.93	17	2	233.286801	16	2	193	20	2	14.5
194	1	2	13589.92874	2	2	233.700195	12	2	2.94	17	2	233.700195	16	2	194	20	2	14.5
195	1	2	13689.780403	2	2	234.113809	12	2	2.95	17	2	234.113809	16	2	195	20	2	14.5
196	1	2	13790.170347	2	2	234.527689	12	2	2.96	17	2	234.527689	16	2	196	20	2	14.5
197	1	2	13891.100339	2	2	234.941879	12	2	2.97	17	2	234.941879	16	2	197	20	2	14.5
198	1	2	13992.572144	2	2	235.356334	12	2	2.98	17	2	235.356334	16	2	198	20	2	14.5
199	1	2	14094.587382	2	2	235.771054	12	2	2.99	17	2	235.771054	16	2	199	20	2	14.5
200	1	2	14197.147895	2	2	236.18604	12	2	3	17	2	236.18604	16	2	200	20	2	14.5
