ID	名称$text_name_Name	Prefab路径	Prefab_Remote路径	Controller路径	Controller_Remote路径	默认阵营	类型	描述	JSON名称	能否移动	是否有音响	是否能装备	能否交互	视距等级	服务器脚本	ItemJSON名称	联机动态属性ID	ChainID	编辑器可用	是否含有动态屏障
77101001	房间天花板	ART/Others/Homeworld/SceneObject/Room/SceneObj_Homeworld_Interior_Ly_Room_A_Ceiling_01				5001	19	家园物件								Default_Item			0	
77101002	房间地板	ART/Others/Homeworld/SceneObject/Room/SceneObj_Homeworld_Interior_Ly_Room_A_Floor_01				5001	19	家园物件								Default_Item			0	
77101003	房间墙面	ART/Others/Homeworld/SceneObject/Room/SceneObj_Homeworld_Interior_Ly_Room_A_Wall_01				5001	19	家园物件								Default_Item			0	
77101004	房间墙面	ART/Others/Homeworld/SceneObject/Room/SceneObj_Homeworld_Interior_Ly_Room_H_Wall_01				5001	19	家园物件								Default_Item			0	
77101005	房间天花板	ART/Others/Homeworld/SceneObject/Room/SceneObj_Homeworld_Interior_Ly_Room_C_Ceiling_01				5001	19	家园物件								Default_Item			0	
77101006	房间地板	ART/Others/Homeworld/SceneObject/Room/SceneObj_Homeworld_Interior_Ly_Room_C_Floor_01				5001	19	家园物件								Default_Item			0	
77101007	房间墙面	ART/Others/Homeworld/SceneObject/Room/SceneObj_Homeworld_Interior_Ly_Room_C_Wall_01				5001	19	家园物件								Default_Item			0	
77101008	房间天花板	ART/Others/Homeworld/SceneObject/Room/SceneObj_Homeworld_Interior_Ly_Room_D_Ceiling_01				5001	19	家园物件								Default_Item			0	
77101009	房间地板	ART/Others/Homeworld/SceneObject/Room/SceneObj_Homeworld_Interior_Ly_Room_D_Floor_01				5001	19	家园物件								Default_Item			0	
77101010	房间楼梯	ART/Others/Homeworld/SceneObject/Room/SceneObj_Homeworld_Interior_Ly_Room_D_Stair_01				5001	19	家园物件								Default_Item			0	
77101011	房间墙面	ART/Others/Homeworld/SceneObject/Room/SceneObj_Homeworld_Interior_Ly_Room_D_Wall_01				5001	19	家园物件								Default_Item			0	
77101012	房间天花板	ART/Others/Homeworld/SceneObject/Room/SceneObj_Homeworld_Interior_Ly_Room_B_Ceiling_01				5001	19	家园物件								Default_Item			0	
77101013	房间地板	ART/Others/Homeworld/SceneObject/Room/SceneObj_Homeworld_Interior_Ly_Room_B_Floor_01				5001	19	家园物件								Default_Item			0	
77101014	房间墙面	ART/Others/Homeworld/SceneObject/Room/SceneObj_Homeworld_Interior_Ly_Room_B_Wall_01				5001	19	家园物件								Default_Item			0	
77101015	房间天花板	ART/Others/Homeworld/SceneObject/Room/SceneObj_Homeworld_Interior_Ly_Room_E_Ceiling_01				5001	19	家园物件								Default_Item			0	
77101016	房间地板	ART/Others/Homeworld/SceneObject/Room/SceneObj_Homeworld_Interior_Ly_Room_E_Floor_01				5001	19	家园物件								Default_Item			0	
77101017	房间墙面	ART/Others/Homeworld/SceneObject/Room/SceneObj_Homeworld_Interior_Ly_Room_E_Wall_01				5001	19	家园物件								Default_Item			0	
77101018	房间天花板	ART/Others/Homeworld/SceneObject/Room/SceneObj_Homeworld_Interior_Ly_Room_F_Ceiling_01				5001	19	家园物件								Default_Item			0	
77101019	房间地板	ART/Others/Homeworld/SceneObject/Room/SceneObj_Homeworld_Interior_Ly_Room_F_Floor_01				5001	19	家园物件								Default_Item			0	
77101020	房间墙面	ART/Others/Homeworld/SceneObject/Room/SceneObj_Homeworld_Interior_Ly_Room_F_Wall_01				5001	19	家园物件								Default_Item			0	
77101021	房间天花板	ART/Others/Homeworld/SceneObject/Room/SceneObj_Homeworld_Interior_Ly_Room_G_Ceiling_01				5001	19	家园物件								Default_Item			0	
77101022	房间地板	ART/Others/Homeworld/SceneObject/Room/SceneObj_Homeworld_Interior_Ly_Room_G_Floor_01				5001	19	家园物件								Default_Item			0	
77101023	房间墙面	ART/Others/Homeworld/SceneObject/Room/SceneObj_Homeworld_Interior_Ly_Room_G_Wall_01				5001	19	家园物件								Default_Item			0	
77101024	房间天花板	ART/Others/Homeworld/SceneObject/Room/SceneObj_Homeworld_Interior_Md_Room_A_Ceiling_01				5001	19	家园物件								Default_Item			0	
77101025	房间地板	ART/Others/Homeworld/SceneObject/Room/SceneObj_Homeworld_Interior_Md_Room_A_Floor_01				5001	19	家园物件								Default_Item			0	
77101026	房间墙面	ART/Others/Homeworld/SceneObject/Room/SceneObj_Homeworld_Interior_Md_Room_A_Wall_01				5001	19	家园物件								Default_Item			0	
77101027	房间墙面	ART/Others/Homeworld/SceneObject/Room/SceneObj_Homeworld_Interior_Md_Room_H_Wall_01				5001	19	家园物件								Default_Item			0	
77101028	房间天花板	ART/Others/Homeworld/SceneObject/Room/SceneObj_Homeworld_Interior_Md_Room_B_Ceiling_01				5001	19	家园物件								Default_Item			0	
77101029	房间地板	ART/Others/Homeworld/SceneObject/Room/SceneObj_Homeworld_Interior_Md_Room_B_Floor_01				5001	19	家园物件								Default_Item			0	
77101030	房间墙面	ART/Others/Homeworld/SceneObject/Room/SceneObj_Homeworld_Interior_Md_Room_B_Wall_01				5001	19	家园物件								Default_Item			0	
77101031	房间天花板	ART/Others/Homeworld/SceneObject/Room/SceneObj_Homeworld_Interior_Md_Room_C_Ceiling_01				5001	19	家园物件								Default_Item			0	
77101032	房间地板	ART/Others/Homeworld/SceneObject/Room/SceneObj_Homeworld_Interior_Md_Room_C_Floor_01				5001	19	家园物件								Default_Item			0	
77101033	房间墙面	ART/Others/Homeworld/SceneObject/Room/SceneObj_Homeworld_Interior_Md_Room_C_Wall_01				5001	19	家园物件								Default_Item			0	
77101034	房间天花板	ART/Others/Homeworld/SceneObject/Room/SceneObj_Homeworld_Interior_Md_Room_D_Ceiling_01				5001	19	家园物件								Default_Item			0	
77101035	房间地板	ART/Others/Homeworld/SceneObject/Room/SceneObj_Homeworld_Interior_Md_Room_D_Floor_01				5001	19	家园物件								Default_Item			0	
77101036	房间墙面	ART/Others/Homeworld/SceneObject/Room/SceneObj_Homeworld_Interior_Md_Room_D_Wall_01				5001	19	家园物件								Default_Item			0	
77101037	房间天花板	ART/Others/Homeworld/SceneObject/Room/SceneObj_Homeworld_Interior_Md_Room_E_Ceiling_01				5001	19	家园物件								Default_Item			0	
77101038	房间地板	ART/Others/Homeworld/SceneObject/Room/SceneObj_Homeworld_Interior_Md_Room_E_Floor_01				5001	19	家园物件								Default_Item			0	
77101039	房间墙面	ART/Others/Homeworld/SceneObject/Room/SceneObj_Homeworld_Interior_Md_Room_E_Wall_01				5001	19	家园物件								Default_Item			0	
77101040	房间天花板	ART/Others/Homeworld/SceneObject/Room/SceneObj_Homeworld_Interior_Md_Room_F_Ceiling_01				5001	19	家园物件								Default_Item			0	
77101041	房间地板	ART/Others/Homeworld/SceneObject/Room/SceneObj_Homeworld_Interior_Md_Room_F_Floor_01				5001	19	家园物件								Default_Item			0	
77101042	房间墙面	ART/Others/Homeworld/SceneObject/Room/SceneObj_Homeworld_Interior_Md_Room_F_Wall_01				5001	19	家园物件								Default_Item			0	
77101043	房间天花板	ART/Others/Homeworld/SceneObject/Room/SceneObj_Homeworld_Interior_Md_Room_G_Ceiling_01				5001	19	家园物件								Default_Item			0	
77101044	房间地板	ART/Others/Homeworld/SceneObject/Room/SceneObj_Homeworld_Interior_Md_Room_G_Floor_01				5001	19	家园物件								Default_Item			0	
77101045	房间墙面	ART/Others/Homeworld/SceneObject/Room/SceneObj_Homeworld_Interior_Md_Room_G_Wall_01				5001	19	家园物件								Default_Item			0	
77101046	房间楼梯	ART/Others/Homeworld/SceneObject/Room/SceneObj_Homeworld_Interior_Md_Room_F_Stair_01				5001	19	家园物件								Default_Item			0	
77101047	房间天花板	ART/Others/Homeworld/SceneObject/Room/SceneObj_Homeworld_Interior_Ly_Room_H_Ceiling_01				5001	19	家园物件								Default_Item			0	
77101048	房间地板	ART/Others/Homeworld/SceneObject/Room/SceneObj_Homeworld_Interior_Ly_Room_H_Floor_01				5001	19	家园物件								Default_Item			0	
77101049	房间天花板	ART/Others/Homeworld/SceneObject/Room/SceneObj_Homeworld_Interior_Md_Room_H_Ceiling_01				5001	19	家园物件								Default_Item			0	
77101050	房间地板	ART/Others/Homeworld/SceneObject/Room/SceneObj_Homeworld_Interior_Md_Room_H_Floor_01				5001	19	家园物件								Default_Item			0	
77101051	房间楼梯	ART/Others/Homeworld/SceneObject/Room/SceneObj_Homeworld_Interior_Ly_Room_F_Stair_01				5001	19	家园物件								Default_Item			0	
77101052	房间楼梯	ART/Others/Homeworld/SceneObject/Room/SceneObj_Homeworld_Interior_Md_Room_D_Stair_01				5001	19	家园物件								Default_Item			0	
77101053	璃月房间门01	ART/Others/Homeworld/SceneObject/Room/SceneObj_Homeworld_Interior_Ly_Room_Door_01				5001	19	家园物件	SceneObj_Homeworld_Standard_Door		1					Default_Item			0	
77101054	蒙德房间门01	ART/Others/Homeworld/SceneObject/Room/SceneObj_Homeworld_Interior_Md_Room_Door_01				5001	19	家园物件	SceneObj_Homeworld_Standard_Door		1					Default_Item			0	
77101055	蒙德房间墙面08	ART/Others/Homeworld/SceneObject/Room/SceneObj_Homeworld_Interior_Md_Room_Wall_08				5001	19	家园物件								Default_Item			0	
77101056	璃月房间墙面08	ART/Others/Homeworld/SceneObject/Room/SceneObj_Homeworld_Interior_Ly_Room_Wall_08				5001	19	家园物件								Default_Item			0	
77101057	璃月房间门02	ART/Others/Homeworld/SceneObject/Room/SceneObj_Homeworld_Interior_Ly_Room_Door_02				5001	19	家园物件	SceneObj_Homeworld_Standard_Door		1					Default_Item			0	
77101058	蒙德房间门02	ART/Others/Homeworld/SceneObject/Room/SceneObj_Homeworld_Interior_Md_Room_Door_02				5001	19	家园物件	SceneObj_Homeworld_Standard_Door		1					Default_Item			0	
77101059	稻妻室内大门01	ART/Others/Homeworld/SceneObject/Room/SceneObj_Homeworld_Interior_Dq_Room_Door_01				5001	19	家园物件	SceneObj_Homeworld_Standard_Door		1					Default_Item			0	
77101060	稻妻室内大门02	ART/Others/Homeworld/SceneObject/Room/SceneObj_Homeworld_Interior_Dq_Room_Door_02				5001	19	家园物件	SceneObj_Homeworld_Standard_Door		1					Default_Item			0	
77101061	稻妻室内墙面04	ART/Others/Homeworld/SceneObject/Room/SceneObj_Homeworld_Interior_Dq_Room_Wall_04				5001	19	家园物件								Default_Item			0	
77101062	稻妻室内墙面06	ART/Others/Homeworld/SceneObject/Room/SceneObj_Homeworld_Interior_Dq_Room_Wall_06				5001	19	家园物件								Default_Item			0	
77101063	稻妻房间天花板I	ART/Others/Homeworld/SceneObject/Room/SceneObj_Homeworld_Interior_Dq_Room_I_Ceiling_01				5001	19	家园物件								Default_Item			0	
77101064	稻妻房间墙面I	ART/Others/Homeworld/SceneObject/Room/SceneObj_Homeworld_Interior_Dq_Room_I_Wall_01				5001	19	家园物件								Default_Item			0	
77101065	稻妻房间地板I	ART/Others/Homeworld/SceneObject/Room/SceneObj_Homeworld_Interior_Dq_Room_I_Floor_01				5001	19	家园物件								Default_Item			0	
77101066	稻妻房间天花板J	ART/Others/Homeworld/SceneObject/Room/SceneObj_Homeworld_Interior_Dq_Room_J_Ceiling_01				5001	19	家园物件								Default_Item			0	
77101067	稻妻房间墙面J	ART/Others/Homeworld/SceneObject/Room/SceneObj_Homeworld_Interior_Dq_Room_J_Wall_01				5001	19	家园物件								Default_Item			0	
77101068	稻妻房间地板J	ART/Others/Homeworld/SceneObject/Room/SceneObj_Homeworld_Interior_Dq_Room_J_Floor_01				5001	19	家园物件								Default_Item			0	
77101069	稻妻房间天花板K	ART/Others/Homeworld/SceneObject/Room/SceneObj_Homeworld_Interior_Dq_Room_K_Ceiling_01				5001	19	家园物件								Default_Item			0	
77101070	稻妻房间墙面K	ART/Others/Homeworld/SceneObject/Room/SceneObj_Homeworld_Interior_Dq_Room_K_Wall_01				5001	19	家园物件								Default_Item			0	
77101071	稻妻房间地板K	ART/Others/Homeworld/SceneObject/Room/SceneObj_Homeworld_Interior_Dq_Room_K_Floor_01				5001	19	家园物件								Default_Item			0	
77101072	稻妻房间天花板L	ART/Others/Homeworld/SceneObject/Room/SceneObj_Homeworld_Interior_Dq_Room_L_Ceiling_01				5001	19	家园物件								Default_Item			0	
77101073	稻妻房间墙面L	ART/Others/Homeworld/SceneObject/Room/SceneObj_Homeworld_Interior_Dq_Room_L_Wall_01				5001	19	家园物件								Default_Item			0	
77101074	稻妻房间地板L	ART/Others/Homeworld/SceneObject/Room/SceneObj_Homeworld_Interior_Dq_Room_L_Floor_01				5001	19	家园物件			1					Default_Item			0	
77101075	稻妻房间天花板M	ART/Others/Homeworld/SceneObject/Room/SceneObj_Homeworld_Interior_Dq_Room_M_Ceiling_01				5001	19	家园物件			1					Default_Item			0	
77101076	稻妻房间墙面M	ART/Others/Homeworld/SceneObject/Room/SceneObj_Homeworld_Interior_Dq_Room_M_Wall_01				5001	19	家园物件								Default_Item			0	
77101077	稻妻房间地板M	ART/Others/Homeworld/SceneObject/Room/SceneObj_Homeworld_Interior_Dq_Room_M_Floor_01				5001	19	家园物件								Default_Item			0	
77101078	稻妻房间天花板N	ART/Others/Homeworld/SceneObject/Room/SceneObj_Homeworld_Interior_Dq_Room_N_Ceiling_01				5001	19	家园物件			1					Default_Item			0	
77101079	稻妻房间墙面N	ART/Others/Homeworld/SceneObject/Room/SceneObj_Homeworld_Interior_Dq_Room_N_Wall_01				5001	19	家园物件			1					Default_Item			0	
77101080	稻妻房间地板N	ART/Others/Homeworld/SceneObject/Room/SceneObj_Homeworld_Interior_Dq_Room_N_Floor_01				5001	19	家园物件			1					Default_Item			0	
77101081	稻妻房间天花板O	ART/Others/Homeworld/SceneObject/Room/SceneObj_Homeworld_Interior_Dq_Room_O_Ceiling_01				5001	19	家园物件			1					Default_Item			0	
77101082	稻妻房间墙面O	ART/Others/Homeworld/SceneObject/Room/SceneObj_Homeworld_Interior_Dq_Room_O_Wall_01				5001	19	家园物件								Default_Item			0	
77101083	稻妻房间地板O	ART/Others/Homeworld/SceneObject/Room/SceneObj_Homeworld_Interior_Dq_Room_O_Floor_01				5001	19	家园物件								Default_Item			0	
77101084	稻妻房间楼梯K	ART/Others/Homeworld/SceneObject/Room/SceneObj_Homeworld_Interior_Dq_Room_K_Stair_01				5001	19	家园物件								Default_Item			0	
77101085	璃月房间天花板I	ART/Others/Homeworld/SceneObject/Room/SceneObj_Homeworld_Interior_Ly_Room_I_Ceiling_01				5001	19	家园物件								Default_Item			0	
77101086	璃月房间墙面I	ART/Others/Homeworld/SceneObject/Room/SceneObj_Homeworld_Interior_Ly_Room_I_Wall_01				5001	19	家园物件								Default_Item			0	
77101087	璃月房间地板I	ART/Others/Homeworld/SceneObject/Room/SceneObj_Homeworld_Interior_Ly_Room_I_Floor_01				5001	19	家园物件								Default_Item			0	
77101088	璃月房间天花板J	ART/Others/Homeworld/SceneObject/Room/SceneObj_Homeworld_Interior_Ly_Room_J_Ceiling_01				5001	19	家园物件								Default_Item			0	
77101089	璃月房间墙面J	ART/Others/Homeworld/SceneObject/Room/SceneObj_Homeworld_Interior_Ly_Room_J_Wall_01				5001	19	家园物件								Default_Item			0	
77101090	璃月房间地板J	ART/Others/Homeworld/SceneObject/Room/SceneObj_Homeworld_Interior_Ly_Room_J_Floor_01				5001	19	家园物件								Default_Item			0	
77101091	璃月房间天花板K	ART/Others/Homeworld/SceneObject/Room/SceneObj_Homeworld_Interior_Ly_Room_K_Ceiling_01				5001	19	家园物件								Default_Item			0	
77101092	璃月房间墙面K	ART/Others/Homeworld/SceneObject/Room/SceneObj_Homeworld_Interior_Ly_Room_K_Wall_01				5001	19	家园物件								Default_Item			0	
77101093	璃月房间地板K	ART/Others/Homeworld/SceneObject/Room/SceneObj_Homeworld_Interior_Ly_Room_K_Floor_01				5001	19	家园物件								Default_Item			0	
77101094	璃月房间天花板L	ART/Others/Homeworld/SceneObject/Room/SceneObj_Homeworld_Interior_Ly_Room_L_Ceiling_01				5001	19	家园物件								Default_Item			0	
77101095	璃月房间墙面L	ART/Others/Homeworld/SceneObject/Room/SceneObj_Homeworld_Interior_Ly_Room_L_Wall_01				5001	19	家园物件								Default_Item			0	
77101096	璃月房间地板L	ART/Others/Homeworld/SceneObject/Room/SceneObj_Homeworld_Interior_Ly_Room_L_Floor_01				5001	19	家园物件			1					Default_Item			0	
77101097	璃月房间天花板M	ART/Others/Homeworld/SceneObject/Room/SceneObj_Homeworld_Interior_Ly_Room_M_Ceiling_01				5001	19	家园物件			1					Default_Item			0	
77101098	璃月房间墙面M	ART/Others/Homeworld/SceneObject/Room/SceneObj_Homeworld_Interior_Ly_Room_M_Wall_01				5001	19	家园物件								Default_Item			0	
77101099	璃月房间地板M	ART/Others/Homeworld/SceneObject/Room/SceneObj_Homeworld_Interior_Ly_Room_M_Floor_01				5001	19	家园物件								Default_Item			0	
77101100	璃月房间天花板N	ART/Others/Homeworld/SceneObject/Room/SceneObj_Homeworld_Interior_Ly_Room_N_Ceiling_01				5001	19	家园物件			1					Default_Item			0	
77101101	璃月房间墙面N	ART/Others/Homeworld/SceneObject/Room/SceneObj_Homeworld_Interior_Ly_Room_N_Wall_01				5001	19	家园物件			1					Default_Item			0	
77101102	璃月房间地板N	ART/Others/Homeworld/SceneObject/Room/SceneObj_Homeworld_Interior_Ly_Room_N_Floor_01				5001	19	家园物件			1					Default_Item			0	
77101103	璃月房间天花板O	ART/Others/Homeworld/SceneObject/Room/SceneObj_Homeworld_Interior_Ly_Room_O_Ceiling_01				5001	19	家园物件			1					Default_Item			0	
77101104	璃月房间墙面O	ART/Others/Homeworld/SceneObject/Room/SceneObj_Homeworld_Interior_Ly_Room_O_Wall_01				5001	19	家园物件								Default_Item			0	
77101105	璃月房间地板O	ART/Others/Homeworld/SceneObject/Room/SceneObj_Homeworld_Interior_Ly_Room_O_Floor_01				5001	19	家园物件								Default_Item			0	
77101106	蒙德房间天花板I	ART/Others/Homeworld/SceneObject/Room/SceneObj_Homeworld_Interior_Md_Room_I_Ceiling_01				5001	19	家园物件								Default_Item			0	
77101107	蒙德房间墙面I	ART/Others/Homeworld/SceneObject/Room/SceneObj_Homeworld_Interior_Md_Room_I_Wall_01				5001	19	家园物件								Default_Item			0	
77101108	蒙德房间地板I	ART/Others/Homeworld/SceneObject/Room/SceneObj_Homeworld_Interior_Md_Room_I_Floor_01				5001	19	家园物件								Default_Item			0	
77101109	蒙德房间天花板J	ART/Others/Homeworld/SceneObject/Room/SceneObj_Homeworld_Interior_Md_Room_J_Ceiling_01				5001	19	家园物件								Default_Item			0	
77101110	蒙德房间墙面J	ART/Others/Homeworld/SceneObject/Room/SceneObj_Homeworld_Interior_Md_Room_J_Wall_01				5001	19	家园物件								Default_Item			0	
77101111	蒙德房间地板J	ART/Others/Homeworld/SceneObject/Room/SceneObj_Homeworld_Interior_Md_Room_J_Floor_01				5001	19	家园物件								Default_Item			0	
77101112	蒙德房间天花板K	ART/Others/Homeworld/SceneObject/Room/SceneObj_Homeworld_Interior_Md_Room_K_Ceiling_01				5001	19	家园物件								Default_Item			0	
77101113	蒙德房间墙面K	ART/Others/Homeworld/SceneObject/Room/SceneObj_Homeworld_Interior_Md_Room_K_Wall_01				5001	19	家园物件								Default_Item			0	
77101114	蒙德房间地板K	ART/Others/Homeworld/SceneObject/Room/SceneObj_Homeworld_Interior_Md_Room_K_Floor_01				5001	19	家园物件								Default_Item			0	
77101115	蒙德房间天花板L	ART/Others/Homeworld/SceneObject/Room/SceneObj_Homeworld_Interior_Md_Room_L_Ceiling_01				5001	19	家园物件								Default_Item			0	
77101116	蒙德房间墙面L	ART/Others/Homeworld/SceneObject/Room/SceneObj_Homeworld_Interior_Md_Room_L_Wall_01				5001	19	家园物件								Default_Item			0	
77101117	蒙德房间地板L	ART/Others/Homeworld/SceneObject/Room/SceneObj_Homeworld_Interior_Md_Room_L_Floor_01				5001	19	家园物件								Default_Item			0	
77101118	蒙德房间天花板M	ART/Others/Homeworld/SceneObject/Room/SceneObj_Homeworld_Interior_Md_Room_M_Ceiling_01				5001	19	家园物件			1					Default_Item			0	
77101119	蒙德房间墙面M	ART/Others/Homeworld/SceneObject/Room/SceneObj_Homeworld_Interior_Md_Room_M_Wall_01				5001	19	家园物件			1					Default_Item			0	
77101120	蒙德房间地板M	ART/Others/Homeworld/SceneObject/Room/SceneObj_Homeworld_Interior_Md_Room_M_Floor_01				5001	19	家园物件								Default_Item			0	
77101121	蒙德房间天花板N	ART/Others/Homeworld/SceneObject/Room/SceneObj_Homeworld_Interior_Md_Room_N_Ceiling_01				5001	19	家园物件								Default_Item			0	
77101122	蒙德房间墙面N	ART/Others/Homeworld/SceneObject/Room/SceneObj_Homeworld_Interior_Md_Room_N_Wall_01				5001	19	家园物件			1					Default_Item			0	
77101123	蒙德房间地板N	ART/Others/Homeworld/SceneObject/Room/SceneObj_Homeworld_Interior_Md_Room_N_Floor_01				5001	19	家园物件			1					Default_Item			0	
77101124	蒙德房间天花板O	ART/Others/Homeworld/SceneObject/Room/SceneObj_Homeworld_Interior_Md_Room_O_Ceiling_01				5001	19	家园物件			1					Default_Item			0	
77101125	蒙德房间墙面O	ART/Others/Homeworld/SceneObject/Room/SceneObj_Homeworld_Interior_Md_Room_O_Wall_01				5001	19	家园物件			1					Default_Item			0	
77101126	蒙德房间地板O	ART/Others/Homeworld/SceneObject/Room/SceneObj_Homeworld_Interior_Md_Room_O_Floor_01				5001	19	家园物件								Default_Item			0	
77101127	璃月房间楼梯K	ART/Others/Homeworld/SceneObject/Room/SceneObj_Homeworld_Interior_Ly_Room_K_Stair_01				5001	19	家园物件			1					Default_Item			0	
77101128	蒙德房间楼梯K	ART/Others/Homeworld/SceneObject/Room/SceneObj_Homeworld_Interior_Md_Room_K_Stair_01				5001	19	家园物件								Default_Item			0	
77101129	稻妻房间天花板A	ART/Others/Homeworld/SceneObject/Room/SceneObj_Homeworld_Interior_Dq_Room_A_Ceiling_01				5001	19	家园物件								Default_Item			0	
77101130	稻妻房间墙面A	ART/Others/Homeworld/SceneObject/Room/SceneObj_Homeworld_Interior_Dq_Room_A_Wall_01				5001	19	家园物件								Default_Item			0	
77101131	稻妻房间地板A	ART/Others/Homeworld/SceneObject/Room/SceneObj_Homeworld_Interior_Dq_Room_A_Floor_01				5001	19	家园物件								Default_Item			0	
