活动id	活动类型	是否更新地形	条件组列表	watcher列表	是否屏蔽界面	是否清理活动bin
5034	1402		503401	1503401,1503402,1503403,1503404,1503405,1503406,1503407,1503408,1503409,1503410,1503411,1503412,1503413,1503414,1503415,1503416,1503417,1503418,1503419,1503420,1503421,1503422,1503423,1503424,1503425,1503426,1503427,1503428		
5035	1204		503501			
2006	2001		200601	1200611,1200612,1200613,1200614,1200615,1200616,1200617,1200618,1200619,1200620,1200621,1200622,1200623,1200624,1200625,1200626,1200627,1200628,1200631,1200632,1200633,1200637,1200638,1200641,1200642,1200651,1200652,1200653,1200667,1200668,1200671,1200672		
5036	2003					
5037	2002		503701	1503701,1503702,1503703,1503704,1503705,1503706,1503707,1503708,1503709,1503710,1503711,1503712,1503713,1503714,1503715		
5038	8					
5039	2005					
5040	2102		504001	1504004,1504005,1504006,1504007,1504008,1504009,1504010,1504011,1504012,1504013,1504014,1504015,1504016,1504017,1504018,1504019,1504020,1504021,1504022		
5041	2103		504101	1504101,1504102,1504103,1504104,1504105,1504106,1504107,1504108,1504109,1504110,1504111,1504112,1504113,1504114,1504115		
2007	2101		200701	1200701,1200702,1200703,1200704,1200705,1200706,1200707,1200708,1200709,1200710,1200711,1200712,1200713,1200714,1200715		
5042	2104					
5043	2105					
5044	1301		504401			
5045	8					
5046	8					
5047	2200		504701	15047012,15047002,15047003,15047004,15047013,15047014,15047015,15047021,15047031		
5048	1405					
2008	2201		200801	2008001,2008002,2008003,2008004,2008005,2008006,2008007,2008008,2008010,2008011,2008012,2008013,2008015,2008016,2008018,2008019		
5049	2203		504901	15049001,15049002,15049003,15049004,15049005,15049006,15049007,15049008,15049009,15049010,15049011,15049012,15049013,15049014,15049015,15049016		
5050	2202		505001	15050001,15050002,15050003,15050004,15050005,15050006,15050007,15050008,15050009,15050010,15050011,15050012,15050013,15050014,15050015,15050016,15050017,15050018,15050019,15050020,15050021		
2009	2301		200901	12009101,12009102,12009103,12009104,12009105,12009106,12009107,12009108,12009109,12009110,12009111,12009112,12009201,12009202,12009205,12009206,12009207,12009208,12009301,12009302,12009303,12009304		
5051	2302		505101	1505101,1505102,1505103,1505104,1505105,1505106,1505107,1505108,1505109		
5052	2204					
5053	1502		505301	15053001		
5054	1503		505401	1505401,1505402,1505403,1505404,1505405,1505406,1505407,1505408,1505409,1505410,1505411,1505412,1505413,1505414		
2010	2402	1	201001	12010001,12010002,12010003,12010401,12010402,12010403,12010404,12010405,12010406,12010407,12010408,12010409,12010410,12010411,12010412,12010413,12010414,12010415,12010601,12010602,12010603,12010604,12010605,12010606,12010607,12010608,12010609,12010801,12010802,12010803,12010811,12010821,12010201,12010202,12010203,12010204,12010205,12010206,12010207,12010208,12010209,12010210,12010211,12010212,12010213,12010214,12010215,12010216,12010217,12010218		
5055	2401		505501	15055001,15055002,15055003,15055004,15055005,15055006,15055007		
5056	1405					
5057	1405					
5058	2400		505801	15058001,15058002,15058003,15058004,15058005,15058006,15058007,15058008,15058009,15058010,15058011,15058012,15058013,15058014,15058015,15058016,15058017,15058018,15058019,15058020,15058021		
5059	8					
5060	2100					
5061	2100		506101			
2011	2501		201101	12011001,12011002,12011003,12011101,12011102,12011103,12011104,12011105,12011106,12011201,12011202,12011203,12011204,12011205,12011206,12011301,12011302,12011303,12011304,12011305,12011306		
5062	2502		506201	15062001,15062002,15062011,15062012,15062013,15062021,15062022,15062023,15062031,15062032,15062033,15062041,15062042,15062043		
5063	2100					
5064	2100					
5065	2503		506501	15065001,15065002,15065003,15065004,15065005,15065006,15065007,15065008,15065009,15065010,15065011,15065012,15065013,15065014,15065015,15065016,15065017,15065018		
5066	2602		506601	15066001,15066002,15066003,15066004,15066005,15066006,15066007,15066008,15066009,15066010,15066011,15066012,15066013,15066014,15066015,15066016,15066017		
5067	2601		506701	15067001,15067002,15067003,15067004,15067005,15067006,15067007,15067008,15067009,15067010,15067011,15067012,15067013,15067014,15067015,15067016,15067017,15067018		
2012	2600	1	201201	12012101,12012102,12012103,12012301,12012302,12012303,12012304,12012201,12012202,12012203,12012204,12012205,12012206,12012207,12012208,12012209,12012210,12012211,12012212,12012213,12012214,12012215,12012216,12012218,12012219,12012220,12012221,12012222,12012223,12012224,12012225,12012226,12012227,12012228,12012229,12012230,12012231,12012232,12012233,12012234,12012235		
5068	2603		506801	15068001,15068002,15068003,15068004,15068005,15068006,15068007,15068008,15068009,15068010,15068011,15068012,15068013,15068014		
5069	8					
5070	8					
5071	2100					
5072	2202		507201	15072001,15072002,15072003,15072004,15072005,15072006,15072007,15072008,15072009,15072010,15072011,15072012,15072013,15072014,15072015,15072016,15072017,15072018,15072019,15072020,15072021		
5073	1405					
5074	1405					
5075	2100					
5076	2102		507601	1507631,1507632,1507633,1507634,1507635,1507636,1507637,1507638,1507639,1507640,1507641,1507642,1507643,1507644,1507645,1507646,1507647,1507648		
5077	2100					
5078	8					
5079	2702		507901	1507901,1507902,1507903,1507904,1507905,1507906,1507907		
5080	2703		508001	1508001,1508002,1508003,1508011,1508012,1508024,1508034,1508041		
2013	2704		201301	1201301,1201302,1201303,1201304,1201305,1201306,1201307,1201309,1201310,1201311,1201312,1201314,1201315,1201316,1201317,1201319,1201320,1201321,1201322,1201323,1201324,1201325,1201327,1201329,1201330,1201331		
5081	8					
2014	2801		201401	12014001,12014002,12014003,12014004,12014101,12014102,12014103,12014104,12014201,12014202,12014203,12014204,12014301,12014302,12014303,12014304,12014401,12014402,12014403,12014404,12014405,12014406,12014407,12014408,12014409,12014410,12014411,12014412,12014413,12014414,12014415,12014416,12014417,12014418,12014501		
5082	2802		508201	15082001,15082002,15082003,15082004,15082005,15082006		
5083	2803		508301	15083001,15083002,15083003,15083004,15083005,15083006,15083007,15083008,15083009,15083010,15083011,15083012,15083013,15083014,15083015,15083016,15083017,15083018		
5084	1602		508401			
5085	1402		508501	1508501,1508502,1508503,1508504,1508505,1508506,1508507,1508508,1508509,1508510,1508511,1508512,1508513,1508514,1508515,1508516,1508517,1508518,1508519,1508520,1508521,1508522,1508523,1508524,1508525,1508526,1508527,1508528		
5088	8					
