索引id	类型	参数1	参数2	参数3	参数4	单机是否需要预准备	单机预准备时长	联机是否需要预准备	联机预准备时长	预准备时是否允许玩家行动（默认否）	是否能够主动中断	SceneID	控制GroupID	GroupID	Group家具ID	复活点GroupID	复活点ConfigID	ability_group	ability_group列表	玩法限时	联机玩法传送点GroupId	联机玩法传送点ConfigId	联机玩法传送超时时间	联机玩法传送预加载GroupId	可选ability_groups	TeamAbilityGroup	team可选ability_groups	Group屏蔽默认修正等级
5004	3					0		0			0	3	133209014	133209009														1
5005	3					0		0			0	3	133209014	133209010														1
5006	3					0		0			0	3	133209014	133209011					DynamicAbility_ArenaChallenge2_TriggerAoeAfterULT									1
5007	3					0		0			0	3	133209014	133209012					DynamicAbility_ArenaChallenge2_AtkSpeedAndCDdec,DynamicAbility_ArenaChallenge2_AtkTiggerAoe									1
5008	3					0		0			0	3	133209014	133209013					DynamicAbility_ArenaChallenge2_KillMonster									1
5009	3					0		0			0	3	133209014	133209007					DynamicAbility_ArenaChallenge2_FallingDamage_Aoe									
5010	3					0		0			0	3	133209014	133209008					DynamicAbility_ArenaChallenge2_KillMonsterThunder									
5011	3					0		0			0	3	133209014	133209009														
5012	3					0		0			0	3	133209014	133209010														
5013	3					0		0			0	3	133209014	133209011					DynamicAbility_ArenaChallenge2_TriggerAoeAfterULT_Challenge									
5014	3					0		0			0	3	133209014	133209012					DynamicAbility_ArenaChallenge2_AtkSpeedAndCDdec,DynamicAbility_ArenaChallenge2_AtkTiggerAoe									
5015	3					0		0			0	3	133209014	133209013					DynamicAbility_ArenaChallenge2_KillMonster									
6001	5					0		0			0	35800	235800006	235800006				ActivityAbility_WindFlora_Wudi	ActivityAbility_WindFlora_Wudi	63								
6002	4	200	1:1;2:1.2;3:1.4;4:1.6			0		0			0	35800	235800005	235800005				ActivityAbility_WindFlora_Wudi	ActivityAbility_WindFlora_Wudi	93								
6003	7					0		0			0	35800	235800002	235800002				ActivityAbility_WindFlora_Wudi	ActivityAbility_WindFlora_Wudi	63								
6004	4	150	1:1;2:1.2;3:1.4;4:1.6			0		0			0	35800	235800004	235800004				ActivityAbility_WindFlora_Wudi	ActivityAbility_WindFlora_Wudi	63								
6005	8					0		0			0	35800	235800009	235800009				ActivityAbility_WindFlora_Wudi	ActivityAbility_WindFlora_Wudi	63								
6006	9					0		0			0	35800	235800010	235800010				ActivityAbility_WindFlora_Wudi	ActivityAbility_WindFlora_Wudi	63								
6007	9					0		0			0	35800	235800011	235800011				ActivityAbility_WindFlora_Wudi	ActivityAbility_WindFlora_Wudi	63								
6008	10					0		0			0	35800	235800003	235800003				ActivityAbility_WindFlora_RecordFloorMemory	ActivityAbility_WindFlora_RecordFloorMemory	93								
7001	12											3						HideSeek_AllPlayer_InitData	HideSeek_AllPlayer_InitData						HideSeek_Seeker,HideSeek_Seeker_ElementalArt_Guide,HideSeek_Seeker_ElementalArt_Detect,HideSeek_Seeker_ElementalBurst_UltraMark,HideSeek_Seeker_ElementalBurst_GlobalSight,HideSeek_Seeker_ElementalBurst_SuperPrison,HideSeek_Hider,HideSeek_Hider_ElementalArt_Invisibility,HideSeek_Hider_ElementalArt_PlaceBait,HideSeek_Hider_ElementalBurst_SpeedUp			
7002	12											3						HideSeek_AllPlayer_InitData	HideSeek_AllPlayer_InitData						HideSeek_Seeker,HideSeek_Seeker_ElementalArt_Guide,HideSeek_Seeker_ElementalArt_Detect,HideSeek_Seeker_ElementalBurst_UltraMark,HideSeek_Seeker_ElementalBurst_GlobalSight,HideSeek_Seeker_ElementalBurst_SuperPrison,HideSeek_Hider,HideSeek_Hider_ElementalArt_Invisibility,HideSeek_Hider_ElementalArt_PlaceBait,HideSeek_Hider_ElementalBurst_SpeedUp			
7003	12											3						HideSeek_AllPlayer_InitData	HideSeek_AllPlayer_InitData						HideSeek_Seeker,HideSeek_Seeker_ElementalArt_Guide,HideSeek_Seeker_ElementalArt_Detect,HideSeek_Seeker_ElementalBurst_UltraMark,HideSeek_Seeker_ElementalBurst_GlobalSight,HideSeek_Seeker_ElementalBurst_SuperPrison,HideSeek_Hider,HideSeek_Hider_ElementalArt_Invisibility,HideSeek_Hider_ElementalArt_PlaceBait,HideSeek_Hider_ElementalBurst_SpeedUp			
7004	12											3						HideSeek_AllPlayer_InitData	HideSeek_AllPlayer_InitData						HideSeek_Seeker,HideSeek_Seeker_ElementalArt_Guide,HideSeek_Seeker_ElementalArt_Detect,HideSeek_Seeker_ElementalBurst_UltraMark,HideSeek_Seeker_ElementalBurst_GlobalSight,HideSeek_Seeker_ElementalBurst_SuperPrison,HideSeek_Hider,HideSeek_Hider_ElementalArt_Invisibility,HideSeek_Hider_ElementalArt_PlaceBait,HideSeek_Hider_ElementalBurst_SpeedUp			
7005	12											3						HideSeek_AllPlayer_InitData	HideSeek_AllPlayer_InitData						HideSeek_Seeker,HideSeek_Seeker_ElementalArt_Guide,HideSeek_Seeker_ElementalArt_Detect,HideSeek_Seeker_ElementalBurst_UltraMark,HideSeek_Seeker_ElementalBurst_GlobalSight,HideSeek_Seeker_ElementalBurst_SuperPrison,HideSeek_Hider,HideSeek_Hider_ElementalArt_Invisibility,HideSeek_Hider_ElementalArt_PlaceBait,HideSeek_Hider_ElementalBurst_SpeedUp			
7006	14					0		0			1	4	144003005			144003005	5042	AbilityGroup_LudiHarpastum_Set_01	ActivityAbility_LudiHarpastum_Hit,ActivityAbility_LudiHarpastum_Hit_Camera	180								
7007	11											43001													ActivityAbility_SuperTrial_RandomRoomRevive,ActivityAbility_SuperTrial_RandomRoomAttackUp,ActivityAbility_SuperTrial_RandomRoomSpeedUp,ActivityAbility_SuperTrial_RandomRoomRevive_Copy,ActivityAbility_SuperTrial_RandomRoomAttackUp_Copy,ActivityAbility_SuperTrial_RandomRoomSpeedUp_Copy			
7008	11											43002													ActivityAbility_SuperTrial_RandomRoomRevive,ActivityAbility_SuperTrial_RandomRoomAttackUp,ActivityAbility_SuperTrial_RandomRoomSpeedUp,ActivityAbility_SuperTrial_RandomRoomRevive_Copy,ActivityAbility_SuperTrial_RandomRoomAttackUp_Copy,ActivityAbility_SuperTrial_RandomRoomSpeedUp_Copy			
7009	11											43003													ActivityAbility_SuperTrial_RandomRoomRevive,ActivityAbility_SuperTrial_RandomRoomAttackUp,ActivityAbility_SuperTrial_RandomRoomSpeedUp,ActivityAbility_SuperTrial_RandomRoomRevive_Copy,ActivityAbility_SuperTrial_RandomRoomAttackUp_Copy,ActivityAbility_SuperTrial_RandomRoomSpeedUp_Copy			
7010	11											43004													ActivityAbility_SuperTrial_RandomRoomRevive,ActivityAbility_SuperTrial_RandomRoomAttackUp,ActivityAbility_SuperTrial_RandomRoomSpeedUp,ActivityAbility_SuperTrial_RandomRoomRevive_Copy,ActivityAbility_SuperTrial_RandomRoomAttackUp_Copy,ActivityAbility_SuperTrial_RandomRoomSpeedUp_Copy			
7011	11											43005													ActivityAbility_SuperTrial_RandomRoomRevive,ActivityAbility_SuperTrial_RandomRoomAttackUp,ActivityAbility_SuperTrial_RandomRoomSpeedUp,ActivityAbility_SuperTrial_RandomRoomRevive_Copy,ActivityAbility_SuperTrial_RandomRoomAttackUp_Copy,ActivityAbility_SuperTrial_RandomRoomSpeedUp_Copy			
7012	11											43006													ActivityAbility_SuperTrial_RandomRoomRevive,ActivityAbility_SuperTrial_RandomRoomAttackUp,ActivityAbility_SuperTrial_RandomRoomSpeedUp,ActivityAbility_SuperTrial_RandomRoomRevive_Copy,ActivityAbility_SuperTrial_RandomRoomAttackUp_Copy,ActivityAbility_SuperTrial_RandomRoomSpeedUp_Copy			
7013	14					0		0			1	4	144003005			144003005	5042	AbilityGroup_LudiHarpastum_Set_01	ActivityAbility_LudiHarpastum_Hit,ActivityAbility_LudiHarpastum_Hit_Camera	180								
7014	14					0		0			1	4	144003005			144003005	5042	AbilityGroup_LudiHarpastum_Set_01	ActivityAbility_LudiHarpastum_Hit,ActivityAbility_LudiHarpastum_Hit_Camera	180								
8001	13	25010301:15,25010401:15,25010201:15,25010701:15,25060101:15	25010501:38,25030301:38,25070101:38	44,64,84	1,2,3	0		0			1	4	144004004							210					ActivityAbility_BuoyantCombat_GatherBase,ActivityAbility_BuoyantCombat_GatherLv1,ActivityAbility_BuoyantCombat_GatherLv2,ActivityAbility_BuoyantCombat_GatherLv3			
8002	13	20011201:12,21010501:12,20011301:12,21010201:12,21010601:12	26010201:50,21020201:50,22010101:50	44,64,84	1,2,3	0		0			1	4	144001064							210					ActivityAbility_BuoyantCombat_WaterBase,ActivityAbility_BuoyantCombat_WaterLv1,ActivityAbility_BuoyantCombat_WaterLv2,ActivityAbility_BuoyantCombat_WaterLv3			
8003	13	24010101:55	24010301:125	44,64,84	1,2,3	0		0			1	4	144004008							210					ActivityAbility_BuoyantCombat_CriticalBase,ActivityAbility_BuoyantCombat_CriticalLv1,ActivityAbility_BuoyantCombat_CriticalLv2,ActivityAbility_BuoyantCombat_CriticalLv3			
8004	13	20010501:15,20010601:15,21010201:15,21010901:15,21011001:15,21030101:15,21020201:15,25010201:15,25060101:15,25010701:15	20010701:60,22010301:60,25070101:60	44,64,84	1,2,3	0		0			1	4	144001107							210					ActivityAbility_BuoyantCombat_IceBase,ActivityAbility_BuoyantCombat_IceLv1,ActivityAbility_BuoyantCombat_IceLv2,ActivityAbility_BuoyantCombat_IceLv3			
8005	13	20010801:12,20010901:12,21011301:12,21011401:12,21010301:12,21010901:12,21030501:12	26010101:36,21020601:36,22010201:36	44,64,84	1,2,3	0		0			1	4	144003031							210					ActivityAbility_BuoyantCombat_FireBase,ActivityAbility_BuoyantCombat_FireLv1,ActivityAbility_BuoyantCombat_FireLv2,ActivityAbility_BuoyantCombat_FireLv3			
8006	13	20010501:10,20010801:10,20011001:10,20011201:10,20011301:10,20011101:10,20010901:10,20010601:10	21020201:32,22010101:32,22010201:32	44,64,84	1,2,3	0		0			1	4	144002066							210					ActivityAbility_BuoyantCombat_WindBase,ActivityAbility_BuoyantCombat_WindLv1,ActivityAbility_BuoyantCombat_WindLv2,ActivityAbility_BuoyantCombat_WindLv3			
8007	13	20011001:15,20011201:15,20011501:15,20011301:15,21010201:15,21011201:15,21010401:15,21010901:15,21010501:15,21011001:15,21030401:15	21020201:40,21020301:40	44,64,84	1,2,3	0		0			1	4	144002067							210					ActivityAbility_BuoyantCombat_ShieldBase,ActivityAbility_BuoyantCombat_ShieldLv1,ActivityAbility_BuoyantCombat_ShieldLv2,ActivityAbility_BuoyantCombat_ShieldLv3			
9001	15											3																
10001	16	25010201:15,25030201:15,25020201:15,25010301:15,25010501:15	25080101:40,25100201:60,25100101:60			0		0			1	35801	235801002						DynamicAbility_Activity_Sumo_Fever	240						Ability_Activity_Sumo_DamageDown		
10002	16	21010601:8,21010701:8,21010901:10,21010201:8,21030501:10,21011301:10	21020101:45,21020601:45,21020401:55			0		0			1	35802	235802002						DynamicAbility_Activity_Sumo_Fever	240						Ability_Activity_Sumo_DamageDown		
10003	16	20010501:7,20010801:7,20011201:7,20011001:7	20010601:40,20011301:40,20011101:40			0		0			1	35803	235803002						DynamicAbility_Activity_Sumo_Fever	240						Ability_Activity_Sumo_DamageDown		
10004	16	21030601:8,21010501:8,21011001:8,21010701:8,21010201:8	21020201:45,21020701:45,21020801:55			0		0			1	35804	235804002						DynamicAbility_Activity_Sumo_Fever	240						Ability_Activity_Sumo_DamageDown		
10005	16	21010201:8,21030101:8	21020201:45			0		0			1	35805	235805002						DynamicAbility_Activity_Sumo_Fever	240						Ability_Activity_Sumo_DamageDown		
10006	16	21020201:25,21010501:8,21010701:8,21010201:8	24010101:55,24010201:65,24010301:75			0		0			1	35806	235806002						DynamicAbility_Activity_Sumo_Fever	240						Ability_Activity_Sumo_DamageDown		
11001	17					0		0			1	3	133104269							180								
11002	17					0		0			1	3	133105044							120								
11003	17					0		0			1	3	133001050							180								
11004	17					0		0			1	3	133213494							120								
11005	17					0		0			1	3	133212532							180								
12001	18					0		0			1	1	111101191							180								
12002	18					0		0			1	3	133007088			133007088	88059			180								
12003	18					0		0			1	3	133105052			133105052	52059			180								
12004	18					0		0			1	3	133106029			133106029	29059			180								
12005	18					0		0			1	3	133212585			133212585	585059			180								
12006	18					0		0			1	3	133008669			133008669	669063			180								
12007	18					0		0			1	3	133108194			133108194	194058			180								
12008	18					0		0			1	3	133225009			133225009	9071			360								
12009	18					0		0			1	1	111101252							360						SLCType_test		
13001	19					0		0			1	3	133008673	133001075		133008673	673119			180								
13002	19					0		0			1	3	133008672	133001075		133008672	672114			180								
13003	19					0		0			1	3	133008671	133001075		133008671	671108			180								
13004	19					0		0			1	3	133008670	133001075		133008670	670140			180								
7015	12											3	133102171					HideSeek_AllPlayer_InitData_V2	HideSeek_AllPlayer_InitData_V2						HideSeek_Seeker_V2,HideSeek_Seeker_ElementalArt_Guide_V2,HideSeek_Seeker_ElementalArt_Detect_V2,HideSeek_Seeker_ElementalBurst_UltraMark_V2,HideSeek_Seeker_ElementalBurst_GlobalSight_V2,HideSeek_Seeker_ElementalBurst_SuperPrison_V2,HideSeek_Hider_V2,HideSeek_Hider_ElementalArt_Invisibility_V2,HideSeek_Hider_ElementalArt_PlaceBait_V2,HideSeek_Hider_ElementalBurst_SpeedUp_V2			
7016	12											3						HideSeek_AllPlayer_InitData_V2	HideSeek_AllPlayer_InitData_V2						HideSeek_Seeker_V2,HideSeek_Seeker_ElementalArt_Guide_V2,HideSeek_Seeker_ElementalArt_Detect_V2,HideSeek_Seeker_ElementalBurst_UltraMark_V2,HideSeek_Seeker_ElementalBurst_GlobalSight_V2,HideSeek_Seeker_ElementalBurst_SuperPrison_V2,HideSeek_Hider_V2,HideSeek_Hider_ElementalArt_Invisibility_V2,HideSeek_Hider_ElementalArt_PlaceBait_V2,HideSeek_Hider_ElementalBurst_SpeedUp_V2			
7017	12											3						HideSeek_AllPlayer_InitData_V2	HideSeek_AllPlayer_InitData_V2						HideSeek_Seeker_V2,HideSeek_Seeker_ElementalArt_Guide_V2,HideSeek_Seeker_ElementalArt_Detect_V2,HideSeek_Seeker_ElementalBurst_UltraMark_V2,HideSeek_Seeker_ElementalBurst_GlobalSight_V2,HideSeek_Seeker_ElementalBurst_SuperPrison_V2,HideSeek_Hider_V2,HideSeek_Hider_ElementalArt_Invisibility_V2,HideSeek_Hider_ElementalArt_PlaceBait_V2,HideSeek_Hider_ElementalBurst_SpeedUp_V2			
7018	12											3	133209064					HideSeek_AllPlayer_InitData_V2	HideSeek_AllPlayer_InitData_V2						HideSeek_Seeker_V2,HideSeek_Seeker_ElementalArt_Guide_V2,HideSeek_Seeker_ElementalArt_Detect_V2,HideSeek_Seeker_ElementalBurst_UltraMark_V2,HideSeek_Seeker_ElementalBurst_GlobalSight_V2,HideSeek_Seeker_ElementalBurst_SuperPrison_V2,HideSeek_Hider_V2,HideSeek_Hider_ElementalArt_Invisibility_V2,HideSeek_Hider_ElementalArt_PlaceBait_V2,HideSeek_Hider_ElementalBurst_SpeedUp_V2			
7019	12											3						HideSeek_AllPlayer_InitData_V2	HideSeek_AllPlayer_InitData_V2						HideSeek_Seeker_V2,HideSeek_Seeker_ElementalArt_Guide_V2,HideSeek_Seeker_ElementalArt_Detect_V2,HideSeek_Seeker_ElementalBurst_UltraMark_V2,HideSeek_Seeker_ElementalBurst_GlobalSight_V2,HideSeek_Seeker_ElementalBurst_SuperPrison_V2,HideSeek_Hider_V2,HideSeek_Hider_ElementalArt_Invisibility_V2,HideSeek_Hider_ElementalArt_PlaceBait_V2,HideSeek_Hider_ElementalBurst_SpeedUp_V2			
7020	12											3	133220693					HideSeek_AllPlayer_InitData_V2	HideSeek_AllPlayer_InitData_V2						HideSeek_Seeker_V2,HideSeek_Seeker_ElementalArt_Guide_V2,HideSeek_Seeker_ElementalArt_Detect_V2,HideSeek_Seeker_ElementalBurst_UltraMark_V2,HideSeek_Seeker_ElementalBurst_GlobalSight_V2,HideSeek_Seeker_ElementalBurst_SuperPrison_V2,HideSeek_Hider_V2,HideSeek_Hider_ElementalArt_Invisibility_V2,HideSeek_Hider_ElementalArt_PlaceBait_V2,HideSeek_Hider_ElementalBurst_SpeedUp_V2			
7021	12											3	133212588					HideSeek_AllPlayer_InitData_V2	HideSeek_AllPlayer_InitData_V2						HideSeek_Seeker_V2,HideSeek_Seeker_ElementalArt_Guide_V2,HideSeek_Seeker_ElementalArt_Detect_V2,HideSeek_Seeker_ElementalBurst_UltraMark_V2,HideSeek_Seeker_ElementalBurst_GlobalSight_V2,HideSeek_Seeker_ElementalBurst_SuperPrison_V2,HideSeek_Hider_V2,HideSeek_Hider_ElementalArt_Invisibility_V2,HideSeek_Hider_ElementalArt_PlaceBait_V2,HideSeek_Hider_ElementalBurst_SpeedUp_V2			
7022	12											3	133213553					HideSeek_AllPlayer_InitData_V2	HideSeek_AllPlayer_InitData_V2						HideSeek_Seeker_V2,HideSeek_Seeker_ElementalArt_Guide_V2,HideSeek_Seeker_ElementalArt_Detect_V2,HideSeek_Seeker_ElementalBurst_UltraMark_V2,HideSeek_Seeker_ElementalBurst_GlobalSight_V2,HideSeek_Seeker_ElementalBurst_SuperPrison_V2,HideSeek_Hider_V2,HideSeek_Hider_ElementalArt_Invisibility_V2,HideSeek_Hider_ElementalArt_PlaceBait_V2,HideSeek_Hider_ElementalBurst_SpeedUp_V2			
7023	12											3						HideSeek_AllPlayer_InitData_V2	HideSeek_AllPlayer_InitData_V2						HideSeek_Seeker_V2,HideSeek_Seeker_ElementalArt_Guide_V2,HideSeek_Seeker_ElementalArt_Detect_V2,HideSeek_Seeker_ElementalBurst_UltraMark_V2,HideSeek_Seeker_ElementalBurst_GlobalSight_V2,HideSeek_Seeker_ElementalBurst_SuperPrison_V2,HideSeek_Hider_V2,HideSeek_Hider_ElementalArt_Invisibility_V2,HideSeek_Hider_ElementalArt_PlaceBait_V2,HideSeek_Hider_ElementalBurst_SpeedUp_V2			
7024	12											3	133003046					HideSeek_AllPlayer_InitData_V2	HideSeek_AllPlayer_InitData_V2						HideSeek_Seeker_V2,HideSeek_Seeker_ElementalArt_Guide_V2,HideSeek_Seeker_ElementalArt_Detect_V2,HideSeek_Seeker_ElementalBurst_UltraMark_V2,HideSeek_Seeker_ElementalBurst_GlobalSight_V2,HideSeek_Seeker_ElementalBurst_SuperPrison_V2,HideSeek_Hider_V2,HideSeek_Hider_ElementalArt_Invisibility_V2,HideSeek_Hider_ElementalArt_PlaceBait_V2,HideSeek_Hider_ElementalBurst_SpeedUp_V2			
7025	12											3						HideSeek_AllPlayer_InitData_V2	HideSeek_AllPlayer_InitData_V2						HideSeek_Seeker_V2,HideSeek_Seeker_ElementalArt_Guide_V2,HideSeek_Seeker_ElementalArt_Detect_V2,HideSeek_Seeker_ElementalBurst_UltraMark_V2,HideSeek_Seeker_ElementalBurst_GlobalSight_V2,HideSeek_Seeker_ElementalBurst_SuperPrison_V2,HideSeek_Hider_V2,HideSeek_Hider_ElementalArt_Invisibility_V2,HideSeek_Hider_ElementalArt_PlaceBait_V2,HideSeek_Hider_ElementalBurst_SpeedUp_V2			
7026	12											3						HideSeek_AllPlayer_InitData_V2	HideSeek_AllPlayer_InitData_V2						HideSeek_Seeker_V2,HideSeek_Seeker_ElementalArt_Guide_V2,HideSeek_Seeker_ElementalArt_Detect_V2,HideSeek_Seeker_ElementalBurst_UltraMark_V2,HideSeek_Seeker_ElementalBurst_GlobalSight_V2,HideSeek_Seeker_ElementalBurst_SuperPrison_V2,HideSeek_Hider_V2,HideSeek_Hider_ElementalArt_Invisibility_V2,HideSeek_Hider_ElementalArt_PlaceBait_V2,HideSeek_Hider_ElementalBurst_SpeedUp_V2			
7027	12											3						HideSeek_AllPlayer_InitData_V2	HideSeek_AllPlayer_InitData_V2						HideSeek_Seeker_V2,HideSeek_Seeker_ElementalArt_Guide_V2,HideSeek_Seeker_ElementalArt_Detect_V2,HideSeek_Seeker_ElementalBurst_UltraMark_V2,HideSeek_Seeker_ElementalBurst_GlobalSight_V2,HideSeek_Seeker_ElementalBurst_SuperPrison_V2,HideSeek_Hider_V2,HideSeek_Hider_ElementalArt_Invisibility_V2,HideSeek_Hider_ElementalArt_PlaceBait_V2,HideSeek_Hider_ElementalBurst_SpeedUp_V2			
7028	12											3	133104657					HideSeek_AllPlayer_InitData_V2	HideSeek_AllPlayer_InitData_V2						HideSeek_Seeker_V2,HideSeek_Seeker_ElementalArt_Guide_V2,HideSeek_Seeker_ElementalArt_Detect_V2,HideSeek_Seeker_ElementalBurst_UltraMark_V2,HideSeek_Seeker_ElementalBurst_GlobalSight_V2,HideSeek_Seeker_ElementalBurst_SuperPrison_V2,HideSeek_Hider_V2,HideSeek_Hider_ElementalArt_Invisibility_V2,HideSeek_Hider_ElementalArt_PlaceBait_V2,HideSeek_Hider_ElementalBurst_SpeedUp_V2			
7029	12											3						HideSeek_AllPlayer_InitData_V2	HideSeek_AllPlayer_InitData_V2						HideSeek_Seeker_V2,HideSeek_Seeker_ElementalArt_Guide_V2,HideSeek_Seeker_ElementalArt_Detect_V2,HideSeek_Seeker_ElementalBurst_UltraMark_V2,HideSeek_Seeker_ElementalBurst_GlobalSight_V2,HideSeek_Seeker_ElementalBurst_SuperPrison_V2,HideSeek_Hider_V2,HideSeek_Hider_ElementalArt_Invisibility_V2,HideSeek_Hider_ElementalArt_PlaceBait_V2,HideSeek_Hider_ElementalBurst_SpeedUp_V2			
7030	12											3						HideSeek_AllPlayer_InitData_V2	HideSeek_AllPlayer_InitData_V2						HideSeek_Seeker_V2,HideSeek_Seeker_ElementalArt_Guide_V2,HideSeek_Seeker_ElementalArt_Detect_V2,HideSeek_Seeker_ElementalBurst_UltraMark_V2,HideSeek_Seeker_ElementalBurst_GlobalSight_V2,HideSeek_Seeker_ElementalBurst_SuperPrison_V2,HideSeek_Hider_V2,HideSeek_Hider_ElementalArt_Invisibility_V2,HideSeek_Hider_ElementalArt_PlaceBait_V2,HideSeek_Hider_ElementalBurst_SpeedUp_V2			
7031	12											3	133002131					HideSeek_AllPlayer_InitData_V2	HideSeek_AllPlayer_InitData_V2						HideSeek_Seeker_V2,HideSeek_Seeker_ElementalArt_Guide_V2,HideSeek_Seeker_ElementalArt_Detect_V2,HideSeek_Seeker_ElementalBurst_UltraMark_V2,HideSeek_Seeker_ElementalBurst_GlobalSight_V2,HideSeek_Seeker_ElementalBurst_SuperPrison_V2,HideSeek_Hider_V2,HideSeek_Hider_ElementalArt_Invisibility_V2,HideSeek_Hider_ElementalArt_PlaceBait_V2,HideSeek_Hider_ElementalBurst_SpeedUp_V2			
7032	12											3	133002134					HideSeek_AllPlayer_InitData_V2	HideSeek_AllPlayer_InitData_V2						HideSeek_Seeker_V2,HideSeek_Seeker_ElementalArt_Guide_V2,HideSeek_Seeker_ElementalArt_Detect_V2,HideSeek_Seeker_ElementalBurst_UltraMark_V2,HideSeek_Seeker_ElementalBurst_GlobalSight_V2,HideSeek_Seeker_ElementalBurst_SuperPrison_V2,HideSeek_Hider_V2,HideSeek_Hider_ElementalArt_Invisibility_V2,HideSeek_Hider_ElementalArt_PlaceBait_V2,HideSeek_Hider_ElementalBurst_SpeedUp_V2			
7033	12											3						HideSeek_AllPlayer_InitData_V2	HideSeek_AllPlayer_InitData_V2						HideSeek_Seeker_V2,HideSeek_Seeker_ElementalArt_Guide_V2,HideSeek_Seeker_ElementalArt_Detect_V2,HideSeek_Seeker_ElementalBurst_UltraMark_V2,HideSeek_Seeker_ElementalBurst_GlobalSight_V2,HideSeek_Seeker_ElementalBurst_SuperPrison_V2,HideSeek_Hider_V2,HideSeek_Hider_ElementalArt_Invisibility_V2,HideSeek_Hider_ElementalArt_PlaceBait_V2,HideSeek_Hider_ElementalBurst_SpeedUp_V2			
7034	12											3						HideSeek_AllPlayer_InitData_V2	HideSeek_AllPlayer_InitData_V2						HideSeek_Seeker_V2,HideSeek_Seeker_ElementalArt_Guide_V2,HideSeek_Seeker_ElementalArt_Detect_V2,HideSeek_Seeker_ElementalBurst_UltraMark_V2,HideSeek_Seeker_ElementalBurst_GlobalSight_V2,HideSeek_Seeker_ElementalBurst_SuperPrison_V2,HideSeek_Hider_V2,HideSeek_Hider_ElementalArt_Invisibility_V2,HideSeek_Hider_ElementalArt_PlaceBait_V2,HideSeek_Hider_ElementalBurst_SpeedUp_V2			
7035	11											43007	243007005							1800					ActivityAbility_SuperTrial_RandomRoomRevive	ActivityAbility_MistTrial_Level_1		
7036	11											43008	243008005							1800					ActivityAbility_SuperTrial_RandomRoomRevive	ActivityAbility_MistTrial_Level_2		
7037	11											43009	243009003							1800					ActivityAbility_SuperTrial_RandomRoomRevive	ActivityAbility_MistTrial_Level_3		
7038	11											43010	243010003							1800					ActivityAbility_SuperTrial_RandomRoomRevive	ActivityAbility_MistTrial_Level_4		
7039	11											43011	243011003							1800					ActivityAbility_SuperTrial_RandomRoomRevive	ActivityAbility_MistTrial_Level_5		
7040	11											43012	243012003							1800					ActivityAbility_SuperTrial_RandomRoomRevive	ActivityAbility_MistTrial_Level_6		
7041	11											43013	243013005							1800					ActivityAbility_SuperTrial_RandomRoomRevive			
