ID	名称$text_name_Name	Prefab路径	Prefab_Remote路径	Controller路径	Controller_Remote路径	默认阵营	JSON名称	JSON路径文件名	能否战斗	能否移动	能否发声	是否常驻	角色npc初见分组
2154	塔列辛	ART/Char/NPC/NPC_Liyue/NPC_Liyue_Male/NPC_Liyue_Male_Standard_Taliesin_2154				2001		ConfigNpc_Common_AnimatorMove_Male		1	1	1	
2155	赞玛兰	ART/Char/NPC/NPC_Others/NPC_Others_Readable_Invisible				2001	ReadableNPC			1	1	1	
2156	「安全距离爆破装置·信号指南」	ART/Char/NPC/NPC_Others/NPC_Others_Readable_Invisible				2001	ReadableNPC			1	1	1	
2157	尼古拉下士的信	ART/Char/NPC/NPC_Others/NPC_Others_Readable_Invisible				2001	ReadableNPC			1	1	1	
2158	合成	ART/Char/NPC/NPC_Others/NPC_Others_Readable_Invisible				2001	ReadableNPC						
2159	工作手册	ART/Char/NPC/NPC_Others/NPC_Others_Readable_Invisible				2001	ReadableNPC			1	1	1	
2160	愚人众笔记	ART/Char/NPC/NPC_Others/NPC_Others_Readable_Invisible				2001	ReadableNPC			1	1	1	
2161	盗宝团书信	ART/Char/NPC/NPC_Others/NPC_Others_Readable_Invisible				2001	ReadableNPC			1	1	1	
2162	盗宝团书信	ART/Char/NPC/NPC_Others/NPC_Others_Readable_Invisible				2001	ReadableNPC			1	1	1	
2163	层岩巨渊爆破组通知	ART/Char/NPC/NPC_Others/NPC_Others_Readable_Invisible				2001	ReadableNPC			1	1	1	
2164	王平安	ART/Char/NPC/NPC_Quest/NPC_Quest_Male_Strong_Wangpingan_12326				2001		ConfigNpc_Common_AnimatorMove_Male		1	1	1	
2165	老图	ART/Char/NPC/NPC_Liyue/NPC_Liyue_MuscleMan/NPC_Liyue_MuscleMan_Standard_Tu_2165				2001		ConfigNpc_Common_AnimatorMove_MuscleMan		1	1	1	
2166	阿昊	ART/Char/NPC/NPC_Liyue/NPC_Liyue_Male/NPC_Liyue_Male_Strong_Hao_2166				2001		ConfigNpc_Common_AnimatorMove_Male		1	1	1	
2167	嘉铭	ART/Char/NPC/NPC_Liyue/NPC_Liyue_Male/NPC_Liyue_Male_Standard_Jiaming_2167				2001		ConfigNpc_Common_AnimatorMove_Male_NoAction		1	1	1	
2168	尤骏	ART/Char/NPC/NPC_Liyue/NPC_Liyue_Male/NPC_Liyue_Male_Standard_Youjun_2168				2001		ConfigNpc_Common_AnimatorMove_Male_NoAction		1	1	1	
2169	彦博	ART/Char/NPC/NPC_Liyue/NPC_Liyue_Male/NPC_Liyue_Male_Standard_Yanbo_2169				2001		ConfigNpc_Common_AnimatorMove_Male_NoAction		1	1	1	
2170	通知！	ART/Char/NPC/NPC_Others/NPC_Others_Readable_Invisible				2001	ReadableNPC			1	1	1	
2171	遗落的文件	ART/Char/NPC/NPC_Others/NPC_Others_Readable_Invisible				2001	ReadableNPC			1	1	1	
2172	彦博的字条	ART/Char/NPC/NPC_Others/NPC_Others_Readable_Invisible				2001	ReadableNPC			1	1	1	
2173	没写完的补给日志	ART/Char/NPC/NPC_Others/NPC_Others_Readable_Invisible				2001	ReadableNPC			1	1	1	
2174	观察	ART/Char/NPC/NPC_Others/NPC_Others_Readable_Invisible				2001	ReadableNPC					1	
2175	愚人众行动日志·其一	ART/Char/NPC/NPC_Others/NPC_Others_Readable_Invisible				2001	ReadableNPC			1	1	1	
2176	愚人众行动日志·其二	ART/Char/NPC/NPC_Others/NPC_Others_Readable_Invisible				2001	ReadableNPC			1	1	1	
2177	愚人众行动日志·其三	ART/Char/NPC/NPC_Others/NPC_Others_Readable_Invisible				2001	ReadableNPC			1	1	1	
2178	愚人众行动日志·其四	ART/Char/NPC/NPC_Others/NPC_Others_Readable_Invisible				2001	ReadableNPC			1	1	1	
2179	破损的日志	ART/Char/NPC/NPC_Others/NPC_Others_Readable_Invisible				2001	ReadableNPC			1	1	1	
2180	旧库房安置通知	ART/Char/NPC/NPC_Others/NPC_Others_Readable_Invisible				2001	ReadableNPC			1	1	1	
2181	《层岩巨渊矿产图鉴》	ART/Char/NPC/NPC_Others/NPC_Others_Readable_Invisible				2001	ReadableNPC			1	1	1	
2182	小心！	ART/Char/NPC/NPC_Others/NPC_Others_Readable_Invisible				2001	ReadableNPC			1	1	1	
2183	古老的石碑	ART/Char/NPC/NPC_Others/NPC_Others_Readable_Invisible				2001	ReadableNPC			1	1	1	
2184	矿工宿舍紧急通知	ART/Char/NPC/NPC_Others/NPC_Others_Readable_Invisible				2001	ReadableNPC			1	1	1	
2185	小心！	ART/Char/NPC/NPC_Others/NPC_Others_Readable_Invisible				2001	ReadableNPC			1	1	1	
2186	施工注意！	ART/Char/NPC/NPC_Others/NPC_Others_Readable_Invisible				2001	ReadableNPC			1	1	1	
2187	勘探队营地告示牌	ART/Char/NPC/NPC_Others/NPC_Others_Readable_Invisible				2001	ReadableNPC			1	1	1	
2188	告示牌	ART/Char/NPC/NPC_Others/NPC_Others_Readable_Invisible				2001	ReadableNPC			1	1	1	
2189	告示牌	ART/Char/NPC/NPC_Others/NPC_Others_Readable_Invisible				2001	ReadableNPC			1	1	1	
2190	告示牌	ART/Char/NPC/NPC_Others/NPC_Others_Readable_Invisible				2001	ReadableNPC			1	1	1	
2191	告示	ART/Char/NPC/NPC_Others/NPC_Others_Readable_Invisible				2001	ReadableNPC			1	1	1	
2192	通知	ART/Char/NPC/NPC_Others/NPC_Others_Readable_Invisible				2001	ReadableNPC			1	1	1	
2193	《层岩巨渊矿产报告》	ART/Char/NPC/NPC_Others/NPC_Others_Readable_Invisible				2001	ReadableNPC			1	1	1	
2194	《层岩巨渊「灵石」调查书》	ART/Char/NPC/NPC_Others/NPC_Others_Readable_Invisible				2001	ReadableNPC			1	1	1	
2195	注意！	ART/Char/NPC/NPC_Others/NPC_Others_Readable_Invisible				2001	ReadableNPC			1	1	1	
2196	合成	ART/Char/NPC/NPC_Others/NPC_Others_Readable_Invisible				2001	ReadableNPC					1	
2197	瑾武	ART/Char/NPC/NPC_Liyue/NPC_Liyue_Female/NPC_Liyue_Female_Strong_Jinwu_2616				2001		ConfigNpc_Common_AnimatorMove_Female		1	1	1	
2198	老图	ART/Char/NPC/NPC_Liyue/NPC_Liyue_MuscleMan/NPC_Liyue_MuscleMan_Standard_Tu_2198				2001		ConfigNpc_Common_AnimatorMove_MuscleMan		1	1	1	
2199	阿昊	ART/Char/NPC/NPC_Liyue/NPC_Liyue_Male/NPC_Liyue_Male_Strong_Hao_2199				2001		ConfigNpc_Common_AnimatorMove_Male		1	1	1	
2212	（test）矿工	ART/Char/NPC/NPC_Liyue/NPC_Liyue_Male/NPC_Liyue_Male_Strong_Miner_2212				2001		ConfigNpc_Common_AnimatorMove_Male_noActionAndHeadcontrol		1	1	1	
2213	（test）矿工	ART/Char/NPC/NPC_Liyue/NPC_Liyue_Male/NPC_Liyue_Male_Strong_Miner_2213				2001		ConfigNpc_Common_AnimatorMove_Male_noActionAndHeadcontrol		1	1	1	
2214	神秘的信笺	ART/Char/NPC/NPC_Others/NPC_Others_Readable_Invisible				2001	ReadableNPC			1	1	1	
2215	神秘的信笺	ART/Char/NPC/NPC_Others/NPC_Others_Readable_Invisible				2001	ReadableNPC			1	1	1	
2216	神秘的信笺	ART/Char/NPC/NPC_Others/NPC_Others_Readable_Invisible				2001	ReadableNPC			1	1	1	
2217	神秘的信笺	ART/Char/NPC/NPC_Others/NPC_Others_Readable_Invisible				2001	ReadableNPC			1	1	1	
2218	神秘的信笺	ART/Char/NPC/NPC_Others/NPC_Others_Readable_Invisible				2001	ReadableNPC			1	1	1	
2219	神秘的信笺	ART/Char/NPC/NPC_Others/NPC_Others_Readable_Invisible				2001	ReadableNPC			1	1	1	
2220	神秘的信笺	ART/Char/NPC/NPC_Others/NPC_Others_Readable_Invisible				2001	ReadableNPC			1	1	1	
2221	神秘的信笺	ART/Char/NPC/NPC_Others/NPC_Others_Readable_Invisible				2001	ReadableNPC			1	1	1	
2222	神秘的信笺	ART/Char/NPC/NPC_Others/NPC_Others_Readable_Invisible				2001	ReadableNPC			1	1	1	
2223	神秘的信笺	ART/Char/NPC/NPC_Others/NPC_Others_Readable_Invisible				2001	ReadableNPC			1	1	1	
2224	神秘的信笺	ART/Char/NPC/NPC_Others/NPC_Others_Readable_Invisible				2001	ReadableNPC			1	1	1	
2225	神秘的信笺	ART/Char/NPC/NPC_Others/NPC_Others_Readable_Invisible				2001	ReadableNPC			1	1	1	
2226	唐无仇	ART/Char/NPC/NPC_Quest/NPC_Quest_Male_Fat_Doorhold_30086				2001		ConfigNpc_Common_AnimatorMove_Male		1	1	1	
2227	安全告示	ART/Char/NPC/NPC_Others/NPC_Others_Readable_Invisible				2001	ReadableNPC			1	1	1	
2600	迪卢克	ART/Char/NPC/NPC_Avatar/NPC_Avatar_Male_Claymore_DilucCostumeFlamme				2001	ConfigNpc_Common_AnimatorMove	ConfigNpc_Common_AnimatorMove		1	1		16
2601	菲谢尔	ART/Char/NPC/NPC_Avatar/NPC_Avatar_Girl_Bow_FischlCostumeHighness				2001		ConfigNpc_Common_AnimatorMove		1	1		31
2616	瑾武	ART/Char/NPC/NPC_Liyue/NPC_Liyue_Female/NPC_Liyue_Female_Strong_Jinwu_2616				2001		ConfigNpc_Common_AnimatorMove_Female		1	1	1	
2617	克里托夫	ART/Char/NPC/NPC_Liyue/NPC_Liyue_Male/NPC_Liyue_Male_Standard_Clitopho_2617				2001		ConfigNpc_Common_AnimatorMove_Male		1	1	1	
2618	海迪夫	ART/Char/NPC/NPC_Liyue/NPC_Liyue_Male/NPC_Liyue_Male_Standard_Khedive_2618				2001		ConfigNpc_Common_AnimatorMove_Male		1	1	1	
3000	平山	ART/Char/NPC/NPC_Inazuma/NPC_Inazuma_Male/NPC_Inazuma_Male_Standard_Hirayama_3000				2001		ConfigNpc_Common_AnimatorMove_Male		1	1	1	
3190	村田	ART/Char/NPC/NPC_Inazuma/NPC_Inazuma_Female/NPC_Inazuma_Female_Standard_Murata_3190				2001		ConfigNpc_Common_AnimatorMove_Female		1	1	1	
3191	山城健太	ART/Char/NPC/NPC_Inazuma/NPC_Inazuma_Male/NPC_Inazuma_Male_Standard_YamashiroKenta_3191				2001		ConfigNpc_Common_AnimatorMove_Male		1	1	1	
3205	莉尔	ART/Char/NPC/NPC_Mengde/NPC_Mengde_Female/NPC_Mengde_Female_Standard_Lil_3205				2001		ConfigNpc_Common_AnimatorMove_Female		1	1	1	
3206	吟游诗人B	ART/Char/NPC/NPC_Mengde/NPC_Mengde_Male/NPC_Mengde_Male_Standard_PoetB_3206				2001		ConfigNpc_Common_AnimatorMove_Male		1	1	1	
3207	吟游诗人C	ART/Char/NPC/NPC_Mengde/NPC_Mengde_Male/NPC_Mengde_Male_Fat_PoetC_3207				2001		ConfigNpc_Common_AnimatorMove_Male		1	1	1	
3227	阿倍良久	ART/Char/NPC/NPC_Others/NPC_Others_Enkanomiya_Shade/NPC_Others_Enkanomiya_Shade				2001		ConfigNpc_Common_AnimatorMove_Child_noheadcontrol		1	1	1	
3228	阿多尼斯	ART/Char/NPC/NPC_Others/NPC_Others_Enkanomiya_Shade/NPC_Others_Enkanomiya_Shade				2001		ConfigNpc_Common_AnimatorMove_Child_noheadcontrol		1	1	1	
3229	贺摩	ART/Char/NPC/NPC_Others/NPC_Others_Enkanomiya_Shade/NPC_Others_Enkanomiya_Shade				2001		ConfigNpc_Common_AnimatorMove_Child_noheadcontrol		1	1	1	
3230	乌帽子	ART/Char/NPC/NPC_Others/NPC_Others_Enkanomiya_Shade/NPC_Others_Enkanomiya_Shade				2001		ConfigNpc_Common_AnimatorMove_Child_noheadcontrol		1	1	1	
9008	夜兰	ART/Char/NPC/NPC_Avatar_Homeworld/NPC_Homeworld_Avatar_Lady_Bow_Yelan/NPC_Homeworld_Avatar_Lady_Bow_Yelan				2001		ConfigNpc_Common_AnimatorMove		1	1		
9009	久岐忍	ART/Char/NPC/NPC_Avatar_Homeworld/NPC_Homeworld_Avatar_Girl_Sword_Shinobu/NPC_Homeworld_Avatar_Girl_Sword_Shinobu				2001		ConfigNpc_Common_AnimatorMove		1	1		
9058	八重神子	ART/Char/NPC/NPC_Avatar_Homeworld/NPC_Homeworld_Avatar_Lady_Catalyst_Yae/NPC_Homeworld_Avatar_Lady_Catalyst_Yae				2001		ConfigNpc_Common_AnimatorMove		1	1		
9059	鹿野院平藏	ART/Char/NPC/NPC_Avatar_Homeworld/NPC_Homeworld_Avatar_Boy_Catalyst_Heizo/NPC_Homeworld_Avatar_Boy_Catalyst_Heizo				2001		ConfigNpc_Common_AnimatorMove		1	1		
9066	神里绫人	ART/Char/NPC/NPC_Avatar_Homeworld/NPC_Homeworld_Avatar_Male_Sword_Ayato/NPC_Homeworld_Avatar_Male_Sword_Ayato				2001		ConfigNpc_Common_AnimatorMove		1	1		
12400	(test)检查神樱大树	ART/Char/NPC/NPC_Others/NPC_Others_Readable_Invisible				2001	ReadableNPC			1	1		
12401	(test)检查大社周边	ART/Char/NPC/NPC_Others/NPC_Others_Readable_Invisible				2001	ReadableNPC			1	1		
12402	？？？	ART/Char/NPC/NPC_Others/NPC_Others_Readable_Invisible				2001	ReadableNPC						
12403	知易的规划书	ART/Char/NPC/NPC_Others/NPC_Others_Readable_Invisible				2001	ReadableNPC						
12404		ART/Char/NPC/NPC_Others/NPC_Others_Readable_Invisible				2001	ReadableNPC						
12405	哲夫	ART/Char/NPC/NPC_Inazuma/NPC_Inazuma_Male/NPC_Inazuma_Male_Standard_Tokunaga_3036				2001		ConfigNpc_Common_AnimatorMove_Male		1	1		
12406	一道	ART/Char/NPC/NPC_Inazuma/NPC_Inazuma_Male/NPC_Inazuma_Male_Standard_Katayama_3127				2001		ConfigNpc_Common_AnimatorMove_Male		1	1		
12407	遗迹猎者	ART/Char/NPC/NPC_Monster/NPC_Monster_Formathr_None				2001		ConfigNpc_Common_AnimatorMove_Male_noheadcontrol		1	1		
12411	深见	ART/Char/NPC/NPC_Quest/NPC_Quest_MuscleMan_Standard_Fukami_12411				2001		ConfigNpc_Common_AnimatorMove_MuscleMan		1	1		
12412	博易	ART/Char/NPC/NPC_Quest/NPC_Quest_Male_Standard_Zhubian_12320				4001	ConfigNpc_Sensing_AnimatorMove_SneakRunNPC	ConfigNpc_Sensing_AnimatorMove_SneakRunNPC		1	1		
12413	诗筠	ART/Char/NPC/NPC_Quest/NPC_Quest_Female_Standard_Jizhe_12319				2001	ConfigNpc_Common_AnimatorMove_Female	ConfigNpc_Common_AnimatorMove_Female		1	1		
12414	真	ART/Char/NPC/NPC_Others/NPC_Others_Readable_Invisible				2001	ReadableNPC				1		
12415	伸夫	ART/Char/NPC/NPC_Inazuma/NPC_Inazuma_Male/NPC_Inazuma_Male_Standard_Santa_3171				2001		ConfigNpc_Common_AnimatorMove_Male		1	1		
12416	健司	ART/Char/NPC/NPC_Inazuma/NPC_Inazuma_Male/NPC_Inazuma_Male_Standard_Murakami_3172				2001		ConfigNpc_Common_AnimatorMove_Male		1	1		
12417	？？？	ART/Char/NPC/NPC_Inazuma/NPC_Inazuma_Male/NPC_Inazuma_Male_Fat_AikawaSusumu_3038				2001		ConfigNpc_Common_AnimatorMove_Male		1	1		
12418	谜之声A	ART/Char/NPC/NPC_Inazuma/NPC_Inazuma_Male/NPC_Inazuma_Male_Fat_AikawaSusumu_3038				2001		ConfigNpc_Common_AnimatorMove_Male		1	1		
12419	谜之声B	ART/Char/NPC/NPC_Inazuma/NPC_Inazuma_Male/NPC_Inazuma_Male_Fat_AikawaSusumu_3038				2001		ConfigNpc_Common_AnimatorMove_Male		1	1		
12420	谜之声C	ART/Char/NPC/NPC_Inazuma/NPC_Inazuma_Male/NPC_Inazuma_Male_Fat_AikawaSusumu_3038				2001		ConfigNpc_Common_AnimatorMove_Male		1	1		
12421	谜之声D	ART/Char/NPC/NPC_Inazuma/NPC_Inazuma_Male/NPC_Inazuma_Male_Fat_AikawaSusumu_3038				2001		ConfigNpc_Common_AnimatorMove_Male		1	1		
12422	观察杯子	ART/Char/NPC/NPC_Others/NPC_Others_Readable_Invisible				2001	ReadableNPC						
12423	玥辉	ART/Char/NPC/NPC_Quest/NPC_Quest_MuscleMan_Standard_Yuehui_12423				2001		ConfigNpc_Common_AnimatorMove_MuscleMan		1	1		
12424	哈夫丹	ART/Char/NPC/NPC_Monster/NPC_Monster_Darkwraith_Strong_Wind_01				2001		ConfigNpc_Common_AnimatorMove_Male		1	1		
12425	深渊司铎	ART/Char/NPC/NPC_Monster/NPC_Monster_Invoker_Deacon_Electric_01				2001		ConfigNpc_Common_AnimatorMove_Male		1	1		
12426	开始拍照	ART/Char/NPC/NPC_Others/NPC_Others_Readable_Invisible				2001	ReadableNPC			1	1		
12427	调查	ART/Char/NPC/NPC_Others/NPC_Others_Readable_Invisible				2001	ReadableNPC						
12428	观察茶杯	ART/Char/NPC/NPC_Others/NPC_Others_Readable_Invisible				2001	ReadableNPC			1	1		
12429	往日的黑蛇骑士	ART/Char/NPC/NPC_Monster/NPC_Monster_ForlornVessel_Strong_Lance_Water_01				2001		ConfigNpc_Common_AnimatorMove_Male		1	1		
12430	PhatomSamurai	ART/Char/NPC/NPC_Quest/NPC_Quest_MuscleMan_Standard_PhatomSamurai_12430 				2001		ConfigNpc_Common_AnimatorMove_MuscleMan		1	1		
12431	幻影路人A	ART/Char/NPC/NPC_Quest/NPC_Quest_Male_Standard_Phatomnpca_12431				2001		ConfigNpc_Common_AnimatorMove_Male		1	1		
12432	幻影路人B	ART/Char/NPC/NPC_Quest/NPC_Quest_Male_Standard_Phatomnpcb_12432				2001		ConfigNpc_Common_AnimatorMove_Male		1	1		
12433	幻影路人C	ART/Char/NPC/NPC_Quest/NPC_Quest_Male_Standard_Phatomnpcc_12433				2001		ConfigNpc_Common_AnimatorMove_Male		1	1		
12434	幻影路人D	ART/Char/NPC/NPC_Quest/NPC_Quest_Male_Standard_Phatomnpcd_12434				2001		ConfigNpc_Common_AnimatorMove_Male		1	1		
12435	聪美	ART/Char/NPC/NPC_Inazuma/NPC_Inazuma_Female/NPC_Inazuma_Female_Fat_Yamada_3108				2001		ConfigNpc_Common_AnimatorMove_Female		1	1		
12436	气泡A	ART/Char/NPC/NPC_Inazuma/NPC_Inazuma_Male/NPC_Inazuma_Male_Standard_MikoshiGenjiro_3056				2001		ConfigNpc_Common_AnimatorMove_Male		1	1		
12437	气泡B	ART/Char/NPC/NPC_Inazuma/NPC_Inazuma_Male/NPC_Inazuma_Male_Standard_Shirai_3130				2001		ConfigNpc_Common_AnimatorMove_Male		1	1		
12438	气泡C	ART/Char/NPC/NPC_Inazuma/NPC_Inazuma_Female/NPC_Inazuma_Female_Standard_Kumi_3195				2001		ConfigNpc_Common_AnimatorMove_Female		1	1		
12439	气泡D	ART/Char/NPC/NPC_Inazuma/NPC_Inazuma_Female/NPC_Inazuma_Female_Standard_Ryoko_3078				2001		ConfigNpc_Common_AnimatorMove_Female		1	1		
12440	气泡E	ART/Char/NPC/NPC_Inazuma/NPC_Inazuma_Male/NPC_Inazuma_Male_Fat_Yabuki_3128				2001		ConfigNpc_Common_AnimatorMove_Male		1	1		
12441	老章	ART/Char/NPC/NPC_Liyue/NPC_Liyue_MuscleMan/NPC_Liyue_MuscleMan_Standard_MasterZhang02_204801				2001		ConfigNpc_Common_AnimatorMove_MuscleMan		1	1		
12442	(test)商人D	ART/Char/NPC/NPC_Liyue/NPC_Liyue_Male/NPC_Liyue_Male_Standard_Bolai_2013				2001		ConfigNpc_Common_AnimatorMove_Male		1	1		
12443	(test)商人E	ART/Char/NPC/NPC_Quest/NPC_Quest_Male_Fat_MerchantAdd2_12443				2001		ConfigNpc_Common_AnimatorMove_Male		1	1		
12444	(test)商人F	ART/Char/NPC/NPC_Quest/NPC_Quest_Female_Standard_MerchantAdd3_12444				2001		ConfigNpc_Common_AnimatorMove_Female		1	1		
12445	松浦	ART/Char/NPC/NPC_Quest/NPC_Quest_Male_Standard_Matsuura_12445				2001		ConfigNpc_Common_AnimatorMove_Male		1	1		
12446	菱田	ART/Char/NPC/NPC_Quest/NPC_Quest_Male_Standard_Hishida_12446				2001		ConfigNpc_Common_AnimatorMove_Male		1	1		
12447	尚	ART/Char/NPC/NPC_Quest/NPC_Quest_Male_Standard_Hisashi_12447				2001		ConfigNpc_Common_AnimatorMove_Male		1	1		
12448	秀夫	ART/Char/NPC/NPC_Quest/NPC_Quest_Male_Standard_Hideo_12448				2001		ConfigNpc_Common_AnimatorMove_Male		1	1		
12449	畑中	ART/Char/NPC/NPC_Quest/NPC_Quest_Male_Standard_Hatanaka_12449				2001		ConfigNpc_Common_AnimatorMove_Male		1	1		
12450	康明	ART/Char/NPC/NPC_Quest/NPC_Quest_Male_Fat_Yasuaki_12450				2001		ConfigNpc_Common_AnimatorMove_Male		1	1		
12451	公告板	ART/Char/NPC/NPC_Others/NPC_Others_Readable_Invisible				2001	ReadableNPC						
12452	往日的黑蛇骑士	ART/Char/NPC/NPC_Monster/NPC_Monster_ForlornVessel_Strong_Lance_Water_01				2001		ConfigNpc_Common_AnimatorMove_Male		1	1		
12453	往日的黑蛇骑士	ART/Char/NPC/NPC_Monster/NPC_Monster_ForlornVessel_Strong_Chargebow_Ice_01				2001		ConfigNpc_Common_AnimatorMove_Male		1	1		
12454	调查	ART/Char/NPC/NPC_Others/NPC_Others_Readable_Invisible				2001	ReadableNPC			1	1		
12455	调查	ART/Char/NPC/NPC_Others/NPC_Others_Readable_Invisible				2001	ReadableNPC			1	1		
12456	调查	ART/Char/NPC/NPC_Others/NPC_Others_Readable_Invisible				2001	ReadableNPC			1	1		
12457	调查	ART/Char/NPC/NPC_Others/NPC_Others_Readable_Invisible				2001	ReadableNPC			1	1		
12458	调查	ART/Char/NPC/NPC_Others/NPC_Others_Readable_Invisible				2001	ReadableNPC			1	1		
12459	调查	ART/Char/NPC/NPC_Others/NPC_Others_Readable_Invisible				2001	ReadableNPC			1	1		
12460	调查	ART/Char/NPC/NPC_Others/NPC_Others_Readable_Invisible				2001	ReadableNPC			1	1		
12461	哈夫丹	ART/Char/NPC/NPC_Quest/NPC_Quest_Male_Standard_Halfdan_12461				2001		ConfigNpc_Common_AnimatorMove_Male		1	1		
12462	丘丘人	ART/Char/NPC/NPC_Monster/NPC_Monster_Hili_Twins2_01				2001		ConfigNpc_Common_AnimatorMove_noUsePushCollider_noHeadControl		1	1		
12463	丘丘人	ART/Char/NPC/NPC_Monster/NPC_Monster_Hili_Twins2_01				2001		ConfigNpc_Common_AnimatorMove_noUsePushCollider_noHeadControl		1	1		
12464	丘丘人	ART/Char/NPC/NPC_Monster/NPC_Monster_Hili_Twins2_01				2001		ConfigNpc_Common_AnimatorMove_noUsePushCollider_noHeadControl		1	1		
12465	丘丘人	ART/Char/NPC/NPC_Monster/NPC_Monster_Hili_None_02				2001		ConfigNpc_Common_AnimatorMove_Male_noheadcontrol_grassdis		1	1		
12466	丘丘人	ART/Char/NPC/NPC_Monster/NPC_Monster_Hili_Twins2_01				2001		ConfigNpc_Common_AnimatorMove_noUsePushCollider_noHeadControl		1	1		
12467	丘丘人	ART/Char/NPC/NPC_Monster/NPC_Monster_Hili_Twins2_01				2001		ConfigNpc_Common_AnimatorMove_noUsePushCollider_noHeadControl		1	1		
12468	丘丘人	ART/Char/NPC/NPC_Monster/NPC_Monster_Hili_None_02				2001		ConfigNpc_Common_AnimatorMove_Male_noheadcontrol_grassdis		1	1		
12469	丘丘人	ART/Char/NPC/NPC_Monster/NPC_Monster_Hili_Twins2_01				2001		ConfigNpc_Common_AnimatorMove_noUsePushCollider_noHeadControl		1	1		
12470	丘丘人	ART/Char/NPC/NPC_Monster/NPC_Monster_Hili_Twins2_01				2001		ConfigNpc_Common_AnimatorMove_noUsePushCollider_noHeadControl		1	1		
12471	丘丘人	ART/Char/NPC/NPC_Monster/NPC_Monster_Hili_Twins2_01				2001		ConfigNpc_Common_AnimatorMove_noUsePushCollider_noHeadControl		1	1		
12472	丘丘人	ART/Char/NPC/NPC_Monster/NPC_Monster_Hili_None_02				2001		ConfigNpc_Common_AnimatorMove_Male_noheadcontrol_grassdis		1	1		
12473	丘丘人	ART/Char/NPC/NPC_Monster/NPC_Monster_Hili_None_02				2001		ConfigNpc_Common_AnimatorMove_Male_noheadcontrol_grassdis		1	1		
12474	丘丘人	ART/Char/NPC/NPC_Monster/NPC_Monster_Hili_None_02				2001		ConfigNpc_Common_AnimatorMove_Male_noheadcontrol_grassdis		1	1		
12475	丘丘人	ART/Char/NPC/NPC_Monster/NPC_Monster_Hili_None_02				2001		ConfigNpc_Common_AnimatorMove_Male_noheadcontrol_grassdis		1	1		
12476	丘丘人	ART/Char/NPC/NPC_Monster/NPC_Monster_Hili_None_02				2001		ConfigNpc_Common_AnimatorMove_Male_noheadcontrol_grassdis		1	1		
12477	丘丘人	ART/Char/NPC/NPC_Monster/NPC_Monster_Hili_None_02				2001		ConfigNpc_Common_AnimatorMove_Male_noheadcontrol_grassdis		1	1		
12478	丘丘人	ART/Char/NPC/NPC_Monster/NPC_Monster_Hili_None_02				2001		ConfigNpc_Common_AnimatorMove_Male_noheadcontrol_grassdis		1	1		
