父任务ID	合集ID	父任务组	任务类型	启用模式	Lua脚本路径	推荐等级	可重复	任务奖励RewardID	章节ID	事件ID	活动类型	VideoKey
11022	2014	2014	2	1	Actor/Quest/LQ11022			111022	2014			
11023	2014	2014	2	1	Actor/Quest/LQ11023			111023	2014			
11024	2014	2014	2	1	Actor/Quest/LQ11024			111024	2014			
11025	8004	2014	2	1	Actor/Quest/LQ11025							
11026	2028	2029	2	1	Actor/Quest/LQ11026			111026	2029			6382832627668464
11030	2016	2016	2	1	Actor/Quest/LQ11030			111030	2016			
11031	2016	2016	2	1	Actor/Quest/LQ11031			111031	2016			
11032	2016	2016	2	1	Actor/Quest/LQ11032			111032	2016			
11040	2017	2017	2	1	Actor/Quest/LQ11040			111040	2017			
11041	2017	2017	2	1	Actor/Quest/LQ11041			111041	2017			
11042	2017	2017	2	1	Actor/Quest/LQ11042			111042	2017			
11043	2017	2017	2	1	Actor/Quest/LQ11043			111043	2017			
11044	2017	2017	2	1	Actor/Quest/LQ11044			111044	2017			
11045	2017	2017	2	1	Actor/Quest/LQ11045			111045	2017			
11110	2018	11110	2	1	Actor/Quest/LQ11110			111110	2018			
11111	2018	11110	2	1	Actor/Quest/LQ11111			111111	2018			
11112	2018	11110	2	1	Actor/Quest/LQ11112			111112	2018			
11113	2018	11110	2	1	Actor/Quest/LQ11113			111113	2018			
11114	8005	11110	2		Actor/Quest/LQ11114				2018			
11120	2015	1112	2	1	Actor/Quest/LQ11120			111120	2020			
11121	2015	1112	2	1	Actor/Quest/LQ11121			111121	2020			
11122	2015	1112	2	1	Actor/Quest/LQ11122			111122	2020			
11123	2015	1112	2	1	Actor/Quest/LQ11123			111123	2020			
11124	8006	1112	2		Actor/Quest/LQ11124				2020			
11200	2030		2	1	Actor/Quest/LQ11200			111200	2015			
11201	2030		2	1	Actor/Quest/LQ11201			111201	2015			
11202	2030		2	1	Actor/Quest/LQ11202			111202	2015			
12004	2021	2022	2	1	Actor/Quest/LQ12004			112004	2022			
12005	2021	2022	2	1	Actor/Quest/LQ12005			112005	2022			
12006	2021	2022	2	1	Actor/Quest/LQ12006			112006	2022			
12007	2021	2022	2	1	Actor/Quest/LQ12007			112007	2022			
12008	2021	2022	2	1	Actor/Quest/LQ12008			112008	2022			
12009	2024	2026	2	1	Actor/Quest/LQ12009			112009	2026			
12010	2020	1201	2	1	Actor/Quest/LQ12010			112010	2021			
12011	2020	1201	2	1	Actor/Quest/LQ12011			112011	2021			
12012	2020	1201	2	1	Actor/Quest/LQ12012			112012	2021			
12013	2020	1201	2	1	Actor/Quest/LQ12013			112013	2021			
12014	8007	1201	2		Actor/Quest/LQ12014				2021			
12015	2025	2023	2	1	Actor/Quest/LQ12015			112015	2023			
12016	2025	2023	2	1	Actor/Quest/LQ12016			112016	2023			
12017	2025	2023	2	1	Actor/Quest/LQ12017			112017	2023			
12018	2025	2023	2	1	Actor/Quest/LQ12018			112018	2023			
12019	8008	2023	2	1	Actor/Quest/LQ12019				2023			
12020	2022	2024	2	1	Actor/Quest/LQ12020			112020	2024			
12021	2022	2024	2	1	Actor/Quest/LQ12021			112021	2024			
12022	2022	2024	2	1	Actor/Quest/LQ12022			112022	2024			
12023	2022	2024	2	1	Actor/Quest/LQ12023			112023	2024			
12024	2022	2024	2	1	Actor/Quest/LQ12024			112024	2024			
12025	2024	2026	2	1	Actor/Quest/LQ12025			112025	2026			
12026	2024	2026	2	1	Actor/Quest/LQ12026			112026	2026			
12027	8009		2		Actor/Quest/LQ12027							
12028	2023	2025	2	1	Actor/Quest/LQ12028			112028	2025			
12029	2023	2025	2	1	Actor/Quest/LQ12029			112029	2025			
12030	2023	2025	2	1	Actor/Quest/LQ12030			112030	2025			
12031	2023	2025	2	1	Actor/Quest/LQ12031			112031	2025			
12032	2026	2027	2	1	Actor/Quest/LQ12032				2027			
12033	2027	2028	2	1	Actor/Quest/LQ12033			112033	2028			
12034	2027	2028	2	1	Actor/Quest/LQ12034			112034	2028			
12035	2027	2028	2	1	Actor/Quest/LQ12035			112035	2028			
12036	2027	2028	2	1	Actor/Quest/LQ12036							
12037	2029	2031	2	1	Actor/Quest/LQ12037			112037	2031			
12038	2029	2031	2	1	Actor/Quest/LQ12038			112038	2031			
12039	2029	2031	2	1	Actor/Quest/LQ12039			112039	2031			
12040	2026	2027	2	1	Actor/Quest/LQ12040			112040	2027			
12041	2026	2027	2	1	Actor/Quest/LQ12041			112041	2027			
12042	2026	2027	2	1	Actor/Quest/LQ12042			112042	2027			
12043	2029	2031	2	1	Actor/Quest/LQ12043							
18000	5001		7	1	Actor/Quest/WQ18000			118000	1105			
19001	3001	101401	2	1	Actor/Quest/LQ19001				101401			
19002	3001	101401	2	1	Actor/Quest/LQ19002				101401			
19003	3001	101401	2	1	Actor/Quest/LQ19003				101401			
19004	3001	101401	2	1	Actor/Quest/LQ19004				101401			
19005	3001	101401	2	1	Actor/Quest/LQ19005				101401			
19006	3001	101401	2	1	Actor/Quest/LQ19006				101401			
19007	3001	101401	2	1	Actor/Quest/LQ19007				101401			
19008	3001	101401	2	1	Actor/Quest/LQ19008				101401			
19009	3001	101401	2	1	Actor/Quest/LQ19009				101401			
19010	3009	105301	2	1	Actor/Quest/LQ19010				105301			
19012	3009	105301	2	1	Actor/Quest/LQ19012				105301			
19013	3009	105301	2	1	Actor/Quest/LQ19013				105301			
19014	3009	105301	2	1	Actor/Quest/LQ19014				105301			
19015	3009	105301	2	1	Actor/Quest/LQ19015				105301			
19016	3009	105301	2	1	Actor/Quest/LQ19016				105301			
19017	3011	106401	2	1	Actor/Quest/LQ19017				106401			
19018	3010	105501	2	1	Actor/Quest/LQ19018				105501			
19019	3010	105501	2	1	Actor/Quest/LQ19019				105501			
19020	3010	105501	2	1	Actor/Quest/LQ19020				105501			
19021	3003	103601	2	1	Actor/Quest/LQ19021				103601			
19022	3003	103601	2	1	Actor/Quest/LQ19022				103601			
19023	3003	103601	2	1	Actor/Quest/LQ19023				103601			
19024	3003	103601	2	1	Actor/Quest/LQ19024				103601			
19025	3003	103601	2	1	Actor/Quest/LQ19025				103601			
19026	3010	105501	2	1	Actor/Quest/LQ19026				105501			
19027	3010	105501	2	1	Actor/Quest/LQ19027				105501			
19028	3010	105501	2	1	Actor/Quest/LQ19028				105501			
19029	8001		2	1	Actor/Quest/LQ19029		1					
19030	3003	103601	2	1	Actor/Quest/LQ19030				103601			
19031	3003	103601	2	1	Actor/Quest/LQ19031				103601			
19032	3003	103601	2	1	Actor/Quest/LQ19032				103601			
19033	3003	103601	2	1	Actor/Quest/LQ19033				103601			
19034	3003	103601	2	1	Actor/Quest/LQ19034				103601			
19035	3003	103601	2	1	Actor/Quest/LQ19035				103601			
19036	3014	105901	2	1	Actor/Quest/LQ19036				105901			
19037	3011	106401	2	1	Actor/Quest/LQ19037				106401			
19038	3011	106401	2	1	Actor/Quest/LQ19038				106401			
19039	3014	105901	2	1	Actor/Quest/LQ19039				105901			
19040	3011	106401	2	1	Actor/Quest/LQ19040				106401			
19041	3004	103201	2	1	Actor/Quest/LQ19041				103201			
19042	3004	103201	2	1	Actor/Quest/LQ19042				103201			
19043	3004	103201	2	1	Actor/Quest/LQ19043				103201			
19044	3004	103201	2	1	Actor/Quest/LQ19044				103201			
19045	3004	103201	2	1	Actor/Quest/LQ19045				103201			
19046	3004		2	1	Actor/Quest/LQ19046		1					
19047	3011	106401	2	1	Actor/Quest/LQ19047				106401			
19048	3011	106401	2	1	Actor/Quest/LQ19048				106401			
19049	3014		2	1	Actor/Quest/LQ19049			119049				
19050	3007	102401	2	1	Actor/Quest/LQ19050				102401			
19051	3007	102401	2	1	Actor/Quest/LQ19051				102401			
19052	3007	102401	2	1	Actor/Quest/LQ19052				102401			
19053	3007	102401	2	1	Actor/Quest/LQ19053				102401			
19054	3007	102401	2	1	Actor/Quest/LQ19054				102401			
19055	3014	105901	2	1	Actor/Quest/LQ19055				105901			
19056	3014	105901	2	1	Actor/Quest/LQ19056				105901			
19057	3014	105901	2	1	Actor/Quest/LQ19057				105901			
19060	3014	105901	2	1	Actor/Quest/LQ19060				105901			
19061	3002	103401	2	1	Actor/Quest/LQ19061				103401			
19062	3002	103401	2	1	Actor/Quest/LQ19062				103401			
19063	3002	103401	2	1	Actor/Quest/LQ19063				103401			
19064	3002	103401	2	1	Actor/Quest/LQ19064				103401			
19065	3002	103401	2	1	Actor/Quest/LQ19065				103401			
19066	3002	103401	2	1	Actor/Quest/LQ19066				103401			
19067	3002	103401	2	1	Actor/Quest/LQ19067				103401			
19068	3002	103401	2	1	Actor/Quest/LQ19068				103401			
19069	3002	103401	2	1	Actor/Quest/LQ19069				103401			
19070	3002		2	1	Actor/Quest/LQ19070							
19081	3005	103402	2	1	Actor/Quest/LQ19081				103402			
19082	3005	103402	2	1	Actor/Quest/LQ19082				103402			
19083	3005	103402	2	1	Actor/Quest/LQ19083				103402			
19084	3005	103402	2	1	Actor/Quest/LQ19084				103402			
19085	3005	103402	2	1	Actor/Quest/LQ19085				103402			
19086	3005	103402	2	1	Actor/Quest/LQ19086				103402			
19087	3005	103402	2	1	Actor/Quest/LQ19087				103402			
19088	8001		2	1	Actor/Quest/LQ19088							
19089	8001		2	1	Actor/Quest/LQ19089							
19090	3005	103402	2	1	Actor/Quest/LQ19090				103402			
19091	3005	103402	2	1	Actor/Quest/LQ19091				103402			
19092	3005	103402	2	1	Actor/Quest/LQ19092				103402			
19101	3006	103901	2	1	Actor/Quest/LQ19101				103901			
19102	3006	103901	2	1	Actor/Quest/LQ19102				103901			
19103	3006	103901	2	1	Actor/Quest/LQ19103				103901			
19104	3006	103901	2	1	Actor/Quest/LQ19104				103901			
19105	3006	103901	2	1	Actor/Quest/LQ19105				103901			
19106	3006	103901	2	1	Actor/Quest/LQ19106				103901			
19107	3006	103901	2	1	Actor/Quest/LQ19107				103901			
19111	3008	105001	2	1	Actor/Quest/LQ19111				105001			
19112	3008	105001	2	1	Actor/Quest/LQ19112				105001			
19113	3008	105001	2	1	Actor/Quest/LQ19113				105001			
19114	3008	105001	2	1	Actor/Quest/LQ19114				105001			
19115	3008	105001	2	1	Actor/Quest/LQ19115				105001			
19116	3008	105001	2	1	Actor/Quest/LQ19116				105001			
19117	3008	105001	2	1	Actor/Quest/LQ19117				105001			
19118	3008	105001	2	1	Actor/Quest/LQ19118				105001			
19119	3008	105001	2	1	Actor/Quest/LQ19119				105001			
19121	3008	105001	2	1	Actor/Quest/LQ19121				105001			
19131	3012	102701	2	1	Actor/Quest/LQ19131				102701			
19132	3012	102701	2	1	Actor/Quest/LQ19132				102701			
19133	3012	102701	2	1	Actor/Quest/LQ19133				102701			
19134	3012	102701	2	1	Actor/Quest/LQ19134				102701			
19135	3012	102701	2	1	Actor/Quest/LQ19135				102701			
19136	3012	102701	2	1	Actor/Quest/LQ19136				102701			
19137	3012	102701	2	1	Actor/Quest/LQ19137				102701			
19138	3012	102701	2	1	Actor/Quest/LQ19138				102701			
19141	3013	106501	2	1	Actor/Quest/LQ19141				106501			
19142	3013	106501	2	1	Actor/Quest/LQ19142				106501			
19143	3013	106501	2	1	Actor/Quest/LQ19143				106501			
19144	3013	106501	2	1	Actor/Quest/LQ19144				106501			
19145	3013	106501	2	1	Actor/Quest/LQ19145				106501			
19146	3013	106501	2	1	Actor/Quest/LQ19146				106501			
19147	3013	106501	2	1	Actor/Quest/LQ19147				106501			
19148	3013	106501	2	1	Actor/Quest/LQ19148				106501			
20003			5		Actor/Quest/IQ20003		1			29400		
20004			5		Actor/Quest/IQ20004		1	501003		29500		
20014			5		Actor/Quest/IQ20014		1			40010		
20020			5		Actor/Quest/IQ20020		1	501004		40020		
20021			5		Actor/Quest/IQ20021		1			40030		
20029			5		Actor/Quest/IQ20029		1			29900		
20033			5		Actor/Quest/IQ20033		1			40040		
20034			5		Actor/Quest/IQ20034		1			40050		
20046			5		Actor/Quest/IQ20046		1			40041		
20052			5		Actor/Quest/IQ20052		1			40042		
20067			5		Actor/Quest/IQ20067		1			40031		
20068			5		Actor/Quest/IQ20068		1			23100		
20069			5		Actor/Quest/IQ20069		1			28900		
20070			5		Actor/Quest/IQ20070		1			29000		
20071			5		Actor/Quest/IQ20071		1			29001		
20072			5		Actor/Quest/IQ20072		1			29002		
20073			5		Actor/Quest/IQ20073		1			29100		
20104			5		Actor/Quest/IQ20104		1			24200		
20511			5		Actor/Quest/IQ20511		1			24700		
20512			5		Actor/Quest/IQ20512		1			24701		
20513			5		Actor/Quest/IQ20513		1			24702		
20514			5		Actor/Quest/IQ20514		1			24800		
20515			5		Actor/Quest/IQ20515		1			24801		
20516			5		Actor/Quest/IQ20516		1			24802		
20517			5		Actor/Quest/IQ20517		1	0,500140		24900		
20518			5		Actor/Quest/IQ20518		1			24100		
20519			5		Actor/Quest/IQ20519		1			24101		
20520			5		Actor/Quest/IQ20520		1			28800		
20521			5		Actor/Quest/IQ20521		1			29200		
20600			5		Actor/Quest/IQ20600		1	500138		23600		
20601			7	1	Actor/Quest/WQ20601			120601				
20602			7	1	Actor/Quest/WQ20602			120602				
20603			7	1	Actor/Quest/WQ20603			120603				
20700			5		Actor/Quest/IQ20700		1	500126,500127,500128,500129,500130,500131		24300		
20701			5		Actor/Quest/IQ20701		1	500132,500133,500134		24000		
20702			5		Actor/Quest/IQ20702		1	500135,500136,500137		24500		
20703			5		Actor/Quest/IQ20703		1	500143		24600		
20704			7		Actor/Quest/WQ20704		1			27700		
20740			7	1	Actor/Quest/WQ20740			120740				
20741			7	1	Actor/Quest/WQ20741			120741				
20742			7	1	Actor/Quest/WQ20742							
20743			7	1	Actor/Quest/WQ20743			120743				
20744			7		Actor/Quest/WQ20744							
21000			5		Actor/Quest/IQ21000		1			29300		
21026			5		Actor/Quest/IQ21026		1			29600		
21027			5		Actor/Quest/IQ21027		1			29700		
21028			5		Actor/Quest/IQ21028		1			29800		
21029			5		Actor/Quest/IQ21029		1			29801		
21030			5		Actor/Quest/IQ21030		1			29802		
21031			5		Actor/Quest/IQ21031		1			40060		
22009			5		Actor/Quest/IQ22009		1			26900		
22010			5		Actor/Quest/IQ22010		1			41010		
22011			5		Actor/Quest/IQ22011		1			41040		
22012			5	1	Actor/Quest/IQ22012		1			41060		
22013			5		Actor/Quest/IQ22013		1			41020		
22014			5		Actor/Quest/IQ22014		1			41130		
22015			5		Actor/Quest/IQ22015		1			41070		
22016			7		Actor/Quest/WQ22016			122016				
22017			5		Actor/Quest/IQ22017		1			41030		
22018			5		Actor/Quest/IQ22018		1			41080		
22019			5		Actor/Quest/IQ22019		1			41090		
22020			5		Actor/Quest/IQ22020		1			41100		
22021			5		Actor/Quest/IQ22021		1			41220		
22022			5		Actor/Quest/IQ22022		1			41200		
22023			5		Actor/Quest/IQ22023		1	500150		41160		
22025			5		Actor/Quest/IQ22025		1	500153		41170		
22026			5		Actor/Quest/IQ22026		1	500154		41210		
22027			5		Actor/Quest/IQ22027		1			41110		
22028			5		Actor/Quest/IQ22028		1			41120		
22029			5		Actor/Quest/IQ22029		1			41140		
22030			5		Actor/Quest/IQ22030		1			41230		
22031			5		Actor/Quest/IQ22031		1			41150		
22032			5		Actor/Quest/IQ22032		1	500151		41161		
22033			5		Actor/Quest/IQ22033		1	500152		41162		
22034			5		Actor/Quest/IQ22034		1			41180		
22035			5		Actor/Quest/IQ22035		1			41190		
22036			5		Actor/Quest/IQ22036		1			41250		
22037			5		Actor/Quest/IQ22037		1			41260		
22038			5		Actor/Quest/IQ22038		1			41240		
22039			5		Actor/Quest/IQ22039		1			41270		
22040			5		Actor/Quest/IQ22040		1			41271		
22041			5		Actor/Quest/IQ22041		1			41290		
22042			5		Actor/Quest/IQ22042		1			41280		
22043			5		Actor/Quest/IQ22043		1			41300		
22044			5		Actor/Quest/IQ22044		1			41310		
22045			5		Actor/Quest/IQ22045		1			41320		
22046			5		Actor/Quest/IQ22046		1			41330		
22047			5		Actor/Quest/IQ22047		1			41350		
22048			5		Actor/Quest/IQ22048		1			41331		
22049			5		Actor/Quest/IQ22049		1			41340		
22050			7	1	Actor/Quest/WQ22050			122050				
22114			5				1	122114		28000		
22200			5		Actor/Quest/IQ22200		1	500141,500142		27500		
22500			5		Actor/Quest/IQ22500		1	500144		28400		
22501			5		Actor/Quest/IQ22501		1			28700		
22701			5		Actor/Quest/IQ22701		1	500145		28500		
31001			7	1								
40000			7	1	Actor/Quest/EQ40000							
40010	4005	10027	3	1	Actor/Quest/EQ40010			140010	10027		1600	
40011	4005	10028	3	1	Actor/Quest/EQ40011			140011	10028		1600	
40012	4005	10029	3	1	Actor/Quest/EQ40012			140012	10029		1600	
40013	4005	10030	3	1	Actor/Quest/EQ40013			140013	10030		1600	
40014	4012	10042	3	1	Actor/Quest/EQ40014			140014	10042		2101	
40015	4012	10042	3	1	Actor/Quest/EQ40015			140015	10043		2101	
40016	4005	10031	3	1	Actor/Quest/EQ40016						1600	
40017	4005	10032	3	1	Actor/Quest/EQ40017						1600	
40018	4005	10033	3	1	Actor/Quest/EQ40018						1600	
40019	4005	10034	3	1	Actor/Quest/EQ40019						1600	
40020	4006		3	1	Actor/Quest/EQ40020			140020	10038		2201	
40021	4006		3	1	Actor/Quest/EQ40021			140021	10039		2201	
40022	4006		3	1	Actor/Quest/EQ40022			140022	10040		2201	
40023	4006		3	1	Actor/Quest/EQ40023			140023	10041		2201	
40024		10042	3	1				140024			2101	
40025	4007	10045	3	1	Actor/Quest/EQ40025			140025	10045		2301	
40026	4007	10045	3	1	Actor/Quest/EQ40026			140026	10045		2301	
40027	4007	10046	3	1	Actor/Quest/EQ40027			140027	10046		2301	
40028	4007	10046	3	1	Actor/Quest/EQ40028			140028	10046		2301	
40029	4007	10047	3	1	Actor/Quest/EQ40029			140029	10047		2301	
40030			7	1	Actor/Quest/WQ40030			140030			2302	
40031			7	1	Actor/Quest/WQ40031			140031			2302	
40032			7	1	Actor/Quest/WQ40032						2302	
40033			7	1	Actor/Quest/WQ40033						2302	
40034			7		Actor/Quest/WQ40034			140034			2302	
40035	4008	40035	3	1	Actor/Quest/EQ40035			140035	10052		2402	
40036	4008		3	1	Actor/Quest/EQ40036			140036	10053		2402	
40037	4008		3	1	Actor/Quest/EQ40037			140037	10054		2402	
40038	4008	40035	3		Actor/Quest/EQ40038							
40039	4008		3	1	Actor/Quest/EQ40039			140039	10056		2402	
40040	4008		3	1	Actor/Quest/EQ40040			140040	10057		2402	
40041	4008		3	1	Actor/Quest/EQ40041			140041			2402	
40042	4006		3	1	Actor/Quest/EQ40042			140042			2201	
40043	4007		3	1								
40044	4007		3	1				140044			2301	
40045	4007		3	1	Actor/Quest/EQ40045							
40046	4007		3	1	Actor/Quest/EQ40046							
40047	4010	10050	3	1	Actor/Quest/EQ40047			140047	10050		2501	
40048	4010	10050	3	1	Actor/Quest/EQ40048			140048	10050		2501	
40049	4010	10050	3	1	Actor/Quest/EQ40049			140049	10050		2501	
40050	4010	10050	3	1	Actor/Quest/EQ40050			140050	10050		2501	
40051	4010	10050	3	1	Actor/Quest/EQ40051			140051	10050		2501	
40052			3		Actor/Quest/EQ40052						2100	
40053			3		Actor/Quest/EQ40053						2401	
40054	4011	10065	3	1	Actor/Quest/EQ40054			140054	10065		2600	
40055	4011	10065	3	1	Actor/Quest/EQ40055			140055	10065		2600	
40056	4011	10066	3	1	Actor/Quest/EQ40056			140056	10066		2600	
40057	4011	10067	3	1	Actor/Quest/EQ40057			140057	10067		2600	
40058	4011	10068	3	1	Actor/Quest/EQ40058			140058	10068		2600	
40059	4011	10068	3	1	Actor/Quest/EQ40059			140059	10068		2600	
40060			7		Actor/Quest/EQ40060						2501	
40061			7		Actor/Quest/EQ40061						2501	
40062	4010		3	1	Actor/Quest/EQ40062			140062			2501	
40063	4011		3	1	Actor/Quest/EQ40063						2600	
40064	4013	10088	3	1	Actor/Quest/EQ40064			140064	10088		2801	
40065	4013	10089	3	1	Actor/Quest/EQ40065			140065	10089		2801	2850973778349534
40066	4013	10089	3	1	Actor/Quest/EQ40066			140066	10089		2801	
40067	4013	10089	3	1	Actor/Quest/EQ40067			140067	10089		2801	5623150388305012
40068	4013	10090	3	1	Actor/Quest/EQ40068			140068	10090		2801	
40069	4013	10090	3	1	Actor/Quest/EQ40069			140069	10090		2801	
40070	4013	10090	3	1	Actor/Quest/EQ40070			140070	10090		2801	3865005622692177
40071	4013	10091	3	1	Actor/Quest/EQ40071			140071	10091		2801	
40072	4013	10091	3	1	Actor/Quest/EQ40072			140072	10091		2801	
40073	4013	10091	3	1	Actor/Quest/EQ40073			140073	10091		2801	2376853844266094
40074	4013	10092	3	1	Actor/Quest/EQ40074			140074	10092		2801	
40075	4013	10092	3	1	Actor/Quest/EQ40075			140075	10092		2801	
40076	4013	10092	3	1	Actor/Quest/EQ40076			140076	10092		2801	2320676109514370
40077	4013	10093	3	1	Actor/Quest/EQ40077			140077	10093		2801	
41001			3	1								
41111	4001	10006	3	1	Actor/Quest/EQ41111			141111	10006		1100	
41112	4001	10007	3	1	Actor/Quest/EQ41112			141112	10007		1100	
41113	4001	10008	3	1	Actor/Quest/EQ41113			141113	10008		1100	
41114	4001	10009	3	1	Actor/Quest/EQ41114			141114	10009		1100	
41115			3	1	Actor/Quest/EQ41115							
41120			7	1	Actor/Quest/WQ41120			141120			1100	
41121			3	1	Actor/Quest/EQ41121			3001011			9	
41122			7	1	Actor/Quest/WQ41122			141122			1100	
41123			7	1	Actor/Quest/WQ41123			141123			1100	
41124			7	1	Actor/Quest/WQ41124			141124			1100	
41125			5		Actor/Quest/IQ41125		1			28600		
41126			7	1	Actor/Quest/WQ41126			141126			1100	
41127			7	1	Actor/Quest/WQ41127			141127			1100	
41130			7	1	Actor/Quest/WQ41130			141130			1100	
41131			7	1	Actor/Quest/WQ41131			141131			1100	
41135			7	1	Actor/Quest/WQ41135			141135			1100	
41141			3	1	Actor/Quest/EQ41141			3001012			9	
41142			3	1	Actor/Quest/EQ41142			3001013			9	
41143			3	1	Actor/Quest/EQ41143			3001021			9	
41144			3	1	Actor/Quest/EQ41144			3001022			9	
41145			3	1	Actor/Quest/EQ41145			3001023			9	
41146			3	1	Actor/Quest/EQ41146			3001031			9	
41147			3	1	Actor/Quest/EQ41147			3001032			9	
41148			3	1	Actor/Quest/EQ41148			3001033			9	
41149			3	1	Actor/Quest/EQ41149			3001041			9	
41150			3	1	Actor/Quest/EQ41150			3001042			9	
41151			3	1	Actor/Quest/EQ41151			3001043			9	
41152			3	1	Actor/Quest/EQ41152			3001051			9	
41153			3	1	Actor/Quest/EQ41153			3001052			9	
41154			3	1	Actor/Quest/EQ41154			3001053			9	
41155			3	1	Actor/Quest/EQ41155			3001061			9	
41156			3	1	Actor/Quest/EQ41156			3001062			9	
41157			3	1	Actor/Quest/EQ41157			3001063			9	
41158			3	1	Actor/Quest/EQ41158			3001071			9	
41159			3	1	Actor/Quest/EQ41159			3001072			9	
41160			3	1	Actor/Quest/EQ41160			3001073			9	
41170			7	1	Actor/Quest/WQ41170			141170			10	
41210	4002	10010	3	1	Actor/Quest/EQ41210			141210	10010		1200	
41211	4002	10011	3	1	Actor/Quest/EQ41211			141211	10011		1200	
41212	4002	10012	3	1	Actor/Quest/EQ41212			141212	10012		1200	
41213	4002	10013	3	1	Actor/Quest/EQ41213			141213	10013		1200	
41214	4002	10014	3	1	Actor/Quest/EQ41214			141214	10014		1200	
41215	4002		3	1				141215			1200	
41311	4003	10018	3	1	Actor/Quest/EQ41311			141311	10018		1302	
41312	4003	10018	3	1	Actor/Quest/EQ41312			141312	10019		1302	
