排期id	开始时间	结束时间	活动id	允许快速开启	快速开启前置父任务ID组	[条件]组合	[条件]1类型	[条件]1参数	[条件]2类型	[条件]2参数	[条件]3类型	[条件]3参数	[条件]4类型	[条件]4参数	活动归属版本
5047001	2023-10-01 04:00:00	2023-10-07 04:00:00	5047				1	29							2.2.0
5048001	2023-10-01 04:00:00	2023-10-07 04:00:00	5048				1	25							2.2.0
2008001	2023-10-01 04:00:00	2023-10-07 04:00:00	2008				1	29							2.2.0
5049001	2023-10-01 04:00:00	2023-10-07 04:00:00	5049				1	29							2.2.0
5050001	2023-10-01 04:00:00	2023-10-07 04:00:00	5050				1	29							2.2.0
2009001	2023-10-01 04:00:00	2023-10-07 04:00:00	2009				1	19							2.3.0
5051001	2023-10-01 04:00:00	2023-10-07 04:00:00	5051				1	29							2.3.0
5052001	2023-10-01 04:00:00	2023-10-07 04:00:00	5052												2.2.0
5053001	2023-10-01 04:00:00	2023-10-07 04:00:00	5053				1	19							2.3.0
5054001	2023-10-01 04:00:00	2023-10-07 04:00:00	5054				1	19							2.3.0
2010001	2023-10-01 04:00:00	2023-10-07 04:00:00	2010				1	27							2.4.0
5023002	2023-10-01 04:00:00	2023-10-07 04:00:00	5023				1	19							2.4.0
5055001	2023-10-01 04:00:00	2023-10-07 04:00:00	5055				1	29							2.4.0
5056001	2023-10-01 04:00:00	2023-10-07 04:00:00	5056				1	25							2.3.0
5057001	2023-10-01 04:00:00	2023-10-07 04:00:00	5057				1	25							2.4.0
5058001	2023-10-01 04:00:00	2023-10-07 04:00:00	5058				1	29							2.4.0
5059001	2023-10-01 04:00:00	2023-10-07 04:00:00	5059												2.3.0
5060001	2023-10-01 04:00:00	2023-10-07 04:00:00	5060				1	29							2.3.0
5061001	2023-10-01 04:00:00	2023-10-07 04:00:00	5061				1	29							2.4.0
2011001	2023-10-01 04:00:00	2023-10-07 04:00:00	2011				1	29							2.5.0
5040002	2023-10-01 04:00:00	2023-10-07 04:00:00	5040				1	29							2.5.0
5062001	2023-10-01 04:00:00	2023-10-07 04:00:00	5062				1	27							2.5.0
5063001	2023-10-01 04:00:00	2023-10-07 04:00:00	5063				1	27							2.4.0
5064001	2023-10-01 04:00:00	2023-10-07 04:00:00	5064				1	29							2.4.0
5065001	2023-10-01 04:00:00	2023-10-07 04:00:00	5065				1	27							2.5.0
5066001	2023-10-01 04:00:00	2023-10-07 04:00:00	5066				1	19							2.6.0
5067001	2023-10-01 04:00:00	2023-10-07 04:00:00	5067				1	27							2.6.0
2012001	2023-10-01 04:00:00	2023-10-07 04:00:00	2012	1	12035,12042,12024		1	29							2.6.0
5068001	2023-10-01 04:00:00	2023-10-07 04:00:00	5068				1	29							2.6.0
5069001	2023-10-01 04:00:00	2023-10-07 04:00:00	5069												2.5.0
5070001	2023-10-01 04:00:00	2023-10-07 04:00:00	5070												2.5.0
5071001	2023-10-01 04:00:00	2023-10-07 04:00:00	5071				1	27							2.6.0
5072001	2023-10-01 04:00:00	2023-10-07 04:00:00	5072				1	29							2.7.0
5073001	2023-10-01 04:00:00	2023-10-07 04:00:00	5073				1	25							2.7.0
5074001	2023-10-01 04:00:00	2023-10-07 04:00:00	5074				1	25							2.8.0
5075001	2023-10-01 04:00:00	2023-10-07 04:00:00	5075				1	27							2.6.0
5076001	2023-10-01 04:00:00	2023-10-07 04:00:00	5076				1	29							2.5.0
5077001	2023-10-01 04:00:00	2023-10-07 04:00:00	5077				1	29							2.6.0
5078001	2023-10-01 04:00:00	2023-10-07 04:00:00	5078												2.6.0
5079001	2023-10-01 04:00:00	2023-10-07 04:00:00	5079				1	27							2.7.0
5080001	2023-10-01 04:00:00	2023-10-07 04:00:00	5080				1	29							2.7.0
2013001	2023-10-01 04:00:00	2023-10-07 04:00:00	2013	1	12042,12026,11008		1	27							2.7.0
5081001	2023-10-01 04:00:00	2023-10-07 04:00:00	5081												2.7.0
2014001	2023-10-01 04:00:00	2023-10-07 04:00:00	2014	1	10502		1	31							2.8.0
5082001	2023-10-01 04:00:00	2023-10-07 04:00:00	5082				1	17							2.8.0
5083001	2023-10-01 04:00:00	2023-10-07 04:00:00	5083				1	31							2.8.0
5084001	2023-10-01 04:00:00	2023-10-07 04:00:00	5084				1	31							2.8.0
5085001	2023-10-01 04:00:00	2023-10-07 04:00:00	5085				1	24							2.8.0
5088001	2023-10-01 04:00:00	2023-10-07 04:00:00	5088												2.8.0
