合成ID	解锁等级	默认显示	解锁方式	解锁参数1	解锁参数2	合成类型	合成产物	产物数量	摩拉消耗	材料1ID	材料1数量	材料2ID	材料2数量	材料3ID	材料3数量	配方类型	特殊产物ID
50157		1				5	104173	1	0	104113	1	104201	9			2	
50158		1				5	104173	1	0	104123	1	104201	9			2	
50160		1				5	104173	1	0	104143	1	104201	9			2	
50161		1				5	104173	1	0	104153	1	104201	9			2	
50162		1				5	104173	1	0	104163	1	104201	9			2	
50163		1				5	104174	1	0	104114	1	104201	27			2	
50164		1				5	104174	1	0	104124	1	104201	27			2	
50166		1				5	104174	1	0	104144	1	104201	27			2	
50167		1				5	104174	1	0	104154	1	104201	27			2	
50168		1				5	104174	1	0	104164	1	104201	27			2	
60001		1				9	113003	1	0	113004	1	113021	1			2	
60002		1				9	113003	1	0	113005	1	113021	1			2	
60003		1				9	113004	1	0	113003	1	113021	1			2	
60004		1				9	113004	1	0	113005	1	113021	1			2	
60005		1				9	113005	1	0	113003	1	113021	1			2	
60006		1				9	113005	1	0	113004	1	113021	1			2	
60101		1				9	113006	1	0	113007	1	113021	1			2	
60102		1				9	113006	1	0	113008	1	113021	1			2	
60103		1				9	113007	1	0	113006	1	113021	1			2	
60104		1				9	113007	1	0	113008	1	113021	1			2	
60105		1				9	113008	1	0	113006	1	113021	1			2	
60106		1				9	113008	1	0	113007	1	113021	1			2	
60201		1				9	113013	1	0	113014	1	113021	1			2	
60202		1				9	113013	1	0	113015	1	113021	1			2	
60203		1				9	113014	1	0	113013	1	113021	1			2	
60204		1				9	113014	1	0	113015	1	113021	1			2	
60205		1				9	113015	1	0	113013	1	113021	1			2	
60206		1				9	113015	1	0	113014	1	113021	1			2	
60301		1				9	113017	1	0	113018	1	113021	1			2	
60302		1				9	113017	1	0	113019	1	113021	1			2	
60303		1				9	113018	1	0	113017	1	113021	1			2	
60304		1				9	113018	1	0	113019	1	113021	1			2	
60305		1				9	113019	1	0	113017	1	113021	1			2	
60306		1				9	113019	1	0	113018	1	113021	1			2	
60401		1				9	113025	1	0	113026	1	113021	1			2	
60402		1				9	113025	1	0	113027	1	113021	1			2	
60403		1				9	113026	1	0	113025	1	113021	1			2	
60404		1				9	113026	1	0	113027	1	113021	1			2	
60405		1				9	113027	1	0	113025	1	113021	1			2	
60406		1				9	113027	1	0	113026	1	113021	1			2	
60501		1				9	113032	1	0	113033	1	113021	1			2	
60502		1				9	113032	1	0	113034	1	113021	1			2	
60503		1				9	113033	1	0	113032	1	113021	1			2	
60504		1				9	113033	1	0	113034	1	113021	1			2	
60505		1				9	113034	1	0	113032	1	113021	1			2	
60506		1				9	113034	1	0	113033	1	113021	1			2	
