ID	配置路径
310301005	Scene_CutScene/Cs_Scene_LY_GuShiTaiPuzzle_05
310301501	Scene_CutScene/Cs_Scene_JueYunJianTempleUnlock
310301502	Scene_CutScene/Cs_Scene_JueYunJianTempleUnlock_Bottom
310624801	Scene_CutScene/Cs_Scene_LY_DunYuLingPuzzle
310405301	Scene_CutScene/Cs_LYIQ21004_TheLostTreasure
310405302	Scene_CutScene/Cs_LYIQ21004_TheLostTreasure_Contact
310462101	Scene_CutScene/Cs_Scene_LY_NinePillars_01
310462102	Scene_CutScene/Cs_Scene_LY_NinePillars_02
310462103	Scene_CutScene/Cs_Scene_LY_NinePillars_03
310462104	Scene_CutScene/Cs_Scene_LY_NinePillars_04
310462105	Scene_CutScene/Cs_Scene_LY_NinePillars_05
310462106	Scene_CutScene/Cs_Scene_LY_NinePillars_06
310462107	Scene_CutScene/Cs_Scene_LY_NinePillars_07
310462108	Scene_CutScene/Cs_Scene_LY_NinePillars_08
310462109	Scene_CutScene/Cs_Scene_LY_NinePillars_09
310462110	Scene_CutScene/Cs_Scene_LY_NinePillarsGate
310631301	Scene_CutScene/Cs_Scene_LY_QinXuPuPuzzle
310270701	Scene_CutScene/Cs_Scene_Scenery_LiYue_01
220101001	Scene_CutScene/Cs_LYAQ301_GongZiBoss_Convert
220101002	Scene_CutScene/Cs_LYAQ301_GongZiBoss_Empty_Fade_In
220101003	Scene_CutScene/Cs_LYAQ301_GongZiBoss_Loop_Convert
300805201	Scene_CutScene/Cs_Scene_LJXS_Prison_01
3008523	Scene_CutScene/Cs_Scene_WallPaintChamber
341301601	Scene_CutScene/Cs_Scene_ExpendArea_TestLevelCutscene
111001	Scene_CutScene/Cs_Scene_LYLQ11113_HiddenDoor
531001	Scene_CutScene/Cs_Scene_FluerFair_DungeonGate
531002	Scene_CutScene/Cs_Scene_Activity_DungeonGate
144001002	Scene_CutScene/Cs_Scene_AlicegramophoneCoverDestroyed
144001011	Scene_CutScene/Cs_Scene_PopoIslandPuzzle
321319801	Scene_CutScene/Cs_Scene_DQ_TatariSeal
321319901	Scene_CutScene/Cs_Scene_DQ_TatariCore
500501301	Scene_CutScene/Cs_Scene_DiurnalCycle_01
500501302	Scene_CutScene/Cs_Scene_DiurnalCycle_02
500501303	Scene_CutScene/Cs_WQ72177_UnlockTokoSeal
500501304	Scene_CutScene/Cs_WQ72177_GetOathOfTokoyo
321214201	Scene_CutScene/Cs_Scene_DQ_RayAmpFinish_01
321213501	Scene_CutScene/Cs_Scene_DQ_RayAmpFinish_02
321214601	Scene_CutScene/Cs_Scene_DQ_RayAmpFinish_03
321205201	Scene_CutScene/Cs_Scene_DQ_RayAmpFinish_04
321007401	Scene_CutScene/Cs_Scene_DQ_HZD_SurfaceDown
201901	Scene_CutScene/Cs_201901_NvShiZhuan_Convert
201902	Scene_CutScene/Cs_201901_NvShiZhuan_Loop_Convert
321007402	Scene_CutScene/Cs_Scene_DQ_HZD_SurfaceDown_02
322203801	Scene_CutScene/Cs_StormCenterWaterDown_01
322203802	Scene_CutScene/Cs_StormCenterWaterDown_02
322203803	Scene_CutScene/Cs_StormCenterWaterDown_03
321010001	Scene_CutScene/Cs_Scene_DQ_HZD_WataVesselOverflow
321010002	Scene_CutScene/Cs_Scene_DQ_HZD_OpenDoor
322310001	Scene_CutScene/Cs_CutScene_HGD_WQ_WaterDown_Cave
322310002	Scene_CutScene/Cs_CutScene_HGD_WQ_WaterDown_Cave2
322310003	Scene_CutScene/Cs_CutScene_HGD_WQ_WaterDown_Ruin
322310004	Scene_CutScene/Cs_CutScene_HGD_WQ_Mural
321000401	Scene_CutScene/Cs_Scene_DQ_HZD_WataAltarActive_01
321029201	Scene_CutScene/Cs_Scene_DQ_HZD_WataAltarActive_02
722760501	Scene_CutScene/Cs_Scene_YXGWQ72276_Puzzle
310603001	Scene_CutScene/Cs_Scene_LY_TheChasmUnlockDungeon
790271301	Scene_CutScene/Cs_DI_WQ7902713_ShipSpiritCreate
201330101	Scene_CutScene/Cs_CutScene_DI_ThronBridgeCreate01
201330102	Scene_CutScene/Cs_CutScene_DI_ThronBridgeCreate02
201330103	Scene_CutScene/Cs_CutScene_DI_ThronBridgeCreate03
199003100	Scene_CutScene/Cs_DI_GalaxyBridgeCreate01
201330104	Scene_CutScene/Cs_CutScene_DI_MusicCreate
