商品ID	商店类型	对应物品ID	轮替商品ID	对应物品数量	消耗金币	消耗水晶	消耗创世结晶	[消耗物品]1ID	[消耗物品]1数量	[消耗物品]2ID	[消耗物品]2数量	[消耗物品]3ID	[消耗物品]3数量	[消耗物品]4ID	[消耗物品]4数量	限购数量	刷新类型	刷新参数	提前预览天数	上架时间	下架时间	是否终身限购	前置条件	前置条件参数	条件参数1	条件参数2	前置条件屏蔽显示	最小可见等级	最小队伍等级	最大队伍等级	排序等级	二级页签ID	n选1组ID	显示平台
201026	1002	1024		1	10															2019-12-01 00:00:00	2035-01-01 00:00:00	1						1	1	99	1			
201027	1002	1025		1	10															2019-12-01 00:00:00	2035-01-01 00:00:00	1						1	1	99	1			
201028	1002	1026		1	10															2019-12-01 00:00:00	2035-01-01 00:00:00	1						1	1	99	1			
201029	1002	1027		1	10															2019-12-01 00:00:00	2035-01-01 00:00:00	1						1	1	99	1			
201030	1002	1029		1	10															2019-12-01 00:00:00	2035-01-01 00:00:00	1						1	1	99	1			
201031	1002	1030		1	10															2019-12-01 00:00:00	2035-01-01 00:00:00	1						1	1	99	1			
201032	1002	1031		1	10															2019-12-01 00:00:00	2035-01-01 00:00:00	1						1	1	99	1			
201033	1002	1032		1	10															2019-12-01 00:00:00	2035-01-01 00:00:00	1						1	1	99	1			
201034	1002	1033		1	10															2019-12-01 00:00:00	2035-01-01 00:00:00	1						1	1	99	1			
201035	1002	1034		1	10															2019-12-01 00:00:00	2035-01-01 00:00:00	1						1	1	99	1			
201036	1002	1035		1	10															2019-12-01 00:00:00	2035-01-01 00:00:00	1						1	1	99	1			
201037	1002	1036		1	10															2019-12-01 00:00:00	2035-01-01 00:00:00	1						1	1	99	1			
201038	1002	1037		1	10															2019-12-01 00:00:00	2035-01-01 00:00:00	1						1	1	99	1			
201039	1002	1038		1	10															2019-12-01 00:00:00	2035-01-01 00:00:00	1						1	1	99	1			
201040	1002	1039		1	10															2019-12-01 00:00:00	2035-01-01 00:00:00	1						1	1	99	1			
201041	1002	1041		1	10															2019-12-01 00:00:00	2035-01-01 00:00:00	1						1	1	99	1			
201042	1002	1042		1	10															2019-12-01 00:00:00	2035-01-01 00:00:00	1						1	1	99	1			
201043	1002	1043		1	10															2019-12-01 00:00:00	2035-01-01 00:00:00	1						1	1	99	1			
201044	1002	1044		1	10															2019-12-01 00:00:00	2035-01-01 00:00:00	1						1	1	99	1			
201045	1002	1045		1	10															2019-12-01 00:00:00	2035-01-01 00:00:00	1						1	1	99	1			
201046	1002	1046		1	10															2019-12-01 00:00:00	2035-01-01 00:00:00	1						1	1	99	1			
201047	1002	1047		1	10															2019-12-01 00:00:00	2035-01-01 00:00:00	1						1	1	99	1			
201048	1002	1048		1	10															2019-12-01 00:00:00	2035-01-01 00:00:00	1						1	1	99	1			
201049	1002	1049		1	10															2019-12-01 00:00:00	2035-01-01 00:00:00	1						1	1	99	1			
201050	1002	1050		1	10															2019-12-01 00:00:00	2035-01-01 00:00:00	1						1	1	99	1			
201051	1002	1051		1	10															2019-12-01 00:00:00	2035-01-01 00:00:00	1						1	1	99	1			
201052	1002	1052		1	10															2019-12-01 00:00:00	2035-01-01 00:00:00	1						1	1	99	1			
201053	1002	1053		1	10															2019-12-01 00:00:00	2035-01-01 00:00:00	1						1	1	99	1			
201054	1002	1054		1	10															2019-12-01 00:00:00	2035-01-01 00:00:00	1						1	1	99	1			
201055	1002	1055		1	10															2019-12-01 00:00:00	2035-01-01 00:00:00	1						1	1	99	1			
201056	1002	1056		1	10															2019-12-01 00:00:00	2035-01-01 00:00:00	1						1	1	99	1			
201057	1002	1057		1	10															2019-12-01 00:00:00	2035-01-01 00:00:00	1						1	1	99	1			
201058	1002	1058		1	10															2019-12-01 00:00:00	2035-01-01 00:00:00	1						1	1	99	1			
201059	1002	1059		1	10															2019-12-01 00:00:00	2035-01-01 00:00:00	1						1	1	99	1			
201060	1002	1060		1	10															2019-12-01 00:00:00	2035-01-01 00:00:00	1						1	1	99	1			
201061	1002	1062		1	10															2019-12-01 00:00:00	2035-01-01 00:00:00	1						1	1	99	1			
201062	1002	1063		1	10															2019-12-01 00:00:00	2035-01-01 00:00:00	1						1	1	99	1			
201063	1002	1064		1	10															2019-12-01 00:00:00	2035-01-01 00:00:00	1						1	1	99	1			
201064	1002	1065		1	10															2019-12-01 00:00:00	2035-01-01 00:00:00	1						1	1	99	1			
201065	1002	1066		1	10															2019-12-01 00:00:00	2035-01-01 00:00:00	1						1	1	99	1			
202001	1003	340000		1	1												3	1		2019-12-01 00:00:00	2035-01-01 00:00:00							1	1	99	1			
202002	1003	340001		1	1												3	1		2019-12-01 00:00:00	2035-01-01 00:00:00							1	1	99	1			
202003	1003	340002		1	1												3	1		2019-12-01 00:00:00	2035-01-01 00:00:00							1	1	99	1			
202004	1003	340003		1	1												3	1		2019-12-01 00:00:00	2035-01-01 00:00:00							1	1	99	1			
202005	1003	340004		1	1												3	1		2019-12-01 00:00:00	2035-01-01 00:00:00							1	1	99	1			
202006	1003	340005		1	1												3	1		2019-12-01 00:00:00	2035-01-01 00:00:00							1	1	99	1			
202007	1003	340006		1	1												3	1		2019-12-01 00:00:00	2035-01-01 00:00:00							1	1	99	1			
202008	1003	340007		1	1												3	1		2019-12-01 00:00:00	2035-01-01 00:00:00							1	1	99	1			
202009	1003	340008		1	1												3	1		2019-12-01 00:00:00	2035-01-01 00:00:00							1	1	99	1			
202010	1003	340009		1	1												3	1		2019-12-01 00:00:00	2035-01-01 00:00:00							1	1	99	1			
202011	1003	11101		1	1												3	1		2019-12-01 00:00:00	2035-01-01 00:00:00							1	1	99	1			
202012	1003	11201		1	1												3	1		2019-12-01 00:00:00	2035-01-01 00:00:00							1	1	99	1			
202013	1003	11301		1	1												3	1		2019-12-01 00:00:00	2035-01-01 00:00:00							1	1	99	1			
202014	1003	11302		1	1												3	1		2019-12-01 00:00:00	2035-01-01 00:00:00							1	1	99	1			
202015	1003	11303		1	1												3	1		2019-12-01 00:00:00	2035-01-01 00:00:00							1	1	99	1			
202016	1003	11304		1	1												3	1		2019-12-01 00:00:00	2035-01-01 00:00:00							1	1	99	1			
202017	1003	11305		1	1												3	1		2019-12-01 00:00:00	2035-01-01 00:00:00							1	1	99	1			
202018	1003	11306		1	1												3	1		2019-12-01 00:00:00	2035-01-01 00:00:00							1	1	99	1			
202019	1003	11401		1	1												3	1		2019-12-01 00:00:00	2035-01-01 00:00:00							1	1	99	1			
202020	1003	11402		1	1												3	1		2019-12-01 00:00:00	2035-01-01 00:00:00							1	1	99	1			
202021	1003	11403		1	1												3	1		2019-12-01 00:00:00	2035-01-01 00:00:00							1	1	99	1			
202022	1003	11404		1	1												3	1		2019-12-01 00:00:00	2035-01-01 00:00:00							1	1	99	1			
202023	1003	11405		1	1												3	1		2019-12-01 00:00:00	2035-01-01 00:00:00							1	1	99	1			
202024	1003	11406		1	1												3	1		2019-12-01 00:00:00	2035-01-01 00:00:00							1	1	99	1			
202025	1003	11407		1	1												3	1		2019-12-01 00:00:00	2035-01-01 00:00:00							1	1	99	1			
202026	1003	11408		1	1												3	1		2019-12-01 00:00:00	2035-01-01 00:00:00							1	1	99	1			
202027	1003	11409		1	1												3	1		2019-12-01 00:00:00	2035-01-01 00:00:00							1	1	99	1			
202028	1003	11410		1	1												3	1		2019-12-01 00:00:00	2035-01-01 00:00:00							1	1	99	1			
202029	1003	11411		1	1												3	1		2019-12-01 00:00:00	2035-01-01 00:00:00							1	1	99	1			
202030	1003	11412		1	1												3	1		2019-12-01 00:00:00	2035-01-01 00:00:00							1	1	99	1			
202031	1003	11413		1	1												3	1		2019-12-01 00:00:00	2035-01-01 00:00:00							1	1	99	1			
202032	1003	11414		1	1												3	1		2019-12-01 00:00:00	2035-01-01 00:00:00							1	1	99	1			
202033	1003	11415		1	1												3	1		2019-12-01 00:00:00	2035-01-01 00:00:00							1	1	99	1			
202034	1003	11416		1	1												3	1		2019-12-01 00:00:00	2035-01-01 00:00:00							1	1	99	1			
202035	1003	11419		1	1												3	1		2019-12-01 00:00:00	2035-01-01 00:00:00							1	1	99	1			
202036	1003	11420		1	1												3	1		2019-12-01 00:00:00	2035-01-01 00:00:00							1	1	99	1			
202037	1003	11421		1	1												3	1		2019-12-01 00:00:00	2035-01-01 00:00:00							1	1	99	1			
202038	1003	11501		1	1												3	1		2019-12-01 00:00:00	2035-01-01 00:00:00							1	1	99	1			
202039	1003	11502		1	1												3	1		2019-12-01 00:00:00	2035-01-01 00:00:00							1	1	99	1			
202040	1003	11503		1	1												3	1		2019-12-01 00:00:00	2035-01-01 00:00:00							1	1	99	1			
202041	1003	11504		1	1												3	1		2019-12-01 00:00:00	2035-01-01 00:00:00							1	1	99	1			
202042	1003	11505		1	1												3	1		2019-12-01 00:00:00	2035-01-01 00:00:00							1	1	99	1			
202043	1003	11509		1	1												3	1		2019-12-01 00:00:00	2035-01-01 00:00:00							1	1	99	1			
202044	1003	11510		1	1												3	1		2019-12-01 00:00:00	2035-01-01 00:00:00							1	1	99	1			
202045	1003	12101		1	1												3	1		2019-12-01 00:00:00	2035-01-01 00:00:00							1	1	99	1			
202046	1003	12201		1	1												3	1		2019-12-01 00:00:00	2035-01-01 00:00:00							1	1	99	1			
202047	1003	12301		1	1												3	1		2019-12-01 00:00:00	2035-01-01 00:00:00							1	1	99	1			
202048	1003	12302		1	1												3	1		2019-12-01 00:00:00	2035-01-01 00:00:00							1	1	99	1			
202049	1003	12303		1	1												3	1		2019-12-01 00:00:00	2035-01-01 00:00:00							1	1	99	1			
202050	1003	12304		1	1												3	1		2019-12-01 00:00:00	2035-01-01 00:00:00							1	1	99	1			
202051	1003	12305		1	1												3	1		2019-12-01 00:00:00	2035-01-01 00:00:00							1	1	99	1			
202052	1003	12306		1	1												3	1		2019-12-01 00:00:00	2035-01-01 00:00:00							1	1	99	1			
202053	1003	12401		1	1												3	1		2019-12-01 00:00:00	2035-01-01 00:00:00							1	1	99	1			
202054	1003	12402		1	1												3	1		2019-12-01 00:00:00	2035-01-01 00:00:00							1	1	99	1			
202055	1003	12403		1	1												3	1		2019-12-01 00:00:00	2035-01-01 00:00:00							1	1	99	1			
202056	1003	12404		1	1												3	1		2019-12-01 00:00:00	2035-01-01 00:00:00							1	1	99	1			
202057	1003	12405		1	1												3	1		2019-12-01 00:00:00	2035-01-01 00:00:00							1	1	99	1			
202058	1003	12406		1	1												3	1		2019-12-01 00:00:00	2035-01-01 00:00:00							1	1	99	1			
202059	1003	12407		1	1												3	1		2019-12-01 00:00:00	2035-01-01 00:00:00							1	1	99	1			
202060	1003	12408		1	1												3	1		2019-12-01 00:00:00	2035-01-01 00:00:00							1	1	99	1			
202061	1003	12409		1	1												3	1		2019-12-01 00:00:00	2035-01-01 00:00:00							1	1	99	1			
202062	1003	12410		1	1												3	1		2019-12-01 00:00:00	2035-01-01 00:00:00							1	1	99	1			
202063	1003	12411		1	1												3	1		2019-12-01 00:00:00	2035-01-01 00:00:00							1	1	99	1			
202064	1003	12412		1	1												3	1		2019-12-01 00:00:00	2035-01-01 00:00:00							1	1	99	1			
202065	1003	12414		1	1												3	1		2019-12-01 00:00:00	2035-01-01 00:00:00							1	1	99	1			
202066	1003	12416		1	1												3	1		2019-12-01 00:00:00	2035-01-01 00:00:00							1	1	99	1			
202067	1003	12501		1	1												3	1		2019-12-01 00:00:00	2035-01-01 00:00:00							1	1	99	1			
202068	1003	12502		1	1												3	1		2019-12-01 00:00:00	2035-01-01 00:00:00							1	1	99	1			
202069	1003	12503		1	1												3	1		2019-12-01 00:00:00	2035-01-01 00:00:00							1	1	99	1			
202070	1003	12504		1	1												3	1		2019-12-01 00:00:00	2035-01-01 00:00:00							1	1	99	1			
202071	1003	12510		1	1												3	1		2019-12-01 00:00:00	2035-01-01 00:00:00							1	1	99	1			
202072	1003	13101		1	1												3	1		2019-12-01 00:00:00	2035-01-01 00:00:00							1	1	99	1			
202073	1003	13201		1	1												3	1		2019-12-01 00:00:00	2035-01-01 00:00:00							1	1	99	1			
202074	1003	13301		1	1												3	1		2019-12-01 00:00:00	2035-01-01 00:00:00							1	1	99	1			
202075	1003	13302		1	1												3	1		2019-12-01 00:00:00	2035-01-01 00:00:00							1	1	99	1			
202076	1003	13303		1	1												3	1		2019-12-01 00:00:00	2035-01-01 00:00:00							1	1	99	1			
202077	1003	13304		1	1												3	1		2019-12-01 00:00:00	2035-01-01 00:00:00							1	1	99	1			
202078	1003	13401		1	1												3	1		2019-12-01 00:00:00	2035-01-01 00:00:00							1	1	99	1			
202079	1003	13402		1	1												3	1		2019-12-01 00:00:00	2035-01-01 00:00:00							1	1	99	1			
202080	1003	13403		1	1												3	1		2019-12-01 00:00:00	2035-01-01 00:00:00							1	1	99	1			
202081	1003	13404		1	1												3	1		2019-12-01 00:00:00	2035-01-01 00:00:00							1	1	99	1			
202082	1003	13405		1	1												3	1		2019-12-01 00:00:00	2035-01-01 00:00:00							1	1	99	1			
202083	1003	13406		1	1												3	1		2019-12-01 00:00:00	2035-01-01 00:00:00							1	1	99	1			
202084	1003	13407		1	1												3	1		2019-12-01 00:00:00	2035-01-01 00:00:00							1	1	99	1			
202085	1003	13408		1	1												3	1		2019-12-01 00:00:00	2035-01-01 00:00:00							1	1	99	1			
202086	1003	13409		1	1												3	1		2019-12-01 00:00:00	2035-01-01 00:00:00							1	1	99	1			
202087	1003	13414		1	1												3	1		2019-12-01 00:00:00	2035-01-01 00:00:00							1	1	99	1			
202088	1003	13415		1	1												3	1		2019-12-01 00:00:00	2035-01-01 00:00:00							1	1	99	1			
202089	1003	13416		1	1												3	1		2019-12-01 00:00:00	2035-01-01 00:00:00							1	1	99	1			
202090	1003	13501		1	1												3	1		2019-12-01 00:00:00	2035-01-01 00:00:00							1	1	99	1			
202091	1003	13502		1	1												3	1		2019-12-01 00:00:00	2035-01-01 00:00:00							1	1	99	1			
202092	1003	13504		1	1												3	1		2019-12-01 00:00:00	2035-01-01 00:00:00							1	1	99	1			
202093	1003	13505		1	1												3	1		2019-12-01 00:00:00	2035-01-01 00:00:00							1	1	99	1			
202094	1003	13507		1	1												3	1		2019-12-01 00:00:00	2035-01-01 00:00:00							1	1	99	1			
202095	1003	13509		1	1												3	1		2019-12-01 00:00:00	2035-01-01 00:00:00							1	1	99	1			
202096	1003	14101		1	1												3	1		2019-12-01 00:00:00	2035-01-01 00:00:00							1	1	99	1			
202097	1003	14201		1	1												3	1		2019-12-01 00:00:00	2035-01-01 00:00:00							1	1	99	1			
202098	1003	14301		1	1												3	1		2019-12-01 00:00:00	2035-01-01 00:00:00							1	1	99	1			
202099	1003	14302		1	1												3	1		2019-12-01 00:00:00	2035-01-01 00:00:00							1	1	99	1			
202100	1003	14303		1	1												3	1		2019-12-01 00:00:00	2035-01-01 00:00:00							1	1	99	1			
202101	1003	14304		1	1												3	1		2019-12-01 00:00:00	2035-01-01 00:00:00							1	1	99	1			
202102	1003	14305		1	1												3	1		2019-12-01 00:00:00	2035-01-01 00:00:00							1	1	99	1			
202103	1003	14306		1	1												3	1		2019-12-01 00:00:00	2035-01-01 00:00:00							1	1	99	1			
202104	1003	14401		1	1												3	1		2019-12-01 00:00:00	2035-01-01 00:00:00							1	1	99	1			
202105	1003	14402		1	1												3	1		2019-12-01 00:00:00	2035-01-01 00:00:00							1	1	99	1			
202106	1003	14403		1	1												3	1		2019-12-01 00:00:00	2035-01-01 00:00:00							1	1	99	1			
202107	1003	14404		1	1												3	1		2019-12-01 00:00:00	2035-01-01 00:00:00							1	1	99	1			
202108	1003	14405		1	1												3	1		2019-12-01 00:00:00	2035-01-01 00:00:00							1	1	99	1			
202109	1003	14406		1	1												3	1		2019-12-01 00:00:00	2035-01-01 00:00:00							1	1	99	1			
202110	1003	14407		1	1												3	1		2019-12-01 00:00:00	2035-01-01 00:00:00							1	1	99	1			
202111	1003	14408		1	1												3	1		2019-12-01 00:00:00	2035-01-01 00:00:00							1	1	99	1			
202112	1003	14409		1	1												3	1		2019-12-01 00:00:00	2035-01-01 00:00:00							1	1	99	1			
202113	1003	14410		1	1												3	1		2019-12-01 00:00:00	2035-01-01 00:00:00							1	1	99	1			
202114	1003	14412		1	1												3	1		2019-12-01 00:00:00	2035-01-01 00:00:00							1	1	99	1			
202115	1003	14413		1	1												3	1		2019-12-01 00:00:00	2035-01-01 00:00:00							1	1	99	1			
202116	1003	14414		1	1												3	1		2019-12-01 00:00:00	2035-01-01 00:00:00							1	1	99	1			
202117	1003	14415		1	1												3	1		2019-12-01 00:00:00	2035-01-01 00:00:00							1	1	99	1			
202118	1003	14501		1	1												3	1		2019-12-01 00:00:00	2035-01-01 00:00:00							1	1	99	1			
202119	1003	14502		1	1												3	1		2019-12-01 00:00:00	2035-01-01 00:00:00							1	1	99	1			
202120	1003	14504		1	1												3	1		2019-12-01 00:00:00	2035-01-01 00:00:00							1	1	99	1			
202121	1003	14506		1	1												3	1		2019-12-01 00:00:00	2035-01-01 00:00:00							1	1	99	1			
202122	1003	14509		1	1												3	1		2019-12-01 00:00:00	2035-01-01 00:00:00							1	1	99	1			
202123	1003	15101		1	1												3	1		2019-12-01 00:00:00	2035-01-01 00:00:00							1	1	99	1			
202124	1003	15201		1	1												3	1		2019-12-01 00:00:00	2035-01-01 00:00:00							1	1	99	1			
202125	1003	15301		1	1												3	1		2019-12-01 00:00:00	2035-01-01 00:00:00							1	1	99	1			
202126	1003	15302		1	1												3	1		2019-12-01 00:00:00	2035-01-01 00:00:00							1	1	99	1			
202127	1003	15303		1	1												3	1		2019-12-01 00:00:00	2035-01-01 00:00:00							1	1	99	1			
202128	1003	15304		1	1												3	1		2019-12-01 00:00:00	2035-01-01 00:00:00							1	1	99	1			
202129	1003	15305		1	1												3	1		2019-12-01 00:00:00	2035-01-01 00:00:00							1	1	99	1			
202130	1003	15306		1	1												3	1		2019-12-01 00:00:00	2035-01-01 00:00:00							1	1	99	1			
202131	1003	15401		1	1												3	1		2019-12-01 00:00:00	2035-01-01 00:00:00							1	1	99	1			
202132	1003	15402		1	1												3	1		2019-12-01 00:00:00	2035-01-01 00:00:00							1	1	99	1			
202133	1003	15403		1	1												3	1		2019-12-01 00:00:00	2035-01-01 00:00:00							1	1	99	1			
202134	1003	15404		1	1												3	1		2019-12-01 00:00:00	2035-01-01 00:00:00							1	1	99	1			
202135	1003	15405		1	1												3	1		2019-12-01 00:00:00	2035-01-01 00:00:00							1	1	99	1			
202136	1003	15406		1	1												3	1		2019-12-01 00:00:00	2035-01-01 00:00:00							1	1	99	1			
202137	1003	15407		1	1												3	1		2019-12-01 00:00:00	2035-01-01 00:00:00							1	1	99	1			
202138	1003	15408		1	1												3	1		2019-12-01 00:00:00	2035-01-01 00:00:00							1	1	99	1			
202139	1003	15409		1	1												3	1		2019-12-01 00:00:00	2035-01-01 00:00:00							1	1	99	1			
202140	1003	15410		1	1												3	1		2019-12-01 00:00:00	2035-01-01 00:00:00							1	1	99	1			
202141	1003	15411		1	1												3	1		2019-12-01 00:00:00	2035-01-01 00:00:00							1	1	99	1			
202142	1003	15412		1	1												3	1		2019-12-01 00:00:00	2035-01-01 00:00:00							1	1	99	1			
202143	1003	15413		1	1												3	1		2019-12-01 00:00:00	2035-01-01 00:00:00							1	1	99	1			
202144	1003	15414		1	1												3	1		2019-12-01 00:00:00	2035-01-01 00:00:00							1	1	99	1			
202145	1003	15415		1	1												3	1		2019-12-01 00:00:00	2035-01-01 00:00:00							1	1	99	1			
202146	1003	15416		1	1												3	1		2019-12-01 00:00:00	2035-01-01 00:00:00							1	1	99	1			
202147	1003	15501		1	1												3	1		2019-12-01 00:00:00	2035-01-01 00:00:00							1	1	99	1			
202148	1003	15502		1	1												3	1		2019-12-01 00:00:00	2035-01-01 00:00:00							1	1	99	1			
202149	1003	15503		1	1												3	1		2019-12-01 00:00:00	2035-01-01 00:00:00							1	1	99	1			
202150	1003	15507		1	1												3	1		2019-12-01 00:00:00	2035-01-01 00:00:00							1	1	99	1			
202151	1003	15508		1	1												3	1		2019-12-01 00:00:00	2035-01-01 00:00:00							1	1	99	1			
202152	1003	15509		1	1												3	1		2019-12-01 00:00:00	2035-01-01 00:00:00							1	1	99	1			
202153	1003	15201		1	1												3	1		2019-12-01 00:00:00	2035-01-01 00:00:00							1	1	99	1			
203001	1004	100075		1	1												3	1		2019-12-01 00:00:00	2035-01-01 00:00:00							1	1	99	1			
203002	1004	100077		1	1												3	1		2019-12-01 00:00:00	2035-01-01 00:00:00							1	1	99	1			
203003	1004	100076		1	1												3	1		2019-12-01 00:00:00	2035-01-01 00:00:00							1	1	99	1			
203004	1004	100078		1	1												3	1		2019-12-01 00:00:00	2035-01-01 00:00:00							1	1	99	1			
203005	1004	100079		1	1												3	1		2019-12-01 00:00:00	2035-01-01 00:00:00							1	1	99	1			
203006	1004	100018		1	1												3	1		2019-12-01 00:00:00	2035-01-01 00:00:00							1	1	99	1			
203007	1004	100080		1	1												3	1		2019-12-01 00:00:00	2035-01-01 00:00:00							1	1	99	1			
203008	1004	100017		1	1												3	1		2019-12-01 00:00:00	2035-01-01 00:00:00							1	1	99	1			
203009	1004	20002		1	1												3	1		2019-12-01 00:00:00	2035-01-01 00:00:00							1	1	99	1			
203010	1004	20004		1	1												3	1		2019-12-01 00:00:00	2035-01-01 00:00:00							1	1	99	1			
203011	1004	23334		1	1												3	1		2019-12-01 00:00:00	2035-01-01 00:00:00							1	1	99	1			
203012	1004	23341		1	1												3	1		2019-12-01 00:00:00	2035-01-01 00:00:00							1	1	99	1			
203013	1004	23342		1	1												3	1		2019-12-01 00:00:00	2035-01-01 00:00:00							1	1	99	1			
203014	1004	23343		1	1												3	1		2019-12-01 00:00:00	2035-01-01 00:00:00							1	1	99	1			
203015	1004	23344		1	1												3	1		2019-12-01 00:00:00	2035-01-01 00:00:00							1	1	99	1			
203016	1004	23345		1	1												3	1		2019-12-01 00:00:00	2035-01-01 00:00:00							1	1	99	1			
203017	1004	23346		1	1												3	1		2019-12-01 00:00:00	2035-01-01 00:00:00							1	1	99	1			
203018	1004	23347		1	1												3	1		2019-12-01 00:00:00	2035-01-01 00:00:00							1	1	99	1			
203019	1004	23348		1	1												3	1		2019-12-01 00:00:00	2035-01-01 00:00:00							1	1	99	1			
203020	1004	23349		1	1												3	1		2019-12-01 00:00:00	2035-01-01 00:00:00							1	1	99	1			
203021	1004	23350		1	1												3	1		2019-12-01 00:00:00	2035-01-01 00:00:00							1	1	99	1			
203022	1004	23351		1	1												3	1		2019-12-01 00:00:00	2035-01-01 00:00:00							1	1	99	1			
203023	1004	23352		1	1												3	1		2019-12-01 00:00:00	2035-01-01 00:00:00							1	1	99	1			
203024	1004	23353		1	1												3	1		2019-12-01 00:00:00	2035-01-01 00:00:00							1	1	99	1			
203025	1004	23354		1	1												3	1		2019-12-01 00:00:00	2035-01-01 00:00:00							1	1	99	1			
203026	1004	23355		1	1												3	1		2019-12-01 00:00:00	2035-01-01 00:00:00							1	1	99	1			
203027	1004	23356		1	1												3	1		2019-12-01 00:00:00	2035-01-01 00:00:00							1	1	99	1			
203028	1004	23357		1	1												3	1		2019-12-01 00:00:00	2035-01-01 00:00:00							1	1	99	1			
203029	1004	23358		1	1												3	1		2019-12-01 00:00:00	2035-01-01 00:00:00							1	1	99	1			
203030	1004	23359		1	1												3	1		2019-12-01 00:00:00	2035-01-01 00:00:00							1	1	99	1			
203031	1004	23360		1	1												3	1		2019-12-01 00:00:00	2035-01-01 00:00:00							1	1	99	1			
203032	1004	23361		1	1												3	1		2019-12-01 00:00:00	2035-01-01 00:00:00							1	1	99	1			
203033	1004	23362		1	1												3	1		2019-12-01 00:00:00	2035-01-01 00:00:00							1	1	99	1			
203034	1004	23363		1	1												3	1		2019-12-01 00:00:00	2035-01-01 00:00:00							1	1	99	1			
203035	1004	23364		1	1												3	1		2019-12-01 00:00:00	2035-01-01 00:00:00							1	1	99	1			
203036	1004	23365		1	1												3	1		2019-12-01 00:00:00	2035-01-01 00:00:00							1	1	99	1			
203037	1004	23366		1	1												3	1		2019-12-01 00:00:00	2035-01-01 00:00:00							1	1	99	1			
203038	1004	23367		1	1												3	1		2019-12-01 00:00:00	2035-01-01 00:00:00							1	1	99	1			
203039	1004	23368		1	1												3	1		2019-12-01 00:00:00	2035-01-01 00:00:00							1	1	99	1			
203040	1004	23369		1	1												3	1		2019-12-01 00:00:00	2035-01-01 00:00:00							1	1	99	1			
203041	1004	23370		1	1												3	1		2019-12-01 00:00:00	2035-01-01 00:00:00							1	1	99	1			
