套装ID	JSON名称	名称$text_name_FurnitureSuitName	图纸ID	喜爱的角色列表	角色传送点	类型ID1	类型ID2	图标	地图标记	交互范围
17	Home_Suite_Liyue_Folkhouse_01	山间独居之屋				771		UI_Home_Suite_Liyue_Folkhouse_01		
18	Home_Suite_Mond_Folkhouse_01	村镇院落				771		UI_Home_Suite_Mond_Folkhouse_01		
19	Home_Suite_Props_01	收获时节的小镇摊位				771		UI_Home_Suite_Props_01		
20	Home_Suite_Props_02	应有尽有的果蔬市场				771		UI_Home_Suite_Props_02		
21	Home_Suite_Props_03	练兵场的一角				771		UI_Home_Suite_Props_03		
22	Home_Suite_Props_04	备战的兵器工坊				771		UI_Home_Suite_Props_04		
23	Home_Suite_Props_05	货运中转地				771		UI_Home_Suite_Props_05		
24	Home_Suite_Props_06	节庆的市井				771		UI_Home_Suite_Props_06		
25	Home_Suite_Props_07	要道正门-「妖邪退散」				771		UI_Home_Suite_Props_07		
26	Home_Suite_Props_08	生意红火的食肆				771		UI_Home_Suite_Props_08		
27	Home_Suite_Wild_01	乡野的水源				771		UI_Home_Suite_Wild_01		
28	Home_Suite_Wild_02	孤独而谨慎的冒险家				771		UI_Home_Suite_Wild_02		
29	Home_Suite_Wild_03	气候相交之地				771		UI_Home_Suite_Wild_03		
30	Home_Suite_Wild_05	朽木与磐石的对谈				771		UI_Home_Suite_Wild_05		
31	Home_Suite_Wild_05	朽木与磐石的对谈		10000003,10000020	1,1,90;2,2,70;10,10,180			UI_Home_Suite_Wild_05		
32	Home_Suite_Wild_05	朽木与磐石的对谈		10000003,10000020,10000043,10000044,10000045	1,1,90;2,2,70;10,10,180			UI_Home_Suite_Wild_05		
33	Home_Suite_Interior_Mond_Room_of_Recollection	诗歌沉思间		10000003,10000006,10000031,10000041,10000051	2.07,-3.36,0;3.13,3.25,220;-1.69,2.09,-180;1.92,0.48,-90;-1.57,-3.36,0	672		UI_Home_Suite_Interior_Mond_Room_Of_Recollection	UI_MarkPoint_Homeworld_Suit	0.3
34	Home_Suite_Interior_Mond_Room_of_Whispers	柔风低语间		10000014,10000051,10000034	0.85,-3.36,0;3.13,3.25,220;-2.71,0,90;0.29,2.31,-180;3.12,1.32,-90	672		UI_Home_Suite_Interior_Mond_Room_Of_Whispers	UI_MarkPoint_Homeworld_Suit	0.3
35	Home_Suite_Interior_Liyue_Room_of_Clouds	绯云文斋		10000025,10000030,10000027,10000064	0.9,-3.075,0;1.85,3.09,180;-1.57,3.09,180;-1.57,0.75,90;1.87,-0.75,-90;1.87,1.2,-90	672		UI_Home_Suite_Interior_Liyue_Room_Of_Clouds	UI_MarkPoint_Homeworld_Suit	0.3
36	Home_Suite_Interior_Liyue_Room_of_Dreams	烟霞入梦阁		10000046,10000048,10000037,10000042,10000036	1.94,3.02,220;0.83,-1.38,0;-0.92,1.75,-180;1.92,0.48,-90;-1.92,0.02,90	672		UI_Home_Suite_Interior_Liyue_Room_Of_Dreams	UI_MarkPoint_Homeworld_Suit	0.3
37	Home_Suite_Interior_Common_Arcane_Laboratory	秘术研究所		10000029,10000043,10000038,10000006	-1.92,0.02,90;1.92,0.49,-90;0.54,2.82,-180;3.13,3.25,220;2.05,-3.46,0	672		UI_Home_Suite_Interior_Common_Arcane_Laboratory	UI_MarkPoint_Homeworld_Suit	0.3
38	Home_Suite_Interior_Common_Scented_Kitchen	柴烟庖屋		10000033,10000041,10000026,10000023,10000020	0.47,-3.03,0;2.44,2.73,220;0.319,2.085,-180;1.58,-0.23,-90;-1.65,0.589,90	672		UI_Home_Suite_Interior_Common_Scented_Kitchen	UI_MarkPoint_Homeworld_Suit	0.3
39	Home_Suite_Exterior_Common_Blacksmith_Shop	兵刃锻造站		10000034,10000032,10000016,10000039	-2,9.63,-90;-7.28,-1.2,-90;-6.12,-9.35,-90;-4.71,5.92,-30;-7.35,-4.68,-90	772		UI_Home_Suite_Exterior_Common_Blacksmith_Shop	UI_MarkPoint_Homeworld_Suit	0.5
40	Home_Suite_Exterior_Mond_Pastoral_Village	牧歌之镇		10000039,10000021,10000020	-3.8,-13,0;-7.2,-7.86,90;-5.6,6.36,130;0.6,-16,0;5,5.86,180	772		UI_Home_Suite_Exterior_Mond_Pastoral_Village	UI_MarkPoint_Homeworld_Suit	0.5
41	Home_Suite_Exterior_Mond_Floral_Garden	花鸟公园		10000022,10000045,10000014,10000003,10000015	7.5,-6.9,-45;0.55,-8.68,0;-9.4,0.3,90;0,9,-180;10.75,6.87,-120	772		UI_Home_Suite_Exterior_Mond_Floral_Garden	UI_MarkPoint_Homeworld_Suit	0.6
42	Home_Suite_Exterior_Liyue_All_Delicacy	千家饔飧坊		10000024,10000023,10000037,10000044,10000033,10000060	2.361,5.347,180;-12,5.347,-12,-3.96,0;11,-4,0;14,4.67,180	772		UI_Home_Suite_Exterior_Liyue_All_Delicacy	UI_MarkPoint_Homeworld_Suit	0.4
43	Home_Suite_Exterior_Liyue_Shopping_Street	百里琳琅街		10000027,10000042,10000048,10000025,10000030,10000063,10000064	11.8,-6.57,0;-11.4,-6.57,0;2.5,5.48,180;16.18,5.48,180;-15.55,5.48,180	772		UI_Home_Suite_Exterior_Liyue_Shopping_Street	UI_MarkPoint_Homeworld_Suit	0.4
44	Home_Suite_Exterior_Liyue_Qingce_Village	轻策闲云居		10000044,10000026,10000046,10000035,10000063,10000060	-3.9,8.65,140;7.88,7.27,-90;-5.72,1.94,90;-6.15,-8.56,90;7.26,-7.43,-90	772		UI_Home_Suite_Exterior_Liyue_Qingce_Village	UI_MarkPoint_Homeworld_Suit	0.4
45	Home_Suite_Exterior_Common_Domu_Camp	狩猎与歌舞之营		10000021,10000043,10000029,10000024,10000062	14,12.5,-90;-15,0.8,30;-2.5,3.6,0;-4.44,14.76,0;9.17,0.81,-30	772		UI_Home_Suite_Exterior_Common_Domu_Camp	UI_MarkPoint_Homeworld_Suit	0.6
46	Home_Suite_Exterior_Common_Journey_of_abyss	星辰与深渊之旅		10000032,10000035,10000036,10000031,10000038,10000062	-10,-2.33,140;-1.15,-9.77,-35;-2.5,-2.5,-130;-3.5,-12.5,0;-5,2,-180	772		UI_Home_Suite_Exterior_Common_Journey_Of_Abyss	UI_MarkPoint_Homeworld_Suit	0.5
47	Home_Suite_Exterior_Common_Dawn_Orchard	晨曦果园		10000016,10000015,10000022,10000045	8.12,4.23,-90;7.29,8.92,-140;3,10.56,-180;0,2.24,0;-5.29,4.05,90	772		UI_Home_Suite_Exterior_Common_Dawn_Orchard	UI_MarkPoint_Homeworld_Suit	0.4
48	Home_Suite_Exterior_Dq_Build_Courtyard	正格之庭		10000056,10000066	10,-6,0;8,-20,0;32,6.4,180;23.54,6.75,270;10.63,18.72,180	772		UI_Home_Suite_Exterior_Dq_Build_Courtyard	UI_MarkPoint_Homeworld_Suit	0.4
49	Home_Suite_Exterior_Dq_Build_Hotspring	醒意汤泉		10000049,10000055,10000058,10000059	4.93,-11.63,0;8.19,-11.78,-15;11.78,-9.65,-90;10.17,-2.07,-180;-6.86,-9.3,-270	772		UI_Home_Suite_Exterior_Dq_Build_Hotspring	UI_MarkPoint_Homeworld_Suit	0.4
50	Home_Suite_Exterior_Dq_Build_Village	村中匿影		10000053,10000055	4.34,-2.07,-270;4.64,-9.51,-360;16.8,-4.19,-360;12.83,3.76,-105;4.363,6.847,-180	772		UI_Home_Suite_Exterior_Dq_Build_Village	UI_MarkPoint_Homeworld_Suit	0.4
51	Home_Suite_Exterior_Dq_Field_Shrine	枝社旧绪		10000052,10000058	8.4,4.85,-180;1.37,6.56,-210;17.27,5.26,-120;9.94,-8.89,0;4.85,-8.18,0	772		UI_Home_Suite_Exterior_Dq_Field_Shrine	UI_MarkPoint_Homeworld_Suit	0.4
52	Home_Suite_Exterior_Dq_Field_Weapon	千军致戎演兵场		10000056	-4.43,-10.35,90;-4.43,8.72,90;7.13,11.28,180;17.8,10.61,240;15.85,-7.57,270	772		UI_Home_Suite_Exterior_Dq_Field_Weapon	UI_MarkPoint_Homeworld_Suit	0.4
53	Home_Suite_Exterior_Dq_Mountain_Outdoor	琼片遍郁野		10000047,10000057	13.1,-5.83,360;5.89,-4.84,360;1.3,-5.09,450;11.15,-0.08,180;8.4,0.51,180	772		UI_Home_Suite_Exterior_Dq_Mountain_Outdoor	UI_MarkPoint_Homeworld_Suit	0.4
54	Home_Suite_Exterior_Dq_Street_Fete	夏夜的追想		10000002,10000057,10000066	11.17,2.34,-90;11.17,-0.23,-90;10.221,14.074,-135;0.66,14.54,-270;0.66,-9.561,-270	772		UI_Home_Suite_Exterior_Dq_Street_Fete	UI_MarkPoint_Homeworld_Suit	0.4
55	Home_Suite_Exterior_Dq_Street_Shopping	樱染的街巷		10000049,10000050,10000065	9.22,-13.46,-90;9.18,-8.17,-90;9.18,0.46,-90;11.45,6.94,-90;11.29,11.2,-90	772		UI_Home_Suite_Exterior_Dq_Street_Shopping	UI_MarkPoint_Homeworld_Suit	0.4
56	Home_Suite_Interior_Dq_Room_of_Bedroom	遐久瞬梦间		10000053,10000054,10000059	2.27,1.68,225;3.22,-0.18,270;0.01,2.88,180;3,-2.93,315;-1.69,-2.02,405	672		UI_Home_Suite_Interior_Dq_Room_of_Bedroom	UI_MarkPoint_Homeworld_Suit	0.3
57	Home_Suite_Interior_Dq_Room_of_Ground	千振致业		10000052,10000002	-1.53,-2.57,405;2.56,-2.57,315;2.88,1.31,270;1.31,2.73,180;-1.74,2,150	672		UI_Home_Suite_Interior_Dq_Room_of_Ground	UI_MarkPoint_Homeworld_Suit	0.3
58	Home_Suite_Interior_Dq_Room_of_Study	沉墨书舍		10000054,10000065	-2.39,-1.48,90;1.6,-2.27,0;2.98,-0.67,-90;-0.93,2.54,-180;1.89,2.48,-165	672		UI_Home_Suite_Interior_Dq_Room_of_Study	UI_MarkPoint_Homeworld_Suit	0.3
59	Home_Suite_Interior_Dq_Room_of_Teahouse	枫香茶雾一室中		10000050,10000047	2.29,3.07,-150;0.8,3.03,-180;-2.98,2.1,-225;-0.37,-2.88,-300;3.51,0.28,-90	672		UI_Home_Suite_Interior_Dq_Room_of_Teahouse	UI_MarkPoint_Homeworld_Suit	0.3
